Local Government Area,Total cases,Date
Aurukun Shire,84,2022-02-13
Balonne Shire,98,2022-02-13
Banana Shire,325,2022-02-13
Barcaldine Regional,17,2022-02-13
Barcoo Shire,2,2022-02-13
Blackall Tambo Regional,19,2022-02-13
Boulia Shire,1,2022-02-13
Brisbane City,81148,2022-02-13
Bulloo Shire,5,2022-02-13
Bundaberg Regional,2640,2022-02-13
Burdekin Shire,739,2022-02-13
Burke Shire,4,2022-02-13
Cairns Regional,16209,2022-02-13
Carpentaria Shire,91,2022-02-13
Cassowary Coast Regional,1705,2022-02-13
Central Highlands Regional,869,2022-02-13
Charters Towers Regional,158,2022-02-13
Cherbourg Aboriginal Shire,185,2022-02-13
Cloncurry Shire,79,2022-02-13
Cook Shire,319,2022-02-13
Croydon Shire,2,2022-02-13
Diamantina Shire,2,2022-02-13
Doomadgee Aboriginal Shire,97,2022-02-13
Douglas Shire,1163,2022-02-13
Etheridge Shire,9,2022-02-13
Flinders Shire,58,2022-02-13
Fraser Coast Regional,2845,2022-02-13
Gladstone Regional,1413,2022-02-13
Gold Coast City,51831,2022-02-13
Goondiwindi Regional,373,2022-02-13
Gympie Regional,1479,2022-02-13
Hinchinbrook Shire,251,2022-02-13
Hope Vale Aboriginal Shire,29,2022-02-13
Interstate/Other,12175,2022-02-13
Ipswich City,16781,2022-02-13
Isaac Regional,596,2022-02-13
Kowanyama Aboriginal Shire,101,2022-02-13
Livingstone Shire,1344,2022-02-13
Lockhart River Aboriginal Shire,89,2022-02-13
Lockyer Valley Regional,1620,2022-02-13
Logan City,24631,2022-02-13
Longreach Regional,29,2022-02-13
Mackay Regional,5540,2022-02-13
Mapoon Aboriginal Shire,17,2022-02-13
Maranoa Regional,416,2022-02-13
Mareeba Shire,1636,2022-02-13
McKinlay Shire,4,2022-02-13
Moreton Bay Regional,25263,2022-02-13
Mornington Shire,31,2022-02-13
Mount Isa City,466,2022-02-13
Murweh Shire,87,2022-02-13
Napranum Aboriginal Shire,83,2022-02-13
Noosa Shire,3314,2022-02-13
North Burnett Regional,211,2022-02-13
Northern Peninsula Area Regional,412,2022-02-13
Not Supplied,177244,2022-02-13
Palm Island Aboriginal Shire,454,2022-02-13
Paroo Shire,33,2022-02-13
Pormpuraaw Aboriginal Shire,47,2022-02-13
Quilpie Shire,13,2022-02-13
Redland City,8510,2022-02-13
Richmond Shire,5,2022-02-13
Rockhampton Regional,2683,2022-02-13
Scenic Rim Regional,1311,2022-02-13
Somerset Regional,965,2022-02-13
South Burnett Regional,775,2022-02-13
Southern Downs Regional,1148,2022-02-13
Sunshine Coast Regional,20158,2022-02-13
Tablelands Regional,1008,2022-02-13
Toowoomba Regional,4695,2022-02-13
Torres Shire,441,2022-02-13
Torres Strait Island Regional,351,2022-02-13
Townsville City,9563,2022-02-13
Weipa Town,219,2022-02-13
Western Downs Regional,839,2022-02-13
Whitsunday Regional,1958,2022-02-13
Winton Shire,10,2022-02-13
Woorabinda Aboriginal Shire,11,2022-02-13
Wujal Wujal Aboriginal Shire,26,2022-02-13
Yarrabah Aboriginal Shire,628,2022-02-13
Total cases,492190,2022-02-13
