Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Balonne Shire,0,0,0,0,4,4,2022-01-04
Banana Shire,0,4,0,0,10,14,2022-01-04
Brisbane City,594,384,79,36,8170,9263,2022-01-04
Bundaberg Regional,19,8,3,0,256,286,2022-01-04
Burdekin Shire,0,0,0,0,3,3,2022-01-04
Cairns Regional,43,105,71,15,380,614,2022-01-04
Cassowary Coast Regional,3,7,3,2,14,29,2022-01-04
Central Highlands Regional,0,4,2,1,12,19,2022-01-04
Charters Towers Regional,2,1,0,0,1,4,2022-01-04
Cherbourg Aboriginal Shire,0,20,9,0,32,61,2022-01-04
Cloncurry Shire,0,0,0,0,1,1,2022-01-04
Cook Shire,0,2,7,2,13,24,2022-01-04
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-04
Douglas Shire,2,9,15,3,55,84,2022-01-04
Flinders Shire,0,0,0,0,1,1,2022-01-04
Fraser Coast Regional,12,4,3,2,185,206,2022-01-04
Gladstone Regional,7,16,6,1,63,93,2022-01-04
Gold Coast City,193,251,259,47,3783,4533,2022-01-04
Goondiwindi Regional,2,8,0,2,9,21,2022-01-04
Gympie Regional,4,11,3,0,64,82,2022-01-04
Hinchinbrook Shire,1,0,0,0,24,25,2022-01-04
Interstate/Other,168,34,25,98,1688,2013,2022-01-04
Ipswich City,32,74,33,2,1104,1245,2022-01-04
Isaac Regional,0,3,0,0,26,29,2022-01-04
Livingstone Shire,3,16,3,1,24,47,2022-01-04
Lockyer Valley Regional,2,9,1,0,85,97,2022-01-04
Logan City,47,37,13,12,2146,2255,2022-01-04
Longreach Regional,0,0,0,0,3,3,2022-01-04
Mackay Regional,22,10,5,2,176,215,2022-01-04
Maranoa Regional,0,1,0,1,12,14,2022-01-04
Mareeba Shire,3,12,0,2,22,39,2022-01-04
McKinlay Shire,0,0,0,0,1,1,2022-01-04
Moreton Bay Regional,119,33,14,4,1256,1426,2022-01-04
Mount Isa City,0,0,0,0,8,8,2022-01-04
Murweh Shire,0,0,0,1,3,4,2022-01-04
Noosa Shire,19,30,18,2,407,476,2022-01-04
North Burnett Regional,1,1,0,1,11,14,2022-01-04
Northern Peninsula Area Regional,0,0,0,0,1,1,2022-01-04
Not Supplied,65,61,50,4,2670,2850,2022-01-04
Palm Island Aboriginal Shire,0,0,0,0,6,6,2022-01-04
Paroo Shire,0,1,0,0,4,5,2022-01-04
Redland City,28,14,6,2,553,603,2022-01-04
Rockhampton Regional,21,55,10,3,62,151,2022-01-04
Scenic Rim Regional,4,4,1,0,71,80,2022-01-04
Somerset Regional,3,2,1,1,31,38,2022-01-04
South Burnett Regional,2,3,0,1,45,51,2022-01-04
Southern Downs Regional,2,4,2,3,57,68,2022-01-04
Sunshine Coast Regional,82,72,41,19,941,1155,2022-01-04
Tablelands Regional,5,7,1,0,14,27,2022-01-04
Toowoomba Regional,42,74,15,10,524,665,2022-01-04
Torres Shire,1,0,0,0,12,13,2022-01-04
Townsville City,31,13,6,4,285,339,2022-01-04
Weipa Town,0,0,0,0,3,3,2022-01-04
Western Downs Regional,3,3,1,1,44,52,2022-01-04
Whitsunday Regional,7,11,15,0,230,263,2022-01-04
Woorabinda Aboriginal Shire,0,0,0,0,1,1,2022-01-04
Total,1594,1419,721,285,25607,29626,2022-01-04
