Local Government Area,Total cases,Date
Aurukun Shire,94,2022-06-04
Balonne Shire,264,2022-06-04
Banana Shire,581,2022-06-04
Barcaldine Regional,59,2022-06-04
Barcoo Shire,3,2022-06-04
Blackall Tambo Regional,43,2022-06-04
Boulia Shire,11,2022-06-04
Brisbane City,127962,2022-06-04
Bulloo Shire,8,2022-06-04
Bundaberg Regional,6322,2022-06-04
Burdekin Shire,1103,2022-06-04
Burke Shire,7,2022-06-04
Cairns Regional,39001,2022-06-04
Carpentaria Shire,150,2022-06-04
Cassowary Coast Regional,4218,2022-06-04
Central Highlands Regional,1643,2022-06-04
Charters Towers Regional,264,2022-06-04
Cherbourg Aboriginal Shire,296,2022-06-04
Cloncurry Shire,127,2022-06-04
Cook Shire,886,2022-06-04
Croydon Shire,11,2022-06-04
Diamantina Shire,20,2022-06-04
Doomadgee Aboriginal Shire,155,2022-06-04
Douglas Shire,2472,2022-06-04
Etheridge Shire,49,2022-06-04
Flinders Shire,96,2022-06-04
Fraser Coast Regional,8684,2022-06-04
Gladstone Regional,3124,2022-06-04
Gold Coast City,72314,2022-06-04
Goondiwindi Regional,521,2022-06-04
Gympie Regional,3072,2022-06-04
Hinchinbrook Shire,422,2022-06-04
Hope Vale Aboriginal Shire,254,2022-06-04
Interstate/Other,14943,2022-06-04
Ipswich City,27145,2022-06-04
Isaac Regional,875,2022-06-04
Kowanyama Aboriginal Shire,155,2022-06-04
Livingstone Shire,2311,2022-06-04
Lockhart River Aboriginal Shire,116,2022-06-04
Lockyer Valley Regional,2526,2022-06-04
Logan City,35026,2022-06-04
Longreach Regional,73,2022-06-04
Mackay Regional,10273,2022-06-04
Mapoon Aboriginal Shire,62,2022-06-04
Maranoa Regional,766,2022-06-04
Mareeba Shire,3947,2022-06-04
McKinlay Shire,8,2022-06-04
Moreton Bay Regional,45064,2022-06-04
Mornington Shire,126,2022-06-04
Mount Isa City,696,2022-06-04
Murweh Shire,172,2022-06-04
Napranum Aboriginal Shire,249,2022-06-04
Noosa Shire,4892,2022-06-04
North Burnett Regional,428,2022-06-04
Northern Peninsula Area Regional,643,2022-06-04
Not Supplied,666468,2022-06-04
Palm Island Aboriginal Shire,659,2022-06-04
Paroo Shire,64,2022-06-04
Pormpuraaw Aboriginal Shire,193,2022-06-04
Quilpie Shire,23,2022-06-04
Redland City,14361,2022-06-04
Richmond Shire,33,2022-06-04
Rockhampton Regional,5654,2022-06-04
Scenic Rim Regional,2265,2022-06-04
Somerset Regional,1507,2022-06-04
South Burnett Regional,1166,2022-06-04
Southern Downs Regional,1988,2022-06-04
Sunshine Coast Regional,33017,2022-06-04
Tablelands Regional,3387,2022-06-04
Toowoomba Regional,9448,2022-06-04
Torres Shire,1185,2022-06-04
Torres Strait Island Regional,910,2022-06-04
Townsville City,21740,2022-06-04
Weipa Town,1177,2022-06-04
Western Downs Regional,1204,2022-06-04
Whitsunday Regional,2433,2022-06-04
Winton Shire,22,2022-06-04
Woorabinda Aboriginal Shire,29,2022-06-04
Wujal Wujal Aboriginal Shire,89,2022-06-04
Yarrabah Aboriginal Shire,776,2022-06-04
Total cases,1194530,2022-06-04
