Local Government Area,Total cases,Date
Aurukun Shire,97,2022-07-02
Balonne Shire,292,2022-07-02
Banana Shire,610,2022-07-02
Barcaldine Regional,88,2022-07-02
Barcoo Shire,3,2022-07-02
Blackall Tambo Regional,51,2022-07-02
Boulia Shire,11,2022-07-02
Brisbane City,133105,2022-07-02
Bulloo Shire,8,2022-07-02
Bundaberg Regional,6901,2022-07-02
Burdekin Shire,1175,2022-07-02
Burke Shire,7,2022-07-02
Cairns Regional,40703,2022-07-02
Carpentaria Shire,156,2022-07-02
Cassowary Coast Regional,4478,2022-07-02
Central Highlands Regional,1740,2022-07-02
Charters Towers Regional,275,2022-07-02
Cherbourg Aboriginal Shire,312,2022-07-02
Cloncurry Shire,132,2022-07-02
Cook Shire,919,2022-07-02
Croydon Shire,15,2022-07-02
Diamantina Shire,20,2022-07-02
Doomadgee Aboriginal Shire,158,2022-07-02
Douglas Shire,2580,2022-07-02
Etheridge Shire,53,2022-07-02
Flinders Shire,146,2022-07-02
Fraser Coast Regional,9908,2022-07-02
Gladstone Regional,3259,2022-07-02
Gold Coast City,74484,2022-07-02
Goondiwindi Regional,566,2022-07-02
Gympie Regional,3243,2022-07-02
Hinchinbrook Shire,437,2022-07-02
Hope Vale Aboriginal Shire,267,2022-07-02
Interstate/Other,69919,2022-07-02
Ipswich City,28186,2022-07-02
Isaac Regional,892,2022-07-02
Kowanyama Aboriginal Shire,159,2022-07-02
Livingstone Shire,2382,2022-07-02
Lockhart River Aboriginal Shire,127,2022-07-02
Lockyer Valley Regional,2675,2022-07-02
Logan City,36128,2022-07-02
Longreach Regional,83,2022-07-02
Mackay Regional,10640,2022-07-02
Mapoon Aboriginal Shire,66,2022-07-02
Maranoa Regional,854,2022-07-02
Mareeba Shire,4292,2022-07-02
McKinlay Shire,10,2022-07-02
Moreton Bay Regional,47181,2022-07-02
Mornington Shire,128,2022-07-02
Mount Isa City,729,2022-07-02
Murweh Shire,191,2022-07-02
Napranum Aboriginal Shire,253,2022-07-02
Noosa Shire,5100,2022-07-02
North Burnett Regional,450,2022-07-02
Northern Peninsula Area Regional,653,2022-07-02
Not Supplied,690776,2022-07-02
Palm Island Aboriginal Shire,667,2022-07-02
Paroo Shire,69,2022-07-02
Pormpuraaw Aboriginal Shire,194,2022-07-02
Quilpie Shire,26,2022-07-02
Redland City,14981,2022-07-02
Richmond Shire,33,2022-07-02
Rockhampton Regional,5845,2022-07-02
Scenic Rim Regional,2405,2022-07-02
Somerset Regional,1600,2022-07-02
South Burnett Regional,1251,2022-07-02
Southern Downs Regional,2219,2022-07-02
Sunshine Coast Regional,34274,2022-07-02
Tablelands Regional,3655,2022-07-02
Toowoomba Regional,10804,2022-07-02
Torres Shire,1194,2022-07-02
Torres Strait Island Regional,913,2022-07-02
Townsville City,23584,2022-07-02
Weipa Town,1216,2022-07-02
Western Downs Regional,1288,2022-07-02
Whitsunday Regional,2503,2022-07-02
Winton Shire,24,2022-07-02
Woorabinda Aboriginal Shire,301,2022-07-02
Wujal Wujal Aboriginal Shire,92,2022-07-02
Yarrabah Aboriginal Shire,820,2022-07-02
Total cases,1298031,2022-07-02
