Local Government Area,Total cases,Date
Aurukun Shire,91,2022-03-28
Balonne Shire,142,2022-03-28
Banana Shire,472,2022-03-28
Barcaldine Regional,21,2022-03-28
Barcoo Shire,2,2022-03-28
Blackall Tambo Regional,21,2022-03-28
Boulia Shire,9,2022-03-28
Brisbane City,98438,2022-03-28
Bulloo Shire,7,2022-03-28
Bundaberg Regional,4382,2022-03-28
Burdekin Shire,942,2022-03-28
Burke Shire,5,2022-03-28
Cairns Regional,24091,2022-03-28
Carpentaria Shire,131,2022-03-28
Cassowary Coast Regional,2656,2022-03-28
Central Highlands Regional,1206,2022-03-28
Charters Towers Regional,234,2022-03-28
Cherbourg Aboriginal Shire,214,2022-03-28
Cloncurry Shire,106,2022-03-28
Cook Shire,624,2022-03-28
Croydon Shire,4,2022-03-28
Diamantina Shire,3,2022-03-28
Doomadgee Aboriginal Shire,148,2022-03-28
Douglas Shire,1575,2022-03-28
Etheridge Shire,13,2022-03-28
Flinders Shire,72,2022-03-28
Fraser Coast Regional,4609,2022-03-28
Gladstone Regional,2489,2022-03-28
Gold Coast City,59930,2022-03-28
Goondiwindi Regional,437,2022-03-28
Gympie Regional,2054,2022-03-28
Hinchinbrook Shire,330,2022-03-28
Hope Vale Aboriginal Shire,201,2022-03-28
Interstate/Other,12891,2022-03-28
Ipswich City,20403,2022-03-28
Isaac Regional,749,2022-03-28
Kowanyama Aboriginal Shire,137,2022-03-28
Livingstone Shire,1794,2022-03-28
Lockhart River Aboriginal Shire,103,2022-03-28
Lockyer Valley Regional,1833,2022-03-28
Logan City,28706,2022-03-28
Longreach Regional,35,2022-03-28
Mackay Regional,7531,2022-03-28
Mapoon Aboriginal Shire,53,2022-03-28
Maranoa Regional,527,2022-03-28
Mareeba Shire,2364,2022-03-28
McKinlay Shire,8,2022-03-28
Moreton Bay Regional,33282,2022-03-28
Mornington Shire,118,2022-03-28
Mount Isa City,656,2022-03-28
Murweh Shire,94,2022-03-28
Napranum Aboriginal Shire,225,2022-03-28
Noosa Shire,3819,2022-03-28
North Burnett Regional,301,2022-03-28
Northern Peninsula Area Regional,584,2022-03-28
Not Supplied,339684,2022-03-28
Palm Island Aboriginal Shire,629,2022-03-28
Paroo Shire,43,2022-03-28
Pormpuraaw Aboriginal Shire,180,2022-03-28
Quilpie Shire,13,2022-03-28
Redland City,10862,2022-03-28
Richmond Shire,17,2022-03-28
Rockhampton Regional,4312,2022-03-28
Scenic Rim Regional,1632,2022-03-28
Somerset Regional,1121,2022-03-28
South Burnett Regional,936,2022-03-28
Southern Downs Regional,1448,2022-03-28
Sunshine Coast Regional,24753,2022-03-28
Tablelands Regional,1882,2022-03-28
Toowoomba Regional,6050,2022-03-28
Torres Shire,910,2022-03-28
Torres Strait Island Regional,668,2022-03-28
Townsville City,15423,2022-03-28
Weipa Town,669,2022-03-28
Western Downs Regional,1026,2022-03-28
Whitsunday Regional,2219,2022-03-28
Winton Shire,18,2022-03-28
Woorabinda Aboriginal Shire,17,2022-03-28
Wujal Wujal Aboriginal Shire,55,2022-03-28
Yarrabah Aboriginal Shire,697,2022-03-28
Total cases,737136,2022-03-28
