Local Government Area,Total,Date
Aurukun Shire,3,2022-01-22
Balonne Shire,55,2022-01-22
Banana Shire,162,2022-01-22
Barcaldine Regional,16,2022-01-22
Barcoo Shire,2,2022-01-22
Blackall Tambo Regional,16,2022-01-22
Brisbane City,61646,2022-01-22
Bulloo Shire,3,2022-01-22
Bundaberg Regional,1346,2022-01-22
Burdekin Shire,319,2022-01-22
Burke Shire,4,2022-01-22
Cairns Regional,10856,2022-01-22
Carpentaria Shire,15,2022-01-22
Cassowary Coast Regional,904,2022-01-22
Central Highlands Regional,457,2022-01-22
Charters Towers Regional,40,2022-01-22
Cherbourg Aboriginal Shire,106,2022-01-22
Cloncurry Shire,39,2022-01-22
Cook Shire,167,2022-01-22
Croydon Shire,1,2022-01-22
Diamantina Shire,2,2022-01-22
Doomadgee Aboriginal Shire,2,2022-01-22
Douglas Shire,885,2022-01-22
Etheridge Shire,4,2022-01-22
Flinders Shire,10,2022-01-22
Fraser Coast Regional,1690,2022-01-22
Gladstone Regional,867,2022-01-22
Gold Coast City,38737,2022-01-22
Goondiwindi Regional,208,2022-01-22
Gympie Regional,851,2022-01-22
Hinchinbrook Shire,147,2022-01-22
Hope Vale Aboriginal Shire,3,2022-01-22
Interstate/Other,10411,2022-01-22
Ipswich City,11643,2022-01-22
Isaac Regional,387,2022-01-22
Kowanyama Aboriginal Shire,4,2022-01-22
Livingstone Shire,708,2022-01-22
Lockhart River Aboriginal Shire,30,2022-01-22
Lockyer Valley Regional,1001,2022-01-22
Logan City,17334,2022-01-22
Longreach Regional,25,2022-01-22
Mackay Regional,3199,2022-01-22
Mapoon Aboriginal Shire,2,2022-01-22
Maranoa Regional,243,2022-01-22
Mareeba Shire,856,2022-01-22
McKinlay Shire,3,2022-01-22
Moreton Bay Regional,15083,2022-01-22
Mornington Shire,4,2022-01-22
Mount Isa City,123,2022-01-22
Murweh Shire,81,2022-01-22
Napranum Aboriginal Shire,5,2022-01-22
Noosa Shire,2471,2022-01-22
North Burnett Regional,99,2022-01-22
Northern Peninsula Area Regional,16,2022-01-22
Not Supplied,24815,2022-01-22
Palm Island Aboriginal Shire,149,2022-01-22
Paroo Shire,18,2022-01-22
Pormpuraaw Aboriginal Shire,1,2022-01-22
Quilpie Shire,9,2022-01-22
Redland City,5588,2022-01-22
Richmond Shire,2,2022-01-22
Rockhampton Regional,1360,2022-01-22
Scenic Rim Regional,871,2022-01-22
Somerset Regional,597,2022-01-22
South Burnett Regional,463,2022-01-22
Southern Downs Regional,741,2022-01-22
Sunshine Coast Regional,13335,2022-01-22
Tablelands Regional,631,2022-01-22
Toowoomba Regional,3361,2022-01-22
Torres Shire,49,2022-01-22
Torres Strait Island Regional,15,2022-01-22
Townsville City,4482,2022-01-22
Weipa Town,53,2022-01-22
Western Downs Regional,596,2022-01-22
Whitsunday Regional,1559,2022-01-22
Winton Shire,8,2022-01-22
Woorabinda Aboriginal Shire,6,2022-01-22
Wujal Wujal Aboriginal Shire,4,2022-01-22
Yarrabah Aboriginal Shire,65,2022-01-22
Total,242069,2022-01-22
