Local Government Area,Total,Date
Aurukun Shire,43,2022-01-30
Balonne Shire,89,2022-01-30
Banana Shire,226,2022-01-30
Barcaldine Regional,17,2022-01-30
Barcoo Shire,2,2022-01-30
Blackall Tambo Regional,17,2022-01-30
Brisbane City,72101,2022-01-30
Bulloo Shire,3,2022-01-30
Bundaberg Regional,1880,2022-01-30
Burdekin Shire,456,2022-01-30
Burke Shire,4,2022-01-30
Cairns Regional,13506,2022-01-30
Carpentaria Shire,28,2022-01-30
Cassowary Coast Regional,1294,2022-01-30
Central Highlands Regional,631,2022-01-30
Charters Towers Regional,56,2022-01-30
Cherbourg Aboriginal Shire,133,2022-01-30
Cloncurry Shire,58,2022-01-30
Cook Shire,238,2022-01-30
Croydon Shire,2,2022-01-30
Diamantina Shire,2,2022-01-30
Doomadgee Aboriginal Shire,32,2022-01-30
Douglas Shire,992,2022-01-30
Etheridge Shire,4,2022-01-30
Flinders Shire,18,2022-01-30
Fraser Coast Regional,2229,2022-01-30
Gladstone Regional,1057,2022-01-30
Gold Coast City,46059,2022-01-30
Goondiwindi Regional,278,2022-01-30
Gympie Regional,1111,2022-01-30
Hinchinbrook Shire,186,2022-01-30
Hope Vale Aboriginal Shire,9,2022-01-30
Interstate/Other,11414,2022-01-30
Ipswich City,14309,2022-01-30
Isaac Regional,485,2022-01-30
Kowanyama Aboriginal Shire,44,2022-01-30
Livingstone Shire,991,2022-01-30
Lockhart River Aboriginal Shire,69,2022-01-30
Lockyer Valley Regional,1325,2022-01-30
Logan City,21366,2022-01-30
Longreach Regional,28,2022-01-30
Mackay Regional,4309,2022-01-30
Mapoon Aboriginal Shire,8,2022-01-30
Maranoa Regional,300,2022-01-30
Mareeba Shire,1202,2022-01-30
McKinlay Shire,4,2022-01-30
Moreton Bay Regional,20478,2022-01-30
Mornington Shire,9,2022-01-30
Mount Isa City,171,2022-01-30
Murweh Shire,83,2022-01-30
Napranum Aboriginal Shire,22,2022-01-30
Noosa Shire,2989,2022-01-30
North Burnett Regional,175,2022-01-30
Northern Peninsula Area Regional,223,2022-01-30
Not Supplied,131800,2022-01-30
Palm Island Aboriginal Shire,248,2022-01-30
Paroo Shire,26,2022-01-30
Pormpuraaw Aboriginal Shire,1,2022-01-30
Quilpie Shire,12,2022-01-30
Redland City,7005,2022-01-30
Richmond Shire,3,2022-01-30
Rockhampton Regional,1969,2022-01-30
Scenic Rim Regional,1083,2022-01-30
Somerset Regional,798,2022-01-30
South Burnett Regional,625,2022-01-30
Southern Downs Regional,935,2022-01-30
Sunshine Coast Regional,16727,2022-01-30
Tablelands Regional,840,2022-01-30
Toowoomba Regional,4008,2022-01-30
Torres Shire,257,2022-01-30
Torres Strait Island Regional,211,2022-01-30
Townsville City,6360,2022-01-30
Weipa Town,132,2022-01-30
Western Downs Regional,735,2022-01-30
Whitsunday Regional,1739,2022-01-30
Winton Shire,9,2022-01-30
Woorabinda Aboriginal Shire,10,2022-01-30
Wujal Wujal Aboriginal Shire,8,2022-01-30
Yarrabah Aboriginal Shire,410,2022-01-30
Total,398716,2022-01-30
