Local Government Area,Total cases,Date
Aurukun Shire,134,2022-08-09
Balonne Shire,437,2022-08-09
Banana Shire,787,2022-08-09
Barcaldine Regional,154,2022-08-09
Barcoo Shire,4,2022-08-09
Blackall Tambo Regional,81,2022-08-09
Boulia Shire,13,2022-08-09
Brisbane City,164518,2022-08-09
Bulloo Shire,12,2022-08-09
Bundaberg Regional,10026,2022-08-09
Burdekin Shire,1447,2022-08-09
Burke Shire,27,2022-08-09
Cairns Regional,46076,2022-08-09
Carpentaria Shire,169,2022-08-09
Cassowary Coast Regional,5283,2022-08-09
Central Highlands Regional,2123,2022-08-09
Charters Towers Regional,1168,2022-08-09
Cherbourg Aboriginal Shire,349,2022-08-09
Cloncurry Shire,178,2022-08-09
Cook Shire,1120,2022-08-09
Croydon Shire,20,2022-08-09
Diamantina Shire,31,2022-08-09
Doomadgee Aboriginal Shire,173,2022-08-09
Douglas Shire,2869,2022-08-09
Etheridge Shire,62,2022-08-09
Flinders Shire,179,2022-08-09
Fraser Coast Regional,11896,2022-08-09
Gladstone Regional,4759,2022-08-09
Gold Coast City,90486,2022-08-09
Goondiwindi Regional,758,2022-08-09
Gympie Regional,4057,2022-08-09
Hinchinbrook Shire,595,2022-08-09
Hope Vale Aboriginal Shire,324,2022-08-09
Interstate/Other,20435,2022-08-09
Ipswich City,32533,2022-08-09
Isaac Regional,1074,2022-08-09
Kowanyama Aboriginal Shire,193,2022-08-09
Livingstone Shire,2951,2022-08-09
Lockhart River Aboriginal Shire,139,2022-08-09
Lockyer Valley Regional,3136,2022-08-09
Logan City,42657,2022-08-09
Longreach Regional,147,2022-08-09
Mackay Regional,13073,2022-08-09
Mapoon Aboriginal Shire,80,2022-08-09
Maranoa Regional,1153,2022-08-09
Mareeba Shire,5029,2022-08-09
McKinlay Shire,20,2022-08-09
Moreton Bay Regional,59407,2022-08-09
Mornington Shire,132,2022-08-09
Mount Isa City,1964,2022-08-09
Murweh Shire,335,2022-08-09
Napranum Aboriginal Shire,272,2022-08-09
Noosa Shire,6428,2022-08-09
North Burnett Regional,657,2022-08-09
Northern Peninsula Area Regional,767,2022-08-09
Not Supplied,876518,2022-08-09
Palm Island Aboriginal Shire,755,2022-08-09
Paroo Shire,92,2022-08-09
Pormpuraaw Aboriginal Shire,221,2022-08-09
Quilpie Shire,43,2022-08-09
Redland City,18198,2022-08-09
Richmond Shire,53,2022-08-09
Rockhampton Regional,6881,2022-08-09
Scenic Rim Regional,3083,2022-08-09
Somerset Regional,1926,2022-08-09
South Burnett Regional,1647,2022-08-09
Southern Downs Regional,3066,2022-08-09
Sunshine Coast Regional,42317,2022-08-09
Tablelands Regional,4413,2022-08-09
Toowoomba Regional,17947,2022-08-09
Torres Shire,1314,2022-08-09
Torres Strait Island Regional,985,2022-08-09
Townsville City,28582,2022-08-09
Weipa Town,1453,2022-08-09
Western Downs Regional,1660,2022-08-09
Whitsunday Regional,3174,2022-08-09
Winton Shire,44,2022-08-09
Woorabinda Aboriginal Shire,331,2022-08-09
Wujal Wujal Aboriginal Shire,106,2022-08-09
Yarrabah Aboriginal Shire,950,2022-08-09
Total cases,1558656,2022-08-09
