Local Government Area,Total cases,Date
Aurukun Shire,92,2022-05-05
Balonne Shire,201,2022-05-05
Banana Shire,544,2022-05-05
Barcaldine Regional,46,2022-05-05
Barcoo Shire,3,2022-05-05
Blackall Tambo Regional,28,2022-05-05
Boulia Shire,10,2022-05-05
Brisbane City,118671,2022-05-05
Bulloo Shire,7,2022-05-05
Bundaberg Regional,5727,2022-05-05
Burdekin Shire,1026,2022-05-05
Burke Shire,8,2022-05-05
Cairns Regional,34856,2022-05-05
Carpentaria Shire,140,2022-05-05
Cassowary Coast Regional,3652,2022-05-05
Central Highlands Regional,1503,2022-05-05
Charters Towers Regional,259,2022-05-05
Cherbourg Aboriginal Shire,282,2022-05-05
Cloncurry Shire,122,2022-05-05
Cook Shire,815,2022-05-05
Croydon Shire,9,2022-05-05
Diamantina Shire,15,2022-05-05
Doomadgee Aboriginal Shire,154,2022-05-05
Douglas Shire,2194,2022-05-05
Etheridge Shire,26,2022-05-05
Flinders Shire,76,2022-05-05
Fraser Coast Regional,7085,2022-05-05
Gladstone Regional,2954,2022-05-05
Gold Coast City,68643,2022-05-05
Goondiwindi Regional,475,2022-05-05
Gympie Regional,2765,2022-05-05
Hinchinbrook Shire,402,2022-05-05
Hope Vale Aboriginal Shire,241,2022-05-05
Interstate/Other,14162,2022-05-05
Ipswich City,25377,2022-05-05
Isaac Regional,841,2022-05-05
Kowanyama Aboriginal Shire,139,2022-05-05
Livingstone Shire,2157,2022-05-05
Lockhart River Aboriginal Shire,110,2022-05-05
Lockyer Valley Regional,2342,2022-05-05
Logan City,32822,2022-05-05
Longreach Regional,55,2022-05-05
Mackay Regional,9230,2022-05-05
Mapoon Aboriginal Shire,58,2022-05-05
Maranoa Regional,680,2022-05-05
Mareeba Shire,3306,2022-05-05
McKinlay Shire,8,2022-05-05
Moreton Bay Regional,41435,2022-05-05
Mornington Shire,124,2022-05-05
Mount Isa City,674,2022-05-05
Murweh Shire,135,2022-05-05
Napranum Aboriginal Shire,242,2022-05-05
Noosa Shire,4559,2022-05-05
North Burnett Regional,391,2022-05-05
Northern Peninsula Area Regional,626,2022-05-05
Not Supplied,536927,2022-05-05
Palm Island Aboriginal Shire,653,2022-05-05
Paroo Shire,59,2022-05-05
Pormpuraaw Aboriginal Shire,189,2022-05-05
Quilpie Shire,20,2022-05-05
Redland City,13141,2022-05-05
Richmond Shire,28,2022-05-05
Rockhampton Regional,5245,2022-05-05
Scenic Rim Regional,2044,2022-05-05
Somerset Regional,1370,2022-05-05
South Burnett Regional,1097,2022-05-05
Southern Downs Regional,1748,2022-05-05
Sunshine Coast Regional,30572,2022-05-05
Tablelands Regional,2883,2022-05-05
Toowoomba Regional,8393,2022-05-05
Torres Shire,1145,2022-05-05
Torres Strait Island Regional,879,2022-05-05
Townsville City,18895,2022-05-05
Weipa Town,984,2022-05-05
Western Downs Regional,1140,2022-05-05
Whitsunday Regional,2358,2022-05-05
Winton Shire,20,2022-05-05
Woorabinda Aboriginal Shire,24,2022-05-05
Wujal Wujal Aboriginal Shire,79,2022-05-05
Yarrabah Aboriginal Shire,752,2022-05-05
Total cases,1023149,2022-05-05
