Local Government Area,Total,Date
Aurukun Shire,3,2022-01-21
Balonne Shire,52,2022-01-21
Banana Shire,155,2022-01-21
Barcaldine Regional,16,2022-01-21
Barcoo Shire,2,2022-01-21
Blackall Tambo Regional,16,2022-01-21
Brisbane City,59592,2022-01-21
Bulloo Shire,3,2022-01-21
Bundaberg Regional,1248,2022-01-21
Burdekin Shire,274,2022-01-21
Burke Shire,4,2022-01-21
Cairns Regional,10218,2022-01-21
Carpentaria Shire,15,2022-01-21
Cassowary Coast Regional,823,2022-01-21
Central Highlands Regional,428,2022-01-21
Charters Towers Regional,33,2022-01-21
Cherbourg Aboriginal Shire,106,2022-01-21
Cloncurry Shire,36,2022-01-21
Cook Shire,166,2022-01-21
Croydon Shire,1,2022-01-21
Diamantina Shire,2,2022-01-21
Doomadgee Aboriginal Shire,2,2022-01-21
Douglas Shire,836,2022-01-21
Etheridge Shire,4,2022-01-21
Flinders Shire,9,2022-01-21
Fraser Coast Regional,1618,2022-01-21
Gladstone Regional,832,2022-01-21
Gold Coast City,37044,2022-01-21
Goondiwindi Regional,197,2022-01-21
Gympie Regional,786,2022-01-21
Hinchinbrook Shire,138,2022-01-21
Hope Vale Aboriginal Shire,3,2022-01-21
Interstate/Other,10147,2022-01-21
Ipswich City,11144,2022-01-21
Isaac Regional,373,2022-01-21
Kowanyama Aboriginal Shire,4,2022-01-21
Livingstone Shire,672,2022-01-21
Lockhart River Aboriginal Shire,29,2022-01-21
Lockyer Valley Regional,948,2022-01-21
Logan City,16510,2022-01-21
Longreach Regional,25,2022-01-21
Mackay Regional,3024,2022-01-21
Mapoon Aboriginal Shire,2,2022-01-21
Maranoa Regional,230,2022-01-21
Mareeba Shire,827,2022-01-21
McKinlay Shire,3,2022-01-21
Moreton Bay Regional,14221,2022-01-21
Mornington Shire,4,2022-01-21
Mount Isa City,117,2022-01-21
Murweh Shire,81,2022-01-21
Napranum Aboriginal Shire,5,2022-01-21
Noosa Shire,2362,2022-01-21
North Burnett Regional,95,2022-01-21
Northern Peninsula Area Regional,14,2022-01-21
Not Supplied,23622,2022-01-21
Palm Island Aboriginal Shire,141,2022-01-21
Paroo Shire,18,2022-01-21
Pormpuraaw Aboriginal Shire,1,2022-01-21
Quilpie Shire,9,2022-01-21
Redland City,5330,2022-01-21
Richmond Shire,2,2022-01-21
Rockhampton Regional,1289,2022-01-21
Scenic Rim Regional,834,2022-01-21
Somerset Regional,558,2022-01-21
South Burnett Regional,450,2022-01-21
Southern Downs Regional,719,2022-01-21
Sunshine Coast Regional,12581,2022-01-21
Tablelands Regional,602,2022-01-21
Toowoomba Regional,3247,2022-01-21
Torres Shire,45,2022-01-21
Torres Strait Island Regional,14,2022-01-21
Townsville City,4267,2022-01-21
Weipa Town,47,2022-01-21
Western Downs Regional,568,2022-01-21
Whitsunday Regional,1526,2022-01-21
Winton Shire,8,2022-01-21
Woorabinda Aboriginal Shire,6,2022-01-21
Wujal Wujal Aboriginal Shire,3,2022-01-21
Yarrabah Aboriginal Shire,27,2022-01-21
Total,231413,2022-01-21
