Local Government Area,Total cases,Date
Aurukun Shire,94,2022-04-03
Balonne Shire,148,2022-04-03
Banana Shire,481,2022-04-03
Barcaldine Regional,24,2022-04-03
Barcoo Shire,2,2022-04-03
Blackall Tambo Regional,21,2022-04-03
Boulia Shire,9,2022-04-03
Brisbane City,101925,2022-04-03
Bulloo Shire,7,2022-04-03
Bundaberg Regional,4670,2022-04-03
Burdekin Shire,952,2022-04-03
Burke Shire,5,2022-04-03
Cairns Regional,25801,2022-04-03
Carpentaria Shire,137,2022-04-03
Cassowary Coast Regional,2780,2022-04-03
Central Highlands Regional,1255,2022-04-03
Charters Towers Regional,236,2022-04-03
Cherbourg Aboriginal Shire,221,2022-04-03
Cloncurry Shire,110,2022-04-03
Cook Shire,652,2022-04-03
Croydon Shire,4,2022-04-03
Diamantina Shire,4,2022-04-03
Doomadgee Aboriginal Shire,156,2022-04-03
Douglas Shire,1688,2022-04-03
Etheridge Shire,16,2022-04-03
Flinders Shire,73,2022-04-03
Fraser Coast Regional,4980,2022-04-03
Gladstone Regional,2611,2022-04-03
Gold Coast City,61374,2022-04-03
Goondiwindi Regional,440,2022-04-03
Gympie Regional,2167,2022-04-03
Hinchinbrook Shire,338,2022-04-03
Hope Vale Aboriginal Shire,210,2022-04-03
Interstate/Other,13006,2022-04-03
Ipswich City,21471,2022-04-03
Isaac Regional,765,2022-04-03
Kowanyama Aboriginal Shire,138,2022-04-03
Livingstone Shire,1883,2022-04-03
Lockhart River Aboriginal Shire,103,2022-04-03
Lockyer Valley Regional,1930,2022-04-03
Logan City,29376,2022-04-03
Longreach Regional,36,2022-04-03
Mackay Regional,7820,2022-04-03
Mapoon Aboriginal Shire,54,2022-04-03
Maranoa Regional,543,2022-04-03
Mareeba Shire,2477,2022-04-03
McKinlay Shire,8,2022-04-03
Moreton Bay Regional,34801,2022-04-03
Mornington Shire,118,2022-04-03
Mount Isa City,661,2022-04-03
Murweh Shire,102,2022-04-03
Napranum Aboriginal Shire,233,2022-04-03
Noosa Shire,3942,2022-04-03
North Burnett Regional,309,2022-04-03
Northern Peninsula Area Regional,594,2022-04-03
Not Supplied,372556,2022-04-03
Palm Island Aboriginal Shire,639,2022-04-03
Paroo Shire,45,2022-04-03
Pormpuraaw Aboriginal Shire,182,2022-04-03
Quilpie Shire,14,2022-04-03
Redland City,11236,2022-04-03
Richmond Shire,18,2022-04-03
Rockhampton Regional,4495,2022-04-03
Scenic Rim Regional,1709,2022-04-03
Somerset Regional,1168,2022-04-03
South Burnett Regional,978,2022-04-03
Southern Downs Regional,1479,2022-04-03
Sunshine Coast Regional,25801,2022-04-03
Tablelands Regional,2091,2022-04-03
Toowoomba Regional,6428,2022-04-03
Torres Shire,981,2022-04-03
Torres Strait Island Regional,714,2022-04-03
Townsville City,16067,2022-04-03
Weipa Town,756,2022-04-03
Western Downs Regional,1054,2022-04-03
Whitsunday Regional,2245,2022-04-03
Winton Shire,18,2022-04-03
Woorabinda Aboriginal Shire,17,2022-04-03
Wujal Wujal Aboriginal Shire,59,2022-04-03
Yarrabah Aboriginal Shire,706,2022-04-03
Total cases,785417,2022-04-03
