Local Government Area,Total cases,Date
Aurukun Shire,94,2022-06-16
Balonne Shire,277,2022-06-16
Banana Shire,587,2022-06-16
Barcaldine Regional,67,2022-06-16
Barcoo Shire,3,2022-06-16
Blackall Tambo Regional,46,2022-06-16
Boulia Shire,11,2022-06-16
Brisbane City,129902,2022-06-16
Bulloo Shire,8,2022-06-16
Bundaberg Regional,6593,2022-06-16
Burdekin Shire,1140,2022-06-16
Burke Shire,7,2022-06-16
Cairns Regional,39670,2022-06-16
Carpentaria Shire,152,2022-06-16
Cassowary Coast Regional,4305,2022-06-16
Central Highlands Regional,1677,2022-06-16
Charters Towers Regional,265,2022-06-16
Cherbourg Aboriginal Shire,301,2022-06-16
Cloncurry Shire,128,2022-06-16
Cook Shire,898,2022-06-16
Croydon Shire,11,2022-06-16
Diamantina Shire,20,2022-06-16
Doomadgee Aboriginal Shire,156,2022-06-16
Douglas Shire,2518,2022-06-16
Etheridge Shire,51,2022-06-16
Flinders Shire,96,2022-06-16
Fraser Coast Regional,9291,2022-06-16
Gladstone Regional,3176,2022-06-16
Gold Coast City,73113,2022-06-16
Goondiwindi Regional,530,2022-06-16
Gympie Regional,3151,2022-06-16
Hinchinbrook Shire,431,2022-06-16
Hope Vale Aboriginal Shire,256,2022-06-16
Interstate/Other,15201,2022-06-16
Ipswich City,27603,2022-06-16
Isaac Regional,878,2022-06-16
Kowanyama Aboriginal Shire,157,2022-06-16
Livingstone Shire,2347,2022-06-16
Lockhart River Aboriginal Shire,125,2022-06-16
Lockyer Valley Regional,2587,2022-06-16
Logan City,35402,2022-06-16
Longreach Regional,79,2022-06-16
Mackay Regional,10431,2022-06-16
Mapoon Aboriginal Shire,62,2022-06-16
Maranoa Regional,785,2022-06-16
Mareeba Shire,4112,2022-06-16
McKinlay Shire,8,2022-06-16
Moreton Bay Regional,45965,2022-06-16
Mornington Shire,127,2022-06-16
Mount Isa City,702,2022-06-16
Murweh Shire,177,2022-06-16
Napranum Aboriginal Shire,251,2022-06-16
Noosa Shire,4974,2022-06-16
North Burnett Regional,438,2022-06-16
Northern Peninsula Area Regional,647,2022-06-16
Not Supplied,699053,2022-06-16
Palm Island Aboriginal Shire,662,2022-06-16
Paroo Shire,66,2022-06-16
Pormpuraaw Aboriginal Shire,193,2022-06-16
Quilpie Shire,24,2022-06-16
Redland City,14573,2022-06-16
Richmond Shire,33,2022-06-16
Rockhampton Regional,5738,2022-06-16
Scenic Rim Regional,2312,2022-06-16
Somerset Regional,1529,2022-06-16
South Burnett Regional,1187,2022-06-16
Southern Downs Regional,2038,2022-06-16
Sunshine Coast Regional,33609,2022-06-16
Tablelands Regional,3499,2022-06-16
Toowoomba Regional,9830,2022-06-16
Torres Shire,1185,2022-06-16
Torres Strait Island Regional,909,2022-06-16
Townsville City,22472,2022-06-16
Weipa Town,1190,2022-06-16
Western Downs Regional,1232,2022-06-16
Whitsunday Regional,2453,2022-06-16
Winton Shire,23,2022-06-16
Woorabinda Aboriginal Shire,145,2022-06-16
Wujal Wujal Aboriginal Shire,91,2022-06-16
Yarrabah Aboriginal Shire,804,2022-06-16
Total cases,1236839,2022-06-16
