Local Government Area,Total cases,Date
Aurukun Shire,136,2023-01-13
Balonne Shire,457,2023-01-13
Banana Shire,809,2023-01-13
Barcaldine Regional,164,2023-01-13
Barcoo Shire,4,2023-01-13
Blackall Tambo Regional,83,2023-01-13
Boulia Shire,14,2023-01-13
Brisbane City,168497,2023-01-13
Bulloo Shire,12,2023-01-13
Bundaberg Regional,10497,2023-01-13
Burdekin Shire,1466,2023-01-13
Burke Shire,28,2023-01-13
Cairns Regional,48930,2023-01-13
Carpentaria Shire,170,2023-01-13
Cassowary Coast Regional,5723,2023-01-13
Central Highlands Regional,2172,2023-01-13
Charters Towers Regional,1189,2023-01-13
Cherbourg Aboriginal Shire,391,2023-01-13
Cloncurry Shire,183,2023-01-13
Cook Shire,1164,2023-01-13
Croydon Shire,23,2023-01-13
Diamantina Shire,32,2023-01-13
Doomadgee Aboriginal Shire,175,2023-01-13
Douglas Shire,3033,2023-01-13
Etheridge Shire,68,2023-01-13
Flinders Shire,181,2023-01-13
Fraser Coast Regional,12418,2023-01-13
Gladstone Regional,4822,2023-01-13
Gold Coast City,92424,2023-01-13
Goondiwindi Regional,791,2023-01-13
Gympie Regional,4152,2023-01-13
Hinchinbrook Shire,618,2023-01-13
Hope Vale Aboriginal Shire,339,2023-01-13
Interstate/Other,21028,2023-01-13
Ipswich City,33308,2023-01-13
Isaac Regional,1087,2023-01-13
Kowanyama Aboriginal Shire,196,2023-01-13
Livingstone Shire,2989,2023-01-13
Lockhart River Aboriginal Shire,157,2023-01-13
Lockyer Valley Regional,3285,2023-01-13
Logan City,43554,2023-01-13
Longreach Regional,154,2023-01-13
Mackay Regional,13300,2023-01-13
Mapoon Aboriginal Shire,82,2023-01-13
Maranoa Regional,1208,2023-01-13
Mareeba Shire,5533,2023-01-13
McKinlay Shire,22,2023-01-13
Moreton Bay Regional,61528,2023-01-13
Mornington Shire,136,2023-01-13
Mount Isa City,2051,2023-01-13
Murweh Shire,349,2023-01-13
Napranum Aboriginal Shire,277,2023-01-13
Noosa Shire,6592,2023-01-13
North Burnett Regional,717,2023-01-13
Northern Peninsula Area Regional,774,2023-01-13
Not Supplied,920632,2023-01-13
Palm Island Aboriginal Shire,763,2023-01-13
Paroo Shire,94,2023-01-13
Pormpuraaw Aboriginal Shire,228,2023-01-13
Quilpie Shire,46,2023-01-13
Redland City,18618,2023-01-13
Richmond Shire,51,2023-01-13
Rockhampton Regional,6977,2023-01-13
Scenic Rim Regional,3169,2023-01-13
Somerset Regional,1985,2023-01-13
South Burnett Regional,1736,2023-01-13
Southern Downs Regional,3200,2023-01-13
Sunshine Coast Regional,43147,2023-01-13
Tablelands Regional,4798,2023-01-13
Toowoomba Regional,18505,2023-01-13
Torres Shire,1366,2023-01-13
Torres Strait Island Regional,1050,2023-01-13
Townsville City,28910,2023-01-13
Weipa Town,1507,2023-01-13
Western Downs Regional,1737,2023-01-13
Whitsunday Regional,3215,2023-01-13
Winton Shire,46,2023-01-13
Woorabinda Aboriginal Shire,331,2023-01-13
Wujal Wujal Aboriginal Shire,111,2023-01-13
Yarrabah Aboriginal Shire,1271,2023-01-13
Total cases,1622985,2023-01-13
