Local Government Area,Total cases,Date
Aurukun Shire,97,2022-06-28
Balonne Shire,286,2022-06-28
Banana Shire,597,2022-06-28
Barcaldine Regional,76,2022-06-28
Barcoo Shire,3,2022-06-28
Blackall Tambo Regional,46,2022-06-28
Boulia Shire,11,2022-06-28
Brisbane City,131983,2022-06-28
Bulloo Shire,8,2022-06-28
Bundaberg Regional,6805,2022-06-28
Burdekin Shire,1173,2022-06-28
Burke Shire,7,2022-06-28
Cairns Regional,40268,2022-06-28
Carpentaria Shire,155,2022-06-28
Cassowary Coast Regional,4412,2022-06-28
Central Highlands Regional,1720,2022-06-28
Charters Towers Regional,273,2022-06-28
Cherbourg Aboriginal Shire,304,2022-06-28
Cloncurry Shire,130,2022-06-28
Cook Shire,907,2022-06-28
Croydon Shire,15,2022-06-28
Diamantina Shire,20,2022-06-28
Doomadgee Aboriginal Shire,158,2022-06-28
Douglas Shire,2547,2022-06-28
Etheridge Shire,51,2022-06-28
Flinders Shire,130,2022-06-28
Fraser Coast Regional,9773,2022-06-28
Gladstone Regional,3230,2022-06-28
Gold Coast City,73941,2022-06-28
Goondiwindi Regional,552,2022-06-28
Gympie Regional,3222,2022-06-28
Hinchinbrook Shire,436,2022-06-28
Hope Vale Aboriginal Shire,263,2022-06-28
Interstate/Other,15507,2022-06-28
Ipswich City,27984,2022-06-28
Isaac Regional,887,2022-06-28
Kowanyama Aboriginal Shire,158,2022-06-28
Livingstone Shire,2364,2022-06-28
Lockhart River Aboriginal Shire,126,2022-06-28
Lockyer Valley Regional,2639,2022-06-28
Logan City,35870,2022-06-28
Longreach Regional,80,2022-06-28
Mackay Regional,10564,2022-06-28
Mapoon Aboriginal Shire,62,2022-06-28
Maranoa Regional,830,2022-06-28
Mareeba Shire,4207,2022-06-28
McKinlay Shire,9,2022-06-28
Moreton Bay Regional,46798,2022-06-28
Mornington Shire,127,2022-06-28
Mount Isa City,722,2022-06-28
Murweh Shire,184,2022-06-28
Napranum Aboriginal Shire,252,2022-06-28
Noosa Shire,5058,2022-06-28
North Burnett Regional,448,2022-06-28
Northern Peninsula Area Regional,651,2022-06-28
Not Supplied,729738,2022-06-28
Palm Island Aboriginal Shire,665,2022-06-28
Paroo Shire,67,2022-06-28
Pormpuraaw Aboriginal Shire,193,2022-06-28
Quilpie Shire,25,2022-06-28
Redland City,14833,2022-06-28
Richmond Shire,33,2022-06-28
Rockhampton Regional,5810,2022-06-28
Scenic Rim Regional,2375,2022-06-28
Somerset Regional,1582,2022-06-28
South Burnett Regional,1235,2022-06-28
Southern Downs Regional,2163,2022-06-28
Sunshine Coast Regional,34065,2022-06-28
Tablelands Regional,3591,2022-06-28
Toowoomba Regional,10476,2022-06-28
Torres Shire,1187,2022-06-28
Torres Strait Island Regional,912,2022-06-28
Townsville City,23222,2022-06-28
Weipa Town,1200,2022-06-28
Western Downs Regional,1270,2022-06-28
Whitsunday Regional,2484,2022-06-28
Winton Shire,23,2022-06-28
Woorabinda Aboriginal Shire,293,2022-06-28
Wujal Wujal Aboriginal Shire,92,2022-06-28
Yarrabah Aboriginal Shire,811,2022-06-28
Total cases,1277471,2022-06-28
