Local Government Area,Total cases,Date
Aurukun Shire,94,2022-06-01
Balonne Shire,256,2022-06-01
Banana Shire,577,2022-06-01
Barcaldine Regional,58,2022-06-01
Barcoo Shire,3,2022-06-01
Blackall Tambo Regional,41,2022-06-01
Boulia Shire,11,2022-06-01
Brisbane City,127277,2022-06-01
Bulloo Shire,8,2022-06-01
Bundaberg Regional,6248,2022-06-01
Burdekin Shire,1093,2022-06-01
Burke Shire,7,2022-06-01
Cairns Regional,38760,2022-06-01
Carpentaria Shire,149,2022-06-01
Cassowary Coast Regional,4185,2022-06-01
Central Highlands Regional,1636,2022-06-01
Charters Towers Regional,263,2022-06-01
Cherbourg Aboriginal Shire,295,2022-06-01
Cloncurry Shire,126,2022-06-01
Cook Shire,884,2022-06-01
Croydon Shire,11,2022-06-01
Diamantina Shire,19,2022-06-01
Doomadgee Aboriginal Shire,155,2022-06-01
Douglas Shire,2454,2022-06-01
Etheridge Shire,46,2022-06-01
Flinders Shire,96,2022-06-01
Fraser Coast Regional,8567,2022-06-01
Gladstone Regional,3104,2022-06-01
Gold Coast City,72061,2022-06-01
Goondiwindi Regional,512,2022-06-01
Gympie Regional,3044,2022-06-01
Hinchinbrook Shire,421,2022-06-01
Hope Vale Aboriginal Shire,254,2022-06-01
Interstate/Other,14886,2022-06-01
Ipswich City,26984,2022-06-01
Isaac Regional,875,2022-06-01
Kowanyama Aboriginal Shire,154,2022-06-01
Livingstone Shire,2297,2022-06-01
Lockhart River Aboriginal Shire,113,2022-06-01
Lockyer Valley Regional,2507,2022-06-01
Logan City,34898,2022-06-01
Longreach Regional,71,2022-06-01
Mackay Regional,10182,2022-06-01
Mapoon Aboriginal Shire,62,2022-06-01
Maranoa Regional,758,2022-06-01
Mareeba Shire,3899,2022-06-01
McKinlay Shire,8,2022-06-01
Moreton Bay Regional,44772,2022-06-01
Mornington Shire,126,2022-06-01
Mount Isa City,693,2022-06-01
Murweh Shire,171,2022-06-01
Napranum Aboriginal Shire,249,2022-06-01
Noosa Shire,4868,2022-06-01
North Burnett Regional,425,2022-06-01
Northern Peninsula Area Regional,642,2022-06-01
Not Supplied,658361,2022-06-01
Palm Island Aboriginal Shire,659,2022-06-01
Paroo Shire,63,2022-06-01
Pormpuraaw Aboriginal Shire,193,2022-06-01
Quilpie Shire,23,2022-06-01
Redland City,14261,2022-06-01
Richmond Shire,29,2022-06-01
Rockhampton Regional,5624,2022-06-01
Scenic Rim Regional,2251,2022-06-01
Somerset Regional,1496,2022-06-01
South Burnett Regional,1158,2022-06-01
Southern Downs Regional,1970,2022-06-01
Sunshine Coast Regional,32838,2022-06-01
Tablelands Regional,3350,2022-06-01
Toowoomba Regional,9332,2022-06-01
Torres Shire,1185,2022-06-01
Torres Strait Island Regional,911,2022-06-01
Townsville City,21505,2022-06-01
Weipa Town,1169,2022-06-01
Western Downs Regional,1198,2022-06-01
Whitsunday Regional,2425,2022-06-01
Winton Shire,22,2022-06-01
Woorabinda Aboriginal Shire,29,2022-06-01
Wujal Wujal Aboriginal Shire,88,2022-06-01
Yarrabah Aboriginal Shire,773,2022-06-01
Total cases,1183268,2022-06-01
