Local Government Area,Total cases,Date
Aurukun Shire,92,2022-05-02
Balonne Shire,196,2022-05-02
Banana Shire,541,2022-05-02
Barcaldine Regional,41,2022-05-02
Barcoo Shire,3,2022-05-02
Blackall Tambo Regional,25,2022-05-02
Boulia Shire,10,2022-05-02
Brisbane City,117283,2022-05-02
Bulloo Shire,7,2022-05-02
Bundaberg Regional,5648,2022-05-02
Burdekin Shire,1022,2022-05-02
Burke Shire,8,2022-05-02
Cairns Regional,33902,2022-05-02
Carpentaria Shire,139,2022-05-02
Cassowary Coast Regional,3548,2022-05-02
Central Highlands Regional,1483,2022-05-02
Charters Towers Regional,259,2022-05-02
Cherbourg Aboriginal Shire,272,2022-05-02
Cloncurry Shire,122,2022-05-02
Cook Shire,801,2022-05-02
Croydon Shire,7,2022-05-02
Diamantina Shire,14,2022-05-02
Doomadgee Aboriginal Shire,154,2022-05-02
Douglas Shire,2163,2022-05-02
Etheridge Shire,26,2022-05-02
Flinders Shire,76,2022-05-02
Fraser Coast Regional,6884,2022-05-02
Gladstone Regional,2936,2022-05-02
Gold Coast City,68018,2022-05-02
Goondiwindi Regional,472,2022-05-02
Gympie Regional,2724,2022-05-02
Hinchinbrook Shire,401,2022-05-02
Hope Vale Aboriginal Shire,240,2022-05-02
Interstate/Other,14050,2022-05-02
Ipswich City,25081,2022-05-02
Isaac Regional,837,2022-05-02
Kowanyama Aboriginal Shire,139,2022-05-02
Livingstone Shire,2137,2022-05-02
Lockhart River Aboriginal Shire,110,2022-05-02
Lockyer Valley Regional,2312,2022-05-02
Logan City,32491,2022-05-02
Longreach Regional,50,2022-05-02
Mackay Regional,9090,2022-05-02
Mapoon Aboriginal Shire,58,2022-05-02
Maranoa Regional,664,2022-05-02
Mareeba Shire,3214,2022-05-02
McKinlay Shire,8,2022-05-02
Moreton Bay Regional,40892,2022-05-02
Mornington Shire,123,2022-05-02
Mount Isa City,673,2022-05-02
Murweh Shire,133,2022-05-02
Napranum Aboriginal Shire,242,2022-05-02
Noosa Shire,4500,2022-05-02
North Burnett Regional,390,2022-05-02
Northern Peninsula Area Regional,618,2022-05-02
Not Supplied,517965,2022-05-02
Palm Island Aboriginal Shire,647,2022-05-02
Paroo Shire,57,2022-05-02
Pormpuraaw Aboriginal Shire,189,2022-05-02
Quilpie Shire,18,2022-05-02
Redland City,13000,2022-05-02
Richmond Shire,27,2022-05-02
Rockhampton Regional,5185,2022-05-02
Scenic Rim Regional,2015,2022-05-02
Somerset Regional,1354,2022-05-02
South Burnett Regional,1090,2022-05-02
Southern Downs Regional,1715,2022-05-02
Sunshine Coast Regional,30186,2022-05-02
Tablelands Regional,2807,2022-05-02
Toowoomba Regional,8207,2022-05-02
Torres Shire,1132,2022-05-02
Torres Strait Island Regional,872,2022-05-02
Townsville City,18503,2022-05-02
Weipa Town,963,2022-05-02
Western Downs Regional,1134,2022-05-02
Whitsunday Regional,2353,2022-05-02
Winton Shire,20,2022-05-02
Woorabinda Aboriginal Shire,24,2022-05-02
Wujal Wujal Aboriginal Shire,78,2022-05-02
Yarrabah Aboriginal Shire,749,2022-05-02
Total cases,997619,2022-05-02
