Local Government Area,Total cases,Date
Aurukun Shire,136,2022-12-15
Balonne Shire,457,2022-12-15
Banana Shire,809,2022-12-15
Barcaldine Regional,164,2022-12-15
Barcoo Shire,4,2022-12-15
Blackall Tambo Regional,83,2022-12-15
Boulia Shire,14,2022-12-15
Brisbane City,168497,2022-12-15
Bulloo Shire,12,2022-12-15
Bundaberg Regional,10497,2022-12-15
Burdekin Shire,1466,2022-12-15
Burke Shire,28,2022-12-15
Cairns Regional,48930,2022-12-15
Carpentaria Shire,170,2022-12-15
Cassowary Coast Regional,5723,2022-12-15
Central Highlands Regional,2172,2022-12-15
Charters Towers Regional,1189,2022-12-15
Cherbourg Aboriginal Shire,391,2022-12-15
Cloncurry Shire,183,2022-12-15
Cook Shire,1164,2022-12-15
Croydon Shire,23,2022-12-15
Diamantina Shire,32,2022-12-15
Doomadgee Aboriginal Shire,175,2022-12-15
Douglas Shire,3033,2022-12-15
Etheridge Shire,68,2022-12-15
Flinders Shire,181,2022-12-15
Fraser Coast Regional,12418,2022-12-15
Gladstone Regional,4822,2022-12-15
Gold Coast City,92424,2022-12-15
Goondiwindi Regional,791,2022-12-15
Gympie Regional,4152,2022-12-15
Hinchinbrook Shire,618,2022-12-15
Hope Vale Aboriginal Shire,339,2022-12-15
Interstate/Other,21028,2022-12-15
Ipswich City,33308,2022-12-15
Isaac Regional,1087,2022-12-15
Kowanyama Aboriginal Shire,196,2022-12-15
Livingstone Shire,2989,2022-12-15
Lockhart River Aboriginal Shire,157,2022-12-15
Lockyer Valley Regional,3285,2022-12-15
Logan City,43554,2022-12-15
Longreach Regional,154,2022-12-15
Mackay Regional,13300,2022-12-15
Mapoon Aboriginal Shire,82,2022-12-15
Maranoa Regional,1208,2022-12-15
Mareeba Shire,5533,2022-12-15
McKinlay Shire,22,2022-12-15
Moreton Bay Regional,61528,2022-12-15
Mornington Shire,136,2022-12-15
Mount Isa City,2051,2022-12-15
Murweh Shire,349,2022-12-15
Napranum Aboriginal Shire,277,2022-12-15
Noosa Shire,6592,2022-12-15
North Burnett Regional,717,2022-12-15
Northern Peninsula Area Regional,774,2022-12-15
Not Supplied,920632,2022-12-15
Palm Island Aboriginal Shire,763,2022-12-15
Paroo Shire,94,2022-12-15
Pormpuraaw Aboriginal Shire,228,2022-12-15
Quilpie Shire,46,2022-12-15
Redland City,18618,2022-12-15
Richmond Shire,51,2022-12-15
Rockhampton Regional,6977,2022-12-15
Scenic Rim Regional,3169,2022-12-15
Somerset Regional,1985,2022-12-15
South Burnett Regional,1736,2022-12-15
Southern Downs Regional,3200,2022-12-15
Sunshine Coast Regional,43147,2022-12-15
Tablelands Regional,4798,2022-12-15
Toowoomba Regional,18505,2022-12-15
Torres Shire,1366,2022-12-15
Torres Strait Island Regional,1050,2022-12-15
Townsville City,28910,2022-12-15
Weipa Town,1507,2022-12-15
Western Downs Regional,1737,2022-12-15
Whitsunday Regional,3215,2022-12-15
Winton Shire,46,2022-12-15
Woorabinda Aboriginal Shire,331,2022-12-15
Wujal Wujal Aboriginal Shire,111,2022-12-15
Yarrabah Aboriginal Shire,1271,2022-12-15
Total cases,1622985,2022-12-15
