Local Government Area,Total cases,Date
Aurukun Shire,94,2022-05-28
Balonne Shire,248,2022-05-28
Banana Shire,572,2022-05-28
Barcaldine Regional,58,2022-05-28
Barcoo Shire,3,2022-05-28
Blackall Tambo Regional,38,2022-05-28
Boulia Shire,11,2022-05-28
Brisbane City,126308,2022-05-28
Bulloo Shire,8,2022-05-28
Bundaberg Regional,6167,2022-05-28
Burdekin Shire,1072,2022-05-28
Burke Shire,7,2022-05-28
Cairns Regional,38320,2022-05-28
Carpentaria Shire,148,2022-05-28
Cassowary Coast Regional,4130,2022-05-28
Central Highlands Regional,1622,2022-05-28
Charters Towers Regional,265,2022-05-28
Cherbourg Aboriginal Shire,292,2022-05-28
Cloncurry Shire,126,2022-05-28
Cook Shire,878,2022-05-28
Croydon Shire,11,2022-05-28
Diamantina Shire,19,2022-05-28
Doomadgee Aboriginal Shire,155,2022-05-28
Douglas Shire,2420,2022-05-28
Etheridge Shire,45,2022-05-28
Flinders Shire,96,2022-05-28
Fraser Coast Regional,8366,2022-05-28
Gladstone Regional,3090,2022-05-28
Gold Coast City,71677,2022-05-28
Goondiwindi Regional,503,2022-05-28
Gympie Regional,2995,2022-05-28
Hinchinbrook Shire,420,2022-05-28
Hope Vale Aboriginal Shire,253,2022-05-28
Interstate/Other,14756,2022-05-28
Ipswich City,26804,2022-05-28
Isaac Regional,872,2022-05-28
Kowanyama Aboriginal Shire,153,2022-05-28
Livingstone Shire,2286,2022-05-28
Lockhart River Aboriginal Shire,111,2022-05-28
Lockyer Valley Regional,2479,2022-05-28
Logan City,34642,2022-05-28
Longreach Regional,70,2022-05-28
Mackay Regional,10068,2022-05-28
Mapoon Aboriginal Shire,62,2022-05-28
Maranoa Regional,745,2022-05-28
Mareeba Shire,3836,2022-05-28
McKinlay Shire,8,2022-05-28
Moreton Bay Regional,44384,2022-05-28
Mornington Shire,126,2022-05-28
Mount Isa City,692,2022-05-28
Murweh Shire,166,2022-05-28
Napranum Aboriginal Shire,248,2022-05-28
Noosa Shire,4826,2022-05-28
North Burnett Regional,419,2022-05-28
Northern Peninsula Area Regional,642,2022-05-28
Not Supplied,644379,2022-05-28
Palm Island Aboriginal Shire,659,2022-05-28
Paroo Shire,63,2022-05-28
Pormpuraaw Aboriginal Shire,193,2022-05-28
Quilpie Shire,23,2022-05-28
Redland City,14148,2022-05-28
Richmond Shire,29,2022-05-28
Rockhampton Regional,5599,2022-05-28
Scenic Rim Regional,2212,2022-05-28
Somerset Regional,1483,2022-05-28
South Burnett Regional,1150,2022-05-28
Southern Downs Regional,1944,2022-05-28
Sunshine Coast Regional,32586,2022-05-28
Tablelands Regional,3284,2022-05-28
Toowoomba Regional,9191,2022-05-28
Torres Shire,1184,2022-05-28
Torres Strait Island Regional,909,2022-05-28
Townsville City,21152,2022-05-28
Weipa Town,1155,2022-05-28
Western Downs Regional,1188,2022-05-28
Whitsunday Regional,2420,2022-05-28
Winton Shire,22,2022-05-28
Woorabinda Aboriginal Shire,26,2022-05-28
Wujal Wujal Aboriginal Shire,88,2022-05-28
Yarrabah Aboriginal Shire,770,2022-05-28
Total cases,1164669,2022-05-28
