Local Government Area,Total,Date
Aurukun Shire,5,2022-01-23
Balonne Shire,55,2022-01-23
Banana Shire,173,2022-01-23
Barcaldine Regional,16,2022-01-23
Barcoo Shire,2,2022-01-23
Blackall Tambo Regional,16,2022-01-23
Brisbane City,63123,2022-01-23
Bulloo Shire,3,2022-01-23
Bundaberg Regional,1399,2022-01-23
Burdekin Shire,332,2022-01-23
Burke Shire,4,2022-01-23
Cairns Regional,11277,2022-01-23
Carpentaria Shire,15,2022-01-23
Cassowary Coast Regional,983,2022-01-23
Central Highlands Regional,491,2022-01-23
Charters Towers Regional,43,2022-01-23
Cherbourg Aboriginal Shire,106,2022-01-23
Cloncurry Shire,47,2022-01-23
Cook Shire,167,2022-01-23
Croydon Shire,1,2022-01-23
Diamantina Shire,2,2022-01-23
Doomadgee Aboriginal Shire,2,2022-01-23
Douglas Shire,930,2022-01-23
Etheridge Shire,4,2022-01-23
Flinders Shire,10,2022-01-23
Fraser Coast Regional,1774,2022-01-23
Gladstone Regional,904,2022-01-23
Gold Coast City,40092,2022-01-23
Goondiwindi Regional,215,2022-01-23
Gympie Regional,887,2022-01-23
Hinchinbrook Shire,150,2022-01-23
Hope Vale Aboriginal Shire,3,2022-01-23
Interstate/Other,10591,2022-01-23
Ipswich City,12051,2022-01-23
Isaac Regional,392,2022-01-23
Kowanyama Aboriginal Shire,6,2022-01-23
Livingstone Shire,746,2022-01-23
Lockhart River Aboriginal Shire,30,2022-01-23
Lockyer Valley Regional,1031,2022-01-23
Logan City,17918,2022-01-23
Longreach Regional,25,2022-01-23
Mackay Regional,3357,2022-01-23
Mapoon Aboriginal Shire,2,2022-01-23
Maranoa Regional,256,2022-01-23
Mareeba Shire,898,2022-01-23
McKinlay Shire,3,2022-01-23
Moreton Bay Regional,15902,2022-01-23
Mornington Shire,4,2022-01-23
Mount Isa City,126,2022-01-23
Murweh Shire,83,2022-01-23
Napranum Aboriginal Shire,5,2022-01-23
Noosa Shire,2589,2022-01-23
North Burnett Regional,107,2022-01-23
Northern Peninsula Area Regional,16,2022-01-23
Not Supplied,25838,2022-01-23
Palm Island Aboriginal Shire,149,2022-01-23
Paroo Shire,19,2022-01-23
Pormpuraaw Aboriginal Shire,1,2022-01-23
Quilpie Shire,9,2022-01-23
Redland City,5750,2022-01-23
Richmond Shire,2,2022-01-23
Rockhampton Regional,1445,2022-01-23
Scenic Rim Regional,901,2022-01-23
Somerset Regional,628,2022-01-23
South Burnett Regional,480,2022-01-23
Southern Downs Regional,758,2022-01-23
Sunshine Coast Regional,13911,2022-01-23
Tablelands Regional,662,2022-01-23
Toowoomba Regional,3437,2022-01-23
Torres Shire,49,2022-01-23
Torres Strait Island Regional,18,2022-01-23
Townsville City,4922,2022-01-23
Weipa Town,53,2022-01-23
Western Downs Regional,632,2022-01-23
Whitsunday Regional,1587,2022-01-23
Winton Shire,8,2022-01-23
Woorabinda Aboriginal Shire,6,2022-01-23
Wujal Wujal Aboriginal Shire,4,2022-01-23
Yarrabah Aboriginal Shire,69,2022-01-23
Total,250707,2022-01-23
