Local Government Area,Total cases,Date
Aurukun Shire,75,2022-02-11
Balonne Shire,97,2022-02-11
Banana Shire,282,2022-02-11
Barcaldine Regional,17,2022-02-11
Barcoo Shire,2,2022-02-11
Blackall Tambo Regional,19,2022-02-11
Boulia Shire,1,2022-02-11
Brisbane City,79609,2022-02-11
Bulloo Shire,5,2022-02-11
Bundaberg Regional,2492,2022-02-11
Burdekin Shire,704,2022-02-11
Burke Shire,4,2022-02-11
Cairns Regional,15769,2022-02-11
Carpentaria Shire,71,2022-02-11
Cassowary Coast Regional,1649,2022-02-11
Central Highlands Regional,821,2022-02-11
Charters Towers Regional,156,2022-02-11
Cherbourg Aboriginal Shire,177,2022-02-11
Cloncurry Shire,69,2022-02-11
Cook Shire,290,2022-02-11
Croydon Shire,2,2022-02-11
Diamantina Shire,2,2022-02-11
Doomadgee Aboriginal Shire,82,2022-02-11
Douglas Shire,1142,2022-02-11
Etheridge Shire,5,2022-02-11
Flinders Shire,49,2022-02-11
Fraser Coast Regional,2697,2022-02-11
Gladstone Regional,1338,2022-02-11
Gold Coast City,50854,2022-02-11
Goondiwindi Regional,357,2022-02-11
Gympie Regional,1387,2022-02-11
Hinchinbrook Shire,240,2022-02-11
Hope Vale Aboriginal Shire,24,2022-02-11
Interstate/Other,12025,2022-02-11
Ipswich City,16339,2022-02-11
Isaac Regional,577,2022-02-11
Kowanyama Aboriginal Shire,97,2022-02-11
Livingstone Shire,1281,2022-02-11
Lockhart River Aboriginal Shire,83,2022-02-11
Lockyer Valley Regional,1572,2022-02-11
Logan City,24043,2022-02-11
Longreach Regional,29,2022-02-11
Mackay Regional,5311,2022-02-11
Mapoon Aboriginal Shire,9,2022-02-11
Maranoa Regional,405,2022-02-11
Mareeba Shire,1532,2022-02-11
McKinlay Shire,4,2022-02-11
Moreton Bay Regional,24447,2022-02-11
Mornington Shire,13,2022-02-11
Mount Isa City,459,2022-02-11
Murweh Shire,87,2022-02-11
Napranum Aboriginal Shire,67,2022-02-11
Noosa Shire,3253,2022-02-11
North Burnett Regional,202,2022-02-11
Northern Peninsula Area Regional,394,2022-02-11
Not Supplied,168735,2022-02-11
Palm Island Aboriginal Shire,397,2022-02-11
Paroo Shire,32,2022-02-11
Pormpuraaw Aboriginal Shire,24,2022-02-11
Quilpie Shire,13,2022-02-11
Redland City,8240,2022-02-11
Richmond Shire,4,2022-02-11
Rockhampton Regional,2507,2022-02-11
Scenic Rim Regional,1274,2022-02-11
Somerset Regional,946,2022-02-11
South Burnett Regional,745,2022-02-11
Southern Downs Regional,1130,2022-02-11
Sunshine Coast Regional,19662,2022-02-11
Tablelands Regional,982,2022-02-11
Toowoomba Regional,4600,2022-02-11
Torres Shire,401,2022-02-11
Torres Strait Island Regional,323,2022-02-11
Townsville City,9062,2022-02-11
Weipa Town,192,2022-02-11
Western Downs Regional,828,2022-02-11
Whitsunday Regional,1914,2022-02-11
Winton Shire,10,2022-02-11
Woorabinda Aboriginal Shire,11,2022-02-11
Wujal Wujal Aboriginal Shire,23,2022-02-11
Yarrabah Aboriginal Shire,610,2022-02-11
Total cases,475382,2022-02-11
