Local Government Area,Total cases,Date
Aurukun Shire,46,2022-02-01
Balonne Shire,89,2022-02-01
Banana Shire,228,2022-02-01
Barcaldine Regional,17,2022-02-01
Barcoo Shire,2,2022-02-01
Blackall Tambo Regional,17,2022-02-01
Brisbane City,73675,2022-02-01
Bulloo Shire,4,2022-02-01
Bundaberg Regional,2010,2022-02-01
Burdekin Shire,506,2022-02-01
Burke Shire,4,2022-02-01
Cairns Regional,13764,2022-02-01
Carpentaria Shire,30,2022-02-01
Cassowary Coast Regional,1394,2022-02-01
Central Highlands Regional,663,2022-02-01
Charters Towers Regional,66,2022-02-01
Cherbourg Aboriginal Shire,145,2022-02-01
Cloncurry Shire,59,2022-02-01
Cook Shire,245,2022-02-01
Croydon Shire,2,2022-02-01
Diamantina Shire,2,2022-02-01
Doomadgee Aboriginal Shire,44,2022-02-01
Douglas Shire,1033,2022-02-01
Etheridge Shire,5,2022-02-01
Flinders Shire,22,2022-02-01
Fraser Coast Regional,2335,2022-02-01
Gladstone Regional,1088,2022-02-01
Gold Coast City,47083,2022-02-01
Goondiwindi Regional,292,2022-02-01
Gympie Regional,1147,2022-02-01
Hinchinbrook Shire,195,2022-02-01
Hope Vale Aboriginal Shire,9,2022-02-01
Interstate/Other,11520,2022-02-01
Ipswich City,14692,2022-02-01
Isaac Regional,510,2022-02-01
Kowanyama Aboriginal Shire,51,2022-02-01
Livingstone Shire,1036,2022-02-01
Lockhart River Aboriginal Shire,72,2022-02-01
Lockyer Valley Regional,1365,2022-02-01
Logan City,21897,2022-02-01
Longreach Regional,28,2022-02-01
Mackay Regional,4522,2022-02-01
Mapoon Aboriginal Shire,8,2022-02-01
Maranoa Regional,312,2022-02-01
Mareeba Shire,1253,2022-02-01
McKinlay Shire,4,2022-02-01
Moreton Bay Regional,21328,2022-02-01
Mornington Shire,11,2022-02-01
Mount Isa City,183,2022-02-01
Murweh Shire,85,2022-02-01
Napranum Aboriginal Shire,26,2022-02-01
Noosa Shire,3000,2022-02-01
North Burnett Regional,181,2022-02-01
Northern Peninsula Area Regional,237,2022-02-01
Not Supplied,139253,2022-02-01
Palm Island Aboriginal Shire,298,2022-02-01
Paroo Shire,27,2022-02-01
Pormpuraaw Aboriginal Shire,3,2022-02-01
Quilpie Shire,12,2022-02-01
Redland City,7212,2022-02-01
Richmond Shire,3,2022-02-01
Rockhampton Regional,2059,2022-02-01
Scenic Rim Regional,1111,2022-02-01
Somerset Regional,825,2022-02-01
South Burnett Regional,651,2022-02-01
Southern Downs Regional,987,2022-02-01
Sunshine Coast Regional,17271,2022-02-01
Tablelands Regional,859,2022-02-01
Toowoomba Regional,4109,2022-02-01
Torres Shire,283,2022-02-01
Torres Strait Island Regional,235,2022-02-01
Townsville City,6788,2022-02-01
Weipa Town,143,2022-02-01
Western Downs Regional,758,2022-02-01
Whitsunday Regional,1772,2022-02-01
Winton Shire,10,2022-02-01
Woorabinda Aboriginal Shire,10,2022-02-01
Wujal Wujal Aboriginal Shire,8,2022-02-01
Yarrabah Aboriginal Shire,441,2022-02-01
Total cases,413670,2022-02-01
