Local Government Area,Total cases,Date
Aurukun Shire,104,2022-07-12
Balonne Shire,329,2022-07-12
Banana Shire,625,2022-07-12
Barcaldine Regional,100,2022-07-12
Barcoo Shire,3,2022-07-12
Blackall Tambo Regional,53,2022-07-12
Boulia Shire,11,2022-07-12
Brisbane City,135723,2022-07-12
Bulloo Shire,8,2022-07-12
Bundaberg Regional,7116,2022-07-12
Burdekin Shire,1190,2022-07-12
Burke Shire,7,2022-07-12
Cairns Regional,41737,2022-07-12
Carpentaria Shire,157,2022-07-12
Cassowary Coast Regional,4626,2022-07-12
Central Highlands Regional,1776,2022-07-12
Charters Towers Regional,281,2022-07-12
Cherbourg Aboriginal Shire,324,2022-07-12
Cloncurry Shire,135,2022-07-12
Cook Shire,945,2022-07-12
Croydon Shire,15,2022-07-12
Diamantina Shire,20,2022-07-12
Doomadgee Aboriginal Shire,159,2022-07-12
Douglas Shire,2630,2022-07-12
Etheridge Shire,55,2022-07-12
Flinders Shire,153,2022-07-12
Fraser Coast Regional,10149,2022-07-12
Gladstone Regional,3318,2022-07-12
Gold Coast City,75779,2022-07-12
Goondiwindi Regional,586,2022-07-12
Gympie Regional,3294,2022-07-12
Hinchinbrook Shire,442,2022-07-12
Hope Vale Aboriginal Shire,280,2022-07-12
Interstate/Other,71985,2022-07-12
Ipswich City,28669,2022-07-12
Isaac Regional,907,2022-07-12
Kowanyama Aboriginal Shire,174,2022-07-12
Livingstone Shire,2419,2022-07-12
Lockhart River Aboriginal Shire,128,2022-07-12
Lockyer Valley Regional,2754,2022-07-12
Logan City,36760,2022-07-12
Longreach Regional,90,2022-07-12
Mackay Regional,10796,2022-07-12
Mapoon Aboriginal Shire,69,2022-07-12
Maranoa Regional,899,2022-07-12
Mareeba Shire,4411,2022-07-12
McKinlay Shire,11,2022-07-12
Moreton Bay Regional,48247,2022-07-12
Mornington Shire,128,2022-07-12
Mount Isa City,741,2022-07-12
Murweh Shire,231,2022-07-12
Napranum Aboriginal Shire,254,2022-07-12
Noosa Shire,5202,2022-07-12
North Burnett Regional,461,2022-07-12
Northern Peninsula Area Regional,657,2022-07-12
Not Supplied,734553,2022-07-12
Palm Island Aboriginal Shire,677,2022-07-12
Paroo Shire,74,2022-07-12
Pormpuraaw Aboriginal Shire,195,2022-07-12
Quilpie Shire,27,2022-07-12
Redland City,15300,2022-07-12
Richmond Shire,34,2022-07-12
Rockhampton Regional,5914,2022-07-12
Scenic Rim Regional,2470,2022-07-12
Somerset Regional,1635,2022-07-12
South Burnett Regional,1288,2022-07-12
Southern Downs Regional,2309,2022-07-12
Sunshine Coast Regional,34705,2022-07-12
Tablelands Regional,3845,2022-07-12
Toowoomba Regional,11315,2022-07-12
Torres Shire,1210,2022-07-12
Torres Strait Island Regional,919,2022-07-12
Townsville City,24483,2022-07-12
Weipa Town,1251,2022-07-12
Western Downs Regional,1329,2022-07-12
Whitsunday Regional,2549,2022-07-12
Winton Shire,25,2022-07-12
Woorabinda Aboriginal Shire,303,2022-07-12
Wujal Wujal Aboriginal Shire,92,2022-07-12
Yarrabah Aboriginal Shire,831,2022-07-12
Total cases,1355456,2022-07-12
