Local Government Area,Total cases,Date
Aurukun Shire,124,2022-08-01
Balonne Shire,424,2022-08-01
Banana Shire,766,2022-08-01
Barcaldine Regional,143,2022-08-01
Barcoo Shire,3,2022-08-01
Blackall Tambo Regional,77,2022-08-01
Boulia Shire,12,2022-08-01
Brisbane City,154667,2022-08-01
Bulloo Shire,11,2022-08-01
Bundaberg Regional,9687,2022-08-01
Burdekin Shire,1429,2022-08-01
Burke Shire,26,2022-08-01
Cairns Regional,44604,2022-08-01
Carpentaria Shire,164,2022-08-01
Cassowary Coast Regional,5012,2022-08-01
Central Highlands Regional,2076,2022-08-01
Charters Towers Regional,1129,2022-08-01
Cherbourg Aboriginal Shire,343,2022-08-01
Cloncurry Shire,166,2022-08-01
Cook Shire,1028,2022-08-01
Croydon Shire,18,2022-08-01
Diamantina Shire,30,2022-08-01
Doomadgee Aboriginal Shire,163,2022-08-01
Douglas Shire,2776,2022-08-01
Etheridge Shire,62,2022-08-01
Flinders Shire,177,2022-08-01
Fraser Coast Regional,11567,2022-08-01
Gladstone Regional,4686,2022-08-01
Gold Coast City,85781,2022-08-01
Goondiwindi Regional,726,2022-08-01
Gympie Regional,3886,2022-08-01
Hinchinbrook Shire,581,2022-08-01
Hope Vale Aboriginal Shire,316,2022-08-01
Interstate/Other,21028,2022-08-01
Ipswich City,29982,2022-08-01
Isaac Regional,1059,2022-08-01
Kowanyama Aboriginal Shire,192,2022-08-01
Livingstone Shire,2913,2022-08-01
Lockhart River Aboriginal Shire,134,2022-08-01
Lockyer Valley Regional,2999,2022-08-01
Logan City,41071,2022-08-01
Longreach Regional,134,2022-08-01
Mackay Regional,12755,2022-08-01
Mapoon Aboriginal Shire,78,2022-08-01
Maranoa Regional,1108,2022-08-01
Mareeba Shire,4776,2022-08-01
McKinlay Shire,20,2022-08-01
Moreton Bay Regional,55310,2022-08-01
Mornington Shire,132,2022-08-01
Mount Isa City,1874,2022-08-01
Murweh Shire,316,2022-08-01
Napranum Aboriginal Shire,266,2022-08-01
Noosa Shire,6114,2022-08-01
North Burnett Regional,626,2022-08-01
Northern Peninsula Area Regional,749,2022-08-01
Not Supplied,829752,2022-08-01
Palm Island Aboriginal Shire,764,2022-08-01
Paroo Shire,90,2022-08-01
Pormpuraaw Aboriginal Shire,206,2022-08-01
Quilpie Shire,42,2022-08-01
Redland City,16912,2022-08-01
Richmond Shire,50,2022-08-01
Rockhampton Regional,6763,2022-08-01
Scenic Rim Regional,2927,2022-08-01
Somerset Regional,1831,2022-08-01
South Burnett Regional,1581,2022-08-01
Southern Downs Regional,2958,2022-08-01
Sunshine Coast Regional,39253,2022-08-01
Tablelands Regional,4223,2022-08-01
Toowoomba Regional,17163,2022-08-01
Torres Shire,1287,2022-08-01
Torres Strait Island Regional,966,2022-08-01
Townsville City,28272,2022-08-01
Weipa Town,1373,2022-08-01
Western Downs Regional,1578,2022-08-01
Whitsunday Regional,3139,2022-08-01
Winton Shire,41,2022-08-01
Woorabinda Aboriginal Shire,312,2022-08-01
Wujal Wujal Aboriginal Shire,103,2022-08-01
Yarrabah Aboriginal Shire,895,2022-08-01
Total cases,1478777,2022-08-01
