Local Government Area,Total,Date
Aurukun Shire,3,2022-01-18
Balonne Shire,40,2022-01-18
Banana Shire,125,2022-01-18
Barcaldine Regional,12,2022-01-18
Barcoo Shire,2,2022-01-18
Blackall Tambo Regional,13,2022-01-18
Brisbane City,51909,2022-01-18
Bulloo Shire,3,2022-01-18
Bundaberg Regional,1044,2022-01-18
Burdekin Shire,204,2022-01-18
Burke Shire,3,2022-01-18
Cairns Regional,8647,2022-01-18
Carpentaria Shire,10,2022-01-18
Cassowary Coast Regional,614,2022-01-18
Central Highlands Regional,364,2022-01-18
Charters Towers Regional,28,2022-01-18
Cherbourg Aboriginal Shire,104,2022-01-18
Cloncurry Shire,30,2022-01-18
Cook Shire,160,2022-01-18
Croydon Shire,1,2022-01-18
Diamantina Shire,2,2022-01-18
Doomadgee Aboriginal Shire,2,2022-01-18
Douglas Shire,740,2022-01-18
Etheridge Shire,4,2022-01-18
Flinders Shire,9,2022-01-18
Fraser Coast Regional,1326,2022-01-18
Gladstone Regional,708,2022-01-18
Gold Coast City,31139,2022-01-18
Goondiwindi Regional,169,2022-01-18
Gympie Regional,633,2022-01-18
Hinchinbrook Shire,118,2022-01-18
Hope Vale Aboriginal Shire,3,2022-01-18
Interstate/Other,9218,2022-01-18
Ipswich City,9361,2022-01-18
Isaac Regional,318,2022-01-18
Kowanyama Aboriginal Shire,4,2022-01-18
Livingstone Shire,530,2022-01-18
Lockhart River Aboriginal Shire,26,2022-01-18
Lockyer Valley Regional,728,2022-01-18
Logan City,13749,2022-01-18
Longreach Regional,23,2022-01-18
Mackay Regional,2613,2022-01-18
Mapoon Aboriginal Shire,2,2022-01-18
Maranoa Regional,171,2022-01-18
Mareeba Shire,616,2022-01-18
McKinlay Shire,2,2022-01-18
Moreton Bay Regional,11327,2022-01-18
Mornington Shire,2,2022-01-18
Mount Isa City,82,2022-01-18
Murweh Shire,76,2022-01-18
Napranum Aboriginal Shire,5,2022-01-18
Noosa Shire,1987,2022-01-18
North Burnett Regional,77,2022-01-18
Northern Peninsula Area Regional,11,2022-01-18
Not Supplied,19735,2022-01-18
Palm Island Aboriginal Shire,33,2022-01-18
Paroo Shire,13,2022-01-18
Pormpuraaw Aboriginal Shire,1,2022-01-18
Quilpie Shire,9,2022-01-18
Redland City,4356,2022-01-18
Richmond Shire,2,2022-01-18
Rockhampton Regional,1025,2022-01-18
Scenic Rim Regional,636,2022-01-18
Somerset Regional,451,2022-01-18
South Burnett Regional,389,2022-01-18
Southern Downs Regional,607,2022-01-18
Sunshine Coast Regional,10297,2022-01-18
Tablelands Regional,464,2022-01-18
Toowoomba Regional,2733,2022-01-18
Torres Shire,46,2022-01-18
Torres Strait Island Regional,10,2022-01-18
Townsville City,3314,2022-01-18
Weipa Town,42,2022-01-18
Western Downs Regional,464,2022-01-18
Whitsunday Regional,1402,2022-01-18
Winton Shire,8,2022-01-18
Woorabinda Aboriginal Shire,4,2022-01-18
Wujal Wujal Aboriginal Shire,4,2022-01-18
Yarrabah Aboriginal Shire,22,2022-01-18
Total,195164,2022-01-18
