Local Government Area,Total cases,Date
Aurukun Shire,94,2022-06-22
Balonne Shire,280,2022-06-22
Banana Shire,592,2022-06-22
Barcaldine Regional,70,2022-06-22
Barcoo Shire,3,2022-06-22
Blackall Tambo Regional,46,2022-06-22
Boulia Shire,11,2022-06-22
Brisbane City,131011,2022-06-22
Bulloo Shire,8,2022-06-22
Bundaberg Regional,6725,2022-06-22
Burdekin Shire,1166,2022-06-22
Burke Shire,7,2022-06-22
Cairns Regional,40031,2022-06-22
Carpentaria Shire,155,2022-06-22
Cassowary Coast Regional,4367,2022-06-22
Central Highlands Regional,1704,2022-06-22
Charters Towers Regional,268,2022-06-22
Cherbourg Aboriginal Shire,304,2022-06-22
Cloncurry Shire,128,2022-06-22
Cook Shire,905,2022-06-22
Croydon Shire,15,2022-06-22
Diamantina Shire,20,2022-06-22
Doomadgee Aboriginal Shire,156,2022-06-22
Douglas Shire,2530,2022-06-22
Etheridge Shire,51,2022-06-22
Flinders Shire,107,2022-06-22
Fraser Coast Regional,9597,2022-06-22
Gladstone Regional,3207,2022-06-22
Gold Coast City,73579,2022-06-22
Goondiwindi Regional,543,2022-06-22
Gympie Regional,3189,2022-06-22
Hinchinbrook Shire,431,2022-06-22
Hope Vale Aboriginal Shire,258,2022-06-22
Interstate/Other,15373,2022-06-22
Ipswich City,27828,2022-06-22
Isaac Regional,882,2022-06-22
Kowanyama Aboriginal Shire,158,2022-06-22
Livingstone Shire,2360,2022-06-22
Lockhart River Aboriginal Shire,125,2022-06-22
Lockyer Valley Regional,2614,2022-06-22
Logan City,35658,2022-06-22
Longreach Regional,79,2022-06-22
Mackay Regional,10493,2022-06-22
Mapoon Aboriginal Shire,62,2022-06-22
Maranoa Regional,811,2022-06-22
Mareeba Shire,4169,2022-06-22
McKinlay Shire,9,2022-06-22
Moreton Bay Regional,46420,2022-06-22
Mornington Shire,127,2022-06-22
Mount Isa City,702,2022-06-22
Murweh Shire,183,2022-06-22
Napranum Aboriginal Shire,252,2022-06-22
Noosa Shire,5017,2022-06-22
North Burnett Regional,446,2022-06-22
Northern Peninsula Area Regional,650,2022-06-22
Not Supplied,717268,2022-06-22
Palm Island Aboriginal Shire,663,2022-06-22
Paroo Shire,67,2022-06-22
Pormpuraaw Aboriginal Shire,193,2022-06-22
Quilpie Shire,25,2022-06-22
Redland City,14727,2022-06-22
Richmond Shire,33,2022-06-22
Rockhampton Regional,5768,2022-06-22
Scenic Rim Regional,2341,2022-06-22
Somerset Regional,1562,2022-06-22
South Burnett Regional,1217,2022-06-22
Southern Downs Regional,2103,2022-06-22
Sunshine Coast Regional,33865,2022-06-22
Tablelands Regional,3546,2022-06-22
Toowoomba Regional,10208,2022-06-22
Torres Shire,1185,2022-06-22
Torres Strait Island Regional,911,2022-06-22
Townsville City,22898,2022-06-22
Weipa Town,1197,2022-06-22
Western Downs Regional,1249,2022-06-22
Whitsunday Regional,2467,2022-06-22
Winton Shire,23,2022-06-22
Woorabinda Aboriginal Shire,239,2022-06-22
Wujal Wujal Aboriginal Shire,92,2022-06-22
Yarrabah Aboriginal Shire,808,2022-06-22
Total cases,1260631,2022-06-22
