Local Government Area,Total cases,Date
Aurukun Shire,94,2022-06-14
Balonne Shire,275,2022-06-14
Banana Shire,586,2022-06-14
Barcaldine Regional,63,2022-06-14
Barcoo Shire,3,2022-06-14
Blackall Tambo Regional,46,2022-06-14
Boulia Shire,11,2022-06-14
Brisbane City,129500,2022-06-14
Bulloo Shire,8,2022-06-14
Bundaberg Regional,6553,2022-06-14
Burdekin Shire,1138,2022-06-14
Burke Shire,7,2022-06-14
Cairns Regional,39511,2022-06-14
Carpentaria Shire,152,2022-06-14
Cassowary Coast Regional,4286,2022-06-14
Central Highlands Regional,1670,2022-06-14
Charters Towers Regional,265,2022-06-14
Cherbourg Aboriginal Shire,299,2022-06-14
Cloncurry Shire,128,2022-06-14
Cook Shire,892,2022-06-14
Croydon Shire,11,2022-06-14
Diamantina Shire,20,2022-06-14
Doomadgee Aboriginal Shire,155,2022-06-14
Douglas Shire,2514,2022-06-14
Etheridge Shire,50,2022-06-14
Flinders Shire,96,2022-06-14
Fraser Coast Regional,9159,2022-06-14
Gladstone Regional,3165,2022-06-14
Gold Coast City,72944,2022-06-14
Goondiwindi Regional,529,2022-06-14
Gympie Regional,3131,2022-06-14
Hinchinbrook Shire,428,2022-06-14
Hope Vale Aboriginal Shire,256,2022-06-14
Interstate/Other,15145,2022-06-14
Ipswich City,27511,2022-06-14
Isaac Regional,878,2022-06-14
Kowanyama Aboriginal Shire,156,2022-06-14
Livingstone Shire,2340,2022-06-14
Lockhart River Aboriginal Shire,125,2022-06-14
Lockyer Valley Regional,2569,2022-06-14
Logan City,35330,2022-06-14
Longreach Regional,76,2022-06-14
Mackay Regional,10410,2022-06-14
Mapoon Aboriginal Shire,62,2022-06-14
Maranoa Regional,781,2022-06-14
Mareeba Shire,4084,2022-06-14
McKinlay Shire,8,2022-06-14
Moreton Bay Regional,45769,2022-06-14
Mornington Shire,126,2022-06-14
Mount Isa City,702,2022-06-14
Murweh Shire,176,2022-06-14
Napranum Aboriginal Shire,249,2022-06-14
Noosa Shire,4954,2022-06-14
North Burnett Regional,438,2022-06-14
Northern Peninsula Area Regional,647,2022-06-14
Not Supplied,692465,2022-06-14
Palm Island Aboriginal Shire,661,2022-06-14
Paroo Shire,64,2022-06-14
Pormpuraaw Aboriginal Shire,193,2022-06-14
Quilpie Shire,24,2022-06-14
Redland City,14524,2022-06-14
Richmond Shire,33,2022-06-14
Rockhampton Regional,5725,2022-06-14
Scenic Rim Regional,2299,2022-06-14
Somerset Regional,1525,2022-06-14
South Burnett Regional,1182,2022-06-14
Southern Downs Regional,2031,2022-06-14
Sunshine Coast Regional,33510,2022-06-14
Tablelands Regional,3477,2022-06-14
Toowoomba Regional,9728,2022-06-14
Torres Shire,1185,2022-06-14
Torres Strait Island Regional,910,2022-06-14
Townsville City,22328,2022-06-14
Weipa Town,1185,2022-06-14
Western Downs Regional,1220,2022-06-14
Whitsunday Regional,2450,2022-06-14
Winton Shire,23,2022-06-14
Woorabinda Aboriginal Shire,132,2022-06-14
Wujal Wujal Aboriginal Shire,91,2022-06-14
Yarrabah Aboriginal Shire,796,2022-06-14
Total cases,1228242,2022-06-14
