Local Government Area,Total cases,Date
Aurukun Shire,114,2022-07-21
Balonne Shire,394,2022-07-21
Banana Shire,745,2022-07-21
Barcaldine Regional,135,2022-07-21
Barcoo Shire,3,2022-07-21
Blackall Tambo Regional,75,2022-07-21
Boulia Shire,12,2022-07-21
Brisbane City,151746,2022-07-21
Bulloo Shire,9,2022-07-21
Bundaberg Regional,9413,2022-07-21
Burdekin Shire,1404,2022-07-21
Burke Shire,19,2022-07-21
Cairns Regional,43218,2022-07-21
Carpentaria Shire,162,2022-07-21
Cassowary Coast Regional,4822,2022-07-21
Central Highlands Regional,2038,2022-07-21
Charters Towers Regional,1095,2022-07-21
Cherbourg Aboriginal Shire,332,2022-07-21
Cloncurry Shire,163,2022-07-21
Cook Shire,981,2022-07-21
Croydon Shire,16,2022-07-21
Diamantina Shire,27,2022-07-21
Doomadgee Aboriginal Shire,161,2022-07-21
Douglas Shire,2709,2022-07-21
Etheridge Shire,61,2022-07-21
Flinders Shire,173,2022-07-21
Fraser Coast Regional,11187,2022-07-21
Gladstone Regional,4630,2022-07-21
Gold Coast City,84480,2022-07-21
Goondiwindi Regional,696,2022-07-21
Gympie Regional,3817,2022-07-21
Hinchinbrook Shire,568,2022-07-21
Hope Vale Aboriginal Shire,306,2022-07-21
Interstate/Other,20685,2022-07-21
Ipswich City,29466,2022-07-21
Isaac Regional,1038,2022-07-21
Kowanyama Aboriginal Shire,180,2022-07-21
Livingstone Shire,2867,2022-07-21
Lockhart River Aboriginal Shire,131,2022-07-21
Lockyer Valley Regional,2874,2022-07-21
Logan City,40175,2022-07-21
Longreach Regional,124,2022-07-21
Mackay Regional,12487,2022-07-21
Mapoon Aboriginal Shire,78,2022-07-21
Maranoa Regional,1074,2022-07-21
Mareeba Shire,4558,2022-07-21
McKinlay Shire,21,2022-07-21
Moreton Bay Regional,54220,2022-07-21
Mornington Shire,131,2022-07-21
Mount Isa City,1829,2022-07-21
Murweh Shire,295,2022-07-21
Napranum Aboriginal Shire,262,2022-07-21
Noosa Shire,6024,2022-07-21
North Burnett Regional,609,2022-07-21
Northern Peninsula Area Regional,694,2022-07-21
Not Supplied,779176,2022-07-21
Palm Island Aboriginal Shire,699,2022-07-21
Paroo Shire,89,2022-07-21
Pormpuraaw Aboriginal Shire,202,2022-07-21
Quilpie Shire,42,2022-07-21
Redland City,16587,2022-07-21
Richmond Shire,49,2022-07-21
Rockhampton Regional,6667,2022-07-21
Scenic Rim Regional,2836,2022-07-21
Somerset Regional,1778,2022-07-21
South Burnett Regional,1507,2022-07-21
Southern Downs Regional,2874,2022-07-21
Sunshine Coast Regional,38710,2022-07-21
Tablelands Regional,4016,2022-07-21
Toowoomba Regional,16431,2022-07-21
Torres Shire,1249,2022-07-21
Torres Strait Island Regional,950,2022-07-21
Townsville City,27717,2022-07-21
Weipa Town,1337,2022-07-21
Western Downs Regional,1519,2022-07-21
Whitsunday Regional,3099,2022-07-21
Winton Shire,37,2022-07-21
Woorabinda Aboriginal Shire,308,2022-07-21
Wujal Wujal Aboriginal Shire,102,2022-07-21
Yarrabah Aboriginal Shire,868,2022-07-21
Total cases,1414382,2022-07-21
