Local Government Area,Total cases,Date
Aurukun Shire,85,2022-02-21
Balonne Shire,99,2022-02-21
Banana Shire,353,2022-02-21
Barcaldine Regional,18,2022-02-21
Barcoo Shire,2,2022-02-21
Blackall Tambo Regional,20,2022-02-21
Boulia Shire,3,2022-02-21
Brisbane City,85108,2022-02-21
Bulloo Shire,5,2022-02-21
Bundaberg Regional,2939,2022-02-21
Burdekin Shire,804,2022-02-21
Burke Shire,4,2022-02-21
Cairns Regional,17313,2022-02-21
Carpentaria Shire,117,2022-02-21
Cassowary Coast Regional,1784,2022-02-21
Central Highlands Regional,985,2022-02-21
Charters Towers Regional,197,2022-02-21
Cherbourg Aboriginal Shire,192,2022-02-21
Cloncurry Shire,80,2022-02-21
Cook Shire,389,2022-02-21
Croydon Shire,2,2022-02-21
Diamantina Shire,2,2022-02-21
Doomadgee Aboriginal Shire,126,2022-02-21
Douglas Shire,1270,2022-02-21
Etheridge Shire,9,2022-02-21
Flinders Shire,68,2022-02-21
Fraser Coast Regional,3183,2022-02-21
Gladstone Regional,1525,2022-02-21
Gold Coast City,53821,2022-02-21
Goondiwindi Regional,393,2022-02-21
Gympie Regional,1669,2022-02-21
Hinchinbrook Shire,275,2022-02-21
Hope Vale Aboriginal Shire,43,2022-02-21
Interstate/Other,12301,2022-02-21
Ipswich City,17582,2022-02-21
Isaac Regional,638,2022-02-21
Kowanyama Aboriginal Shire,128,2022-02-21
Livingstone Shire,1445,2022-02-21
Lockhart River Aboriginal Shire,98,2022-02-21
Lockyer Valley Regional,1657,2022-02-21
Logan City,25788,2022-02-21
Longreach Regional,29,2022-02-21
Mackay Regional,6056,2022-02-21
Mapoon Aboriginal Shire,38,2022-02-21
Maranoa Regional,435,2022-02-21
Mareeba Shire,1748,2022-02-21
McKinlay Shire,6,2022-02-21
Moreton Bay Regional,27163,2022-02-21
Mornington Shire,92,2022-02-21
Mount Isa City,599,2022-02-21
Murweh Shire,88,2022-02-21
Napranum Aboriginal Shire,151,2022-02-21
Noosa Shire,3453,2022-02-21
North Burnett Regional,224,2022-02-21
Northern Peninsula Area Regional,478,2022-02-21
Not Supplied,198636,2022-02-21
Palm Island Aboriginal Shire,518,2022-02-21
Paroo Shire,34,2022-02-21
Pormpuraaw Aboriginal Shire,135,2022-02-21
Quilpie Shire,13,2022-02-21
Redland City,9116,2022-02-21
Richmond Shire,12,2022-02-21
Rockhampton Regional,3057,2022-02-21
Scenic Rim Regional,1417,2022-02-21
Somerset Regional,1014,2022-02-21
South Burnett Regional,838,2022-02-21
Southern Downs Regional,1214,2022-02-21
Sunshine Coast Regional,21281,2022-02-21
Tablelands Regional,1050,2022-02-21
Toowoomba Regional,5003,2022-02-21
Torres Shire,557,2022-02-21
Torres Strait Island Regional,417,2022-02-21
Townsville City,10873,2022-02-21
Weipa Town,356,2022-02-21
Western Downs Regional,860,2022-02-21
Whitsunday Regional,2053,2022-02-21
Winton Shire,14,2022-02-21
Woorabinda Aboriginal Shire,13,2022-02-21
Wujal Wujal Aboriginal Shire,39,2022-02-21
Yarrabah Aboriginal Shire,655,2022-02-21
Total cases,532255,2022-02-21
