Local Government Area,Total cases,Date
Aurukun Shire,91,2022-03-25
Balonne Shire,141,2022-03-25
Banana Shire,465,2022-03-25
Barcaldine Regional,21,2022-03-25
Barcoo Shire,2,2022-03-25
Blackall Tambo Regional,21,2022-03-25
Boulia Shire,9,2022-03-25
Brisbane City,96314,2022-03-25
Bulloo Shire,7,2022-03-25
Bundaberg Regional,4266,2022-03-25
Burdekin Shire,934,2022-03-25
Burke Shire,5,2022-03-25
Cairns Regional,23192,2022-03-25
Carpentaria Shire,131,2022-03-25
Cassowary Coast Regional,2608,2022-03-25
Central Highlands Regional,1179,2022-03-25
Charters Towers Regional,234,2022-03-25
Cherbourg Aboriginal Shire,213,2022-03-25
Cloncurry Shire,106,2022-03-25
Cook Shire,613,2022-03-25
Croydon Shire,4,2022-03-25
Diamantina Shire,3,2022-03-25
Doomadgee Aboriginal Shire,148,2022-03-25
Douglas Shire,1519,2022-03-25
Etheridge Shire,11,2022-03-25
Flinders Shire,72,2022-03-25
Fraser Coast Regional,4386,2022-03-25
Gladstone Regional,2410,2022-03-25
Gold Coast City,59217,2022-03-25
Goondiwindi Regional,429,2022-03-25
Gympie Regional,2016,2022-03-25
Hinchinbrook Shire,329,2022-03-25
Hope Vale Aboriginal Shire,199,2022-03-25
Interstate/Other,12803,2022-03-25
Ipswich City,19881,2022-03-25
Isaac Regional,739,2022-03-25
Kowanyama Aboriginal Shire,137,2022-03-25
Livingstone Shire,1763,2022-03-25
Lockhart River Aboriginal Shire,102,2022-03-25
Lockyer Valley Regional,1802,2022-03-25
Logan City,28366,2022-03-25
Longreach Regional,35,2022-03-25
Mackay Regional,7425,2022-03-25
Mapoon Aboriginal Shire,52,2022-03-25
Maranoa Regional,515,2022-03-25
Mareeba Shire,2326,2022-03-25
McKinlay Shire,8,2022-03-25
Moreton Bay Regional,32405,2022-03-25
Mornington Shire,118,2022-03-25
Mount Isa City,653,2022-03-25
Murweh Shire,92,2022-03-25
Napranum Aboriginal Shire,228,2022-03-25
Noosa Shire,3778,2022-03-25
North Burnett Regional,295,2022-03-25
Northern Peninsula Area Regional,582,2022-03-25
Not Supplied,322687,2022-03-25
Palm Island Aboriginal Shire,628,2022-03-25
Paroo Shire,42,2022-03-25
Pormpuraaw Aboriginal Shire,180,2022-03-25
Quilpie Shire,13,2022-03-25
Redland City,10679,2022-03-25
Richmond Shire,17,2022-03-25
Rockhampton Regional,4209,2022-03-25
Scenic Rim Regional,1595,2022-03-25
Somerset Regional,1108,2022-03-25
South Burnett Regional,923,2022-03-25
Southern Downs Regional,1430,2022-03-25
Sunshine Coast Regional,24265,2022-03-25
Tablelands Regional,1785,2022-03-25
Toowoomba Regional,5929,2022-03-25
Torres Shire,893,2022-03-25
Torres Strait Island Regional,656,2022-03-25
Townsville City,15143,2022-03-25
Weipa Town,669,2022-03-25
Western Downs Regional,1011,2022-03-25
Whitsunday Regional,2214,2022-03-25
Winton Shire,18,2022-03-25
Woorabinda Aboriginal Shire,16,2022-03-25
Wujal Wujal Aboriginal Shire,54,2022-03-25
Yarrabah Aboriginal Shire,696,2022-03-25
Total cases,712260,2022-03-25
