Local Government Area,Total cases,Date
Aurukun Shire,134,2022-08-10
Balonne Shire,440,2022-08-10
Banana Shire,789,2022-08-10
Barcaldine Regional,155,2022-08-10
Barcoo Shire,4,2022-08-10
Blackall Tambo Regional,82,2022-08-10
Boulia Shire,13,2022-08-10
Brisbane City,164724,2022-08-10
Bulloo Shire,12,2022-08-10
Bundaberg Regional,10044,2022-08-10
Burdekin Shire,1448,2022-08-10
Burke Shire,27,2022-08-10
Cairns Regional,46235,2022-08-10
Carpentaria Shire,169,2022-08-10
Cassowary Coast Regional,5312,2022-08-10
Central Highlands Regional,2131,2022-08-10
Charters Towers Regional,1168,2022-08-10
Cherbourg Aboriginal Shire,349,2022-08-10
Cloncurry Shire,179,2022-08-10
Cook Shire,1125,2022-08-10
Croydon Shire,20,2022-08-10
Diamantina Shire,31,2022-08-10
Doomadgee Aboriginal Shire,173,2022-08-10
Douglas Shire,2882,2022-08-10
Etheridge Shire,62,2022-08-10
Flinders Shire,179,2022-08-10
Fraser Coast Regional,11912,2022-08-10
Gladstone Regional,4760,2022-08-10
Gold Coast City,90592,2022-08-10
Goondiwindi Regional,761,2022-08-10
Gympie Regional,4060,2022-08-10
Hinchinbrook Shire,607,2022-08-10
Hope Vale Aboriginal Shire,325,2022-08-10
Interstate/Other,20518,2022-08-10
Ipswich City,32605,2022-08-10
Isaac Regional,1075,2022-08-10
Kowanyama Aboriginal Shire,193,2022-08-10
Livingstone Shire,2954,2022-08-10
Lockhart River Aboriginal Shire,140,2022-08-10
Lockyer Valley Regional,3145,2022-08-10
Logan City,42701,2022-08-10
Longreach Regional,148,2022-08-10
Mackay Regional,13090,2022-08-10
Mapoon Aboriginal Shire,80,2022-08-10
Maranoa Regional,1153,2022-08-10
Mareeba Shire,5047,2022-08-10
McKinlay Shire,20,2022-08-10
Moreton Bay Regional,59520,2022-08-10
Mornington Shire,132,2022-08-10
Mount Isa City,1964,2022-08-10
Murweh Shire,335,2022-08-10
Napranum Aboriginal Shire,272,2022-08-10
Noosa Shire,6437,2022-08-10
North Burnett Regional,658,2022-08-10
Northern Peninsula Area Regional,768,2022-08-10
Not Supplied,879123,2022-08-10
Palm Island Aboriginal Shire,755,2022-08-10
Paroo Shire,92,2022-08-10
Pormpuraaw Aboriginal Shire,222,2022-08-10
Quilpie Shire,43,2022-08-10
Redland City,18219,2022-08-10
Richmond Shire,53,2022-08-10
Rockhampton Regional,6885,2022-08-10
Scenic Rim Regional,3087,2022-08-10
Somerset Regional,1930,2022-08-10
South Burnett Regional,1652,2022-08-10
Southern Downs Regional,3075,2022-08-10
Sunshine Coast Regional,42368,2022-08-10
Tablelands Regional,4429,2022-08-10
Toowoomba Regional,18004,2022-08-10
Torres Shire,1314,2022-08-10
Torres Strait Island Regional,990,2022-08-10
Townsville City,28598,2022-08-10
Weipa Town,1457,2022-08-10
Western Downs Regional,1672,2022-08-10
Whitsunday Regional,3176,2022-08-10
Winton Shire,44,2022-08-10
Woorabinda Aboriginal Shire,331,2022-08-10
Wujal Wujal Aboriginal Shire,106,2022-08-10
Yarrabah Aboriginal Shire,959,2022-08-10
Total cases,1562443,2022-08-10
