Local Government Area,Total cases,Date
Aurukun Shire,94,2022-06-07
Balonne Shire,266,2022-06-07
Banana Shire,583,2022-06-07
Barcaldine Regional,60,2022-06-07
Barcoo Shire,3,2022-06-07
Blackall Tambo Regional,44,2022-06-07
Boulia Shire,11,2022-06-07
Brisbane City,128341,2022-06-07
Bulloo Shire,8,2022-06-07
Bundaberg Regional,6432,2022-06-07
Burdekin Shire,1114,2022-06-07
Burke Shire,7,2022-06-07
Cairns Regional,39112,2022-06-07
Carpentaria Shire,150,2022-06-07
Cassowary Coast Regional,4239,2022-06-07
Central Highlands Regional,1649,2022-06-07
Charters Towers Regional,264,2022-06-07
Cherbourg Aboriginal Shire,296,2022-06-07
Cloncurry Shire,128,2022-06-07
Cook Shire,887,2022-06-07
Croydon Shire,11,2022-06-07
Diamantina Shire,20,2022-06-07
Doomadgee Aboriginal Shire,155,2022-06-07
Douglas Shire,2479,2022-06-07
Etheridge Shire,49,2022-06-07
Flinders Shire,96,2022-06-07
Fraser Coast Regional,8832,2022-06-07
Gladstone Regional,3132,2022-06-07
Gold Coast City,72495,2022-06-07
Goondiwindi Regional,523,2022-06-07
Gympie Regional,3090,2022-06-07
Hinchinbrook Shire,424,2022-06-07
Hope Vale Aboriginal Shire,254,2022-06-07
Interstate/Other,14971,2022-06-07
Ipswich City,27253,2022-06-07
Isaac Regional,877,2022-06-07
Kowanyama Aboriginal Shire,156,2022-06-07
Livingstone Shire,2317,2022-06-07
Lockhart River Aboriginal Shire,120,2022-06-07
Lockyer Valley Regional,2537,2022-06-07
Logan City,35097,2022-06-07
Longreach Regional,74,2022-06-07
Mackay Regional,10324,2022-06-07
Mapoon Aboriginal Shire,62,2022-06-07
Maranoa Regional,774,2022-06-07
Mareeba Shire,3975,2022-06-07
McKinlay Shire,8,2022-06-07
Moreton Bay Regional,45278,2022-06-07
Mornington Shire,126,2022-06-07
Mount Isa City,700,2022-06-07
Murweh Shire,175,2022-06-07
Napranum Aboriginal Shire,249,2022-06-07
Noosa Shire,4913,2022-06-07
North Burnett Regional,433,2022-06-07
Northern Peninsula Area Regional,645,2022-06-07
Not Supplied,673756,2022-06-07
Palm Island Aboriginal Shire,660,2022-06-07
Paroo Shire,64,2022-06-07
Pormpuraaw Aboriginal Shire,193,2022-06-07
Quilpie Shire,23,2022-06-07
Redland City,14394,2022-06-07
Richmond Shire,33,2022-06-07
Rockhampton Regional,5670,2022-06-07
Scenic Rim Regional,2271,2022-06-07
Somerset Regional,1511,2022-06-07
South Burnett Regional,1167,2022-06-07
Southern Downs Regional,1998,2022-06-07
Sunshine Coast Regional,33170,2022-06-07
Tablelands Regional,3407,2022-06-07
Toowoomba Regional,9499,2022-06-07
Torres Shire,1185,2022-06-07
Torres Strait Island Regional,910,2022-06-07
Townsville City,21909,2022-06-07
Weipa Town,1180,2022-06-07
Western Downs Regional,1205,2022-06-07
Whitsunday Regional,2437,2022-06-07
Winton Shire,22,2022-06-07
Woorabinda Aboriginal Shire,75,2022-06-07
Wujal Wujal Aboriginal Shire,90,2022-06-07
Yarrabah Aboriginal Shire,780,2022-06-07
Total cases,1203921,2022-06-07
