Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Aurukun Shire,0,0,0,0,3,3,2022-01-17
Balonne Shire,0,1,1,0,34,36,2022-01-17
Banana Shire,0,6,0,0,115,121,2022-01-17
Barcaldine Regional,0,0,0,0,12,12,2022-01-17
Barcoo Shire,0,0,0,0,2,2,2022-01-17
Blackall Tambo Regional,0,0,0,0,13,13,2022-01-17
Brisbane City,594,396,86,36,48761,49873,2022-01-17
Bulloo Shire,0,0,0,0,3,3,2022-01-17
Bundaberg Regional,19,8,4,0,925,956,2022-01-17
Burdekin Shire,0,0,1,0,191,192,2022-01-17
Burke Shire,0,0,0,0,3,3,2022-01-17
Cairns Regional,43,454,387,30,6942,7856,2022-01-17
Carpentaria Shire,0,0,0,0,10,10,2022-01-17
Cassowary Coast Regional,3,29,26,2,518,578,2022-01-17
Central Highlands Regional,0,7,11,1,315,334,2022-01-17
Charters Towers Regional,2,1,0,0,23,26,2022-01-17
Cherbourg Aboriginal Shire,0,38,15,0,51,104,2022-01-17
Cloncurry Shire,0,0,0,0,26,26,2022-01-17
Cook Shire,0,11,28,2,118,159,2022-01-17
Croydon Shire,0,0,0,0,1,1,2022-01-17
Diamantina Shire,0,0,0,0,2,2,2022-01-17
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-17
Douglas Shire,2,30,31,3,645,711,2022-01-17
Etheridge Shire,0,0,0,0,3,3,2022-01-17
Flinders Shire,0,0,0,0,9,9,2022-01-17
Fraser Coast Regional,12,6,6,2,1215,1241,2022-01-17
Gladstone Regional,7,27,15,1,637,687,2022-01-17
Gold Coast City,193,299,418,48,28450,29408,2022-01-17
Goondiwindi Regional,2,9,3,2,147,163,2022-01-17
Gympie Regional,4,14,3,0,542,563,2022-01-17
Hinchinbrook Shire,1,0,0,0,113,114,2022-01-17
Hope Vale Aboriginal Shire,0,0,1,0,2,3,2022-01-17
Interstate/Other,168,55,69,114,8278,8684,2022-01-17
Ipswich City,32,76,33,2,8592,8735,2022-01-17
Isaac Regional,0,5,6,0,293,304,2022-01-17
Kowanyama Aboriginal Shire,0,0,0,0,4,4,2022-01-17
Livingstone Shire,4,31,11,1,453,500,2022-01-17
Lockhart River Aboriginal Shire,0,8,3,0,15,26,2022-01-17
Lockyer Valley Regional,2,10,1,0,649,662,2022-01-17
Logan City,47,37,16,12,12945,13057,2022-01-17
Longreach Regional,0,0,0,0,22,22,2022-01-17
Mackay Regional,22,20,36,3,2334,2415,2022-01-17
Mapoon Aboriginal Shire,0,0,0,0,2,2,2022-01-17
Maranoa Regional,0,6,4,1,148,159,2022-01-17
Mareeba Shire,3,44,22,2,515,586,2022-01-17
McKinlay Shire,0,0,0,0,2,2,2022-01-17
Moreton Bay Regional,119,36,18,4,10567,10744,2022-01-17
Mornington Shire,0,0,0,0,2,2,2022-01-17
Mount Isa City,0,0,0,0,65,65,2022-01-17
Murweh Shire,0,0,2,1,72,75,2022-01-17
Napranum Aboriginal Shire,0,0,1,0,4,5,2022-01-17
Noosa Shire,19,30,20,2,1822,1893,2022-01-17
North Burnett Regional,1,1,1,1,62,66,2022-01-17
Northern Peninsula Area Regional,0,0,2,1,7,10,2022-01-17
Not Supplied,65,91,118,9,18959,19242,2022-01-17
Palm Island Aboriginal Shire,0,0,0,0,23,23,2022-01-17
Paroo Shire,0,1,0,0,11,12,2022-01-17
Pormpuraaw Aboriginal Shire,0,0,1,0,0,1,2022-01-17
Quilpie Shire,0,0,1,0,8,9,2022-01-17
Redland City,28,14,5,2,4088,4137,2022-01-17
Richmond Shire,0,0,0,0,2,2,2022-01-17
Rockhampton Regional,21,70,26,3,827,947,2022-01-17
Scenic Rim Regional,4,4,3,0,572,583,2022-01-17
Somerset Regional,3,2,1,1,410,417,2022-01-17
South Burnett Regional,2,26,11,1,309,349,2022-01-17
Southern Downs Regional,2,14,15,3,554,588,2022-01-17
Sunshine Coast Regional,82,74,65,20,9387,9628,2022-01-17
Tablelands Regional,5,23,24,1,390,443,2022-01-17
Toowoomba Regional,42,113,57,18,2309,2539,2022-01-17
Torres Shire,1,5,4,0,34,44,2022-01-17
Torres Strait Island Regional,0,2,1,0,7,10,2022-01-17
Townsville City,31,18,20,6,3018,3093,2022-01-17
Weipa Town,0,5,15,1,21,42,2022-01-17
Western Downs Regional,4,16,8,1,428,457,2022-01-17
Whitsunday Regional,7,17,46,2,1288,1360,2022-01-17
Winton Shire,0,0,0,0,8,8,2022-01-17
Woorabinda Aboriginal Shire,0,0,0,0,3,3,2022-01-17
Wujal Wujal Aboriginal Shire,0,2,0,0,2,4,2022-01-17
Yarrabah Aboriginal Shire,0,16,1,0,5,22,2022-01-17
Total,1596,2209,1703,339,179348,185195,2022-01-17
