Local Government Area,Total,Date
Aurukun Shire,42,2022-01-29
Balonne Shire,79,2022-01-29
Banana Shire,212,2022-01-29
Barcaldine Regional,17,2022-01-29
Barcoo Shire,2,2022-01-29
Blackall Tambo Regional,17,2022-01-29
Brisbane City,71086,2022-01-29
Bulloo Shire,3,2022-01-29
Bundaberg Regional,1808,2022-01-29
Burdekin Shire,437,2022-01-29
Burke Shire,4,2022-01-29
Cairns Regional,13241,2022-01-29
Carpentaria Shire,28,2022-01-29
Cassowary Coast Regional,1251,2022-01-29
Central Highlands Regional,606,2022-01-29
Charters Towers Regional,53,2022-01-29
Cherbourg Aboriginal Shire,133,2022-01-29
Cloncurry Shire,57,2022-01-29
Cook Shire,236,2022-01-29
Croydon Shire,2,2022-01-29
Diamantina Shire,2,2022-01-29
Doomadgee Aboriginal Shire,28,2022-01-29
Douglas Shire,985,2022-01-29
Etheridge Shire,4,2022-01-29
Flinders Shire,18,2022-01-29
Fraser Coast Regional,2157,2022-01-29
Gladstone Regional,1040,2022-01-29
Gold Coast City,45309,2022-01-29
Goondiwindi Regional,266,2022-01-29
Gympie Regional,1076,2022-01-29
Hinchinbrook Shire,184,2022-01-29
Hope Vale Aboriginal Shire,8,2022-01-29
Interstate/Other,11308,2022-01-29
Ipswich City,13999,2022-01-29
Isaac Regional,466,2022-01-29
Kowanyama Aboriginal Shire,34,2022-01-29
Livingstone Shire,954,2022-01-29
Lockhart River Aboriginal Shire,65,2022-01-29
Lockyer Valley Regional,1302,2022-01-29
Logan City,20999,2022-01-29
Longreach Regional,27,2022-01-29
Mackay Regional,4168,2022-01-29
Mapoon Aboriginal Shire,6,2022-01-29
Maranoa Regional,294,2022-01-29
Mareeba Shire,1149,2022-01-29
McKinlay Shire,4,2022-01-29
Moreton Bay Regional,20086,2022-01-29
Mornington Shire,8,2022-01-29
Mount Isa City,151,2022-01-29
Murweh Shire,83,2022-01-29
Napranum Aboriginal Shire,20,2022-01-29
Noosa Shire,2929,2022-01-29
North Burnett Regional,168,2022-01-29
Northern Peninsula Area Regional,207,2022-01-29
Not Supplied,128425,2022-01-29
Palm Island Aboriginal Shire,232,2022-01-29
Paroo Shire,25,2022-01-29
Pormpuraaw Aboriginal Shire,1,2022-01-29
Quilpie Shire,10,2022-01-29
Redland City,6818,2022-01-29
Richmond Shire,3,2022-01-29
Rockhampton Regional,1870,2022-01-29
Scenic Rim Regional,1070,2022-01-29
Somerset Regional,773,2022-01-29
South Burnett Regional,604,2022-01-29
Southern Downs Regional,899,2022-01-29
Sunshine Coast Regional,16273,2022-01-29
Tablelands Regional,821,2022-01-29
Toowoomba Regional,3953,2022-01-29
Torres Shire,238,2022-01-29
Torres Strait Island Regional,175,2022-01-29
Townsville City,6166,2022-01-29
Weipa Town,129,2022-01-29
Western Downs Regional,725,2022-01-29
Whitsunday Regional,1724,2022-01-29
Winton Shire,9,2022-01-29
Woorabinda Aboriginal Shire,9,2022-01-29
Wujal Wujal Aboriginal Shire,6,2022-01-29
Yarrabah Aboriginal Shire,397,2022-01-29
Total,390173,2022-01-29
