Local Government Area,Total cases,Date
Aurukun Shire,88,2022-03-10
Balonne Shire,131,2022-03-10
Banana Shire,407,2022-03-10
Barcaldine Regional,21,2022-03-10
Barcoo Shire,2,2022-03-10
Blackall Tambo Regional,20,2022-03-10
Boulia Shire,9,2022-03-10
Brisbane City,89956,2022-03-10
Bulloo Shire,5,2022-03-10
Bundaberg Regional,3536,2022-03-10
Burdekin Shire,896,2022-03-10
Burke Shire,4,2022-03-10
Cairns Regional,19658,2022-03-10
Carpentaria Shire,122,2022-03-10
Cassowary Coast Regional,1952,2022-03-10
Central Highlands Regional,1089,2022-03-10
Charters Towers Regional,220,2022-03-10
Cherbourg Aboriginal Shire,206,2022-03-10
Cloncurry Shire,91,2022-03-10
Cook Shire,488,2022-03-10
Croydon Shire,2,2022-03-10
Diamantina Shire,2,2022-03-10
Doomadgee Aboriginal Shire,142,2022-03-10
Douglas Shire,1371,2022-03-10
Etheridge Shire,9,2022-03-10
Flinders Shire,70,2022-03-10
Fraser Coast Regional,3673,2022-03-10
Gladstone Regional,1859,2022-03-10
Gold Coast City,56620,2022-03-10
Goondiwindi Regional,414,2022-03-10
Gympie Regional,1838,2022-03-10
Hinchinbrook Shire,312,2022-03-10
Hope Vale Aboriginal Shire,115,2022-03-10
Interstate/Other,12506,2022-03-10
Ipswich City,18615,2022-03-10
Isaac Regional,693,2022-03-10
Kowanyama Aboriginal Shire,136,2022-03-10
Livingstone Shire,1588,2022-03-10
Lockhart River Aboriginal Shire,102,2022-03-10
Lockyer Valley Regional,1711,2022-03-10
Logan City,27100,2022-03-10
Longreach Regional,34,2022-03-10
Mackay Regional,6751,2022-03-10
Mapoon Aboriginal Shire,48,2022-03-10
Maranoa Regional,472,2022-03-10
Mareeba Shire,1990,2022-03-10
McKinlay Shire,7,2022-03-10
Moreton Bay Regional,29663,2022-03-10
Mornington Shire,116,2022-03-10
Mount Isa City,631,2022-03-10
Murweh Shire,90,2022-03-10
Napranum Aboriginal Shire,221,2022-03-10
Noosa Shire,3599,2022-03-10
North Burnett Regional,244,2022-03-10
Northern Peninsula Area Regional,543,2022-03-10
Not Supplied,253007,2022-03-10
Palm Island Aboriginal Shire,594,2022-03-10
Paroo Shire,37,2022-03-10
Pormpuraaw Aboriginal Shire,179,2022-03-10
Quilpie Shire,13,2022-03-10
Redland City,9972,2022-03-10
Richmond Shire,14,2022-03-10
Rockhampton Regional,3689,2022-03-10
Scenic Rim Regional,1502,2022-03-10
Somerset Regional,1049,2022-03-10
South Burnett Regional,889,2022-03-10
Southern Downs Regional,1340,2022-03-10
Sunshine Coast Regional,22638,2022-03-10
Tablelands Regional,1153,2022-03-10
Toowoomba Regional,5430,2022-03-10
Torres Shire,781,2022-03-10
Torres Strait Island Regional,523,2022-03-10
Townsville City,13171,2022-03-10
Weipa Town,605,2022-03-10
Western Downs Regional,933,2022-03-10
Whitsunday Regional,2156,2022-03-10
Winton Shire,15,2022-03-10
Woorabinda Aboriginal Shire,15,2022-03-10
Wujal Wujal Aboriginal Shire,49,2022-03-10
Yarrabah Aboriginal Shire,687,2022-03-10
Total cases,612629,2022-03-10
