Local Government Area,Total cases,Date
Aurukun Shire,90,2022-03-04
Balonne Shire,111,2022-03-04
Banana Shire,387,2022-03-04
Barcaldine Regional,18,2022-03-04
Barcoo Shire,2,2022-03-04
Blackall Tambo Regional,20,2022-03-04
Boulia Shire,5,2022-03-04
Brisbane City,88468,2022-03-04
Bulloo Shire,5,2022-03-04
Bundaberg Regional,3342,2022-03-04
Burdekin Shire,871,2022-03-04
Burke Shire,4,2022-03-04
Cairns Regional,19179,2022-03-04
Carpentaria Shire,121,2022-03-04
Cassowary Coast Regional,1920,2022-03-04
Central Highlands Regional,1063,2022-03-04
Charters Towers Regional,212,2022-03-04
Cherbourg Aboriginal Shire,206,2022-03-04
Cloncurry Shire,86,2022-03-04
Cook Shire,438,2022-03-04
Croydon Shire,2,2022-03-04
Diamantina Shire,2,2022-03-04
Doomadgee Aboriginal Shire,135,2022-03-04
Douglas Shire,1347,2022-03-04
Etheridge Shire,9,2022-03-04
Flinders Shire,70,2022-03-04
Fraser Coast Regional,3531,2022-03-04
Gladstone Regional,1689,2022-03-04
Gold Coast City,55794,2022-03-04
Goondiwindi Regional,409,2022-03-04
Gympie Regional,1804,2022-03-04
Hinchinbrook Shire,304,2022-03-04
Hope Vale Aboriginal Shire,73,2022-03-04
Interstate/Other,12408,2022-03-04
Ipswich City,18360,2022-03-04
Isaac Regional,675,2022-03-04
Kowanyama Aboriginal Shire,136,2022-03-04
Livingstone Shire,1536,2022-03-04
Lockhart River Aboriginal Shire,102,2022-03-04
Lockyer Valley Regional,1699,2022-03-04
Logan City,26714,2022-03-04
Longreach Regional,34,2022-03-04
Mackay Regional,6552,2022-03-04
Mapoon Aboriginal Shire,45,2022-03-04
Maranoa Regional,460,2022-03-04
Mareeba Shire,1926,2022-03-04
McKinlay Shire,7,2022-03-04
Moreton Bay Regional,28936,2022-03-04
Mornington Shire,100,2022-03-04
Mount Isa City,626,2022-03-04
Murweh Shire,89,2022-03-04
Napranum Aboriginal Shire,209,2022-03-04
Noosa Shire,3553,2022-03-04
North Burnett Regional,234,2022-03-04
Northern Peninsula Area Regional,531,2022-03-04
Not Supplied,232393,2022-03-04
Palm Island Aboriginal Shire,593,2022-03-04
Paroo Shire,36,2022-03-04
Pormpuraaw Aboriginal Shire,178,2022-03-04
Quilpie Shire,13,2022-03-04
Redland City,9730,2022-03-04
Richmond Shire,14,2022-03-04
Rockhampton Regional,3482,2022-03-04
Scenic Rim Regional,1485,2022-03-04
Somerset Regional,1044,2022-03-04
South Burnett Regional,873,2022-03-04
Southern Downs Regional,1300,2022-03-04
Sunshine Coast Regional,22287,2022-03-04
Tablelands Regional,1130,2022-03-04
Toowoomba Regional,5288,2022-03-04
Torres Shire,720,2022-03-04
Torres Strait Island Regional,492,2022-03-04
Townsville City,12424,2022-03-04
Weipa Town,566,2022-03-04
Western Downs Regional,899,2022-03-04
Whitsunday Regional,2128,2022-03-04
Winton Shire,15,2022-03-04
Woorabinda Aboriginal Shire,15,2022-03-04
Wujal Wujal Aboriginal Shire,46,2022-03-04
Yarrabah Aboriginal Shire,681,2022-03-04
Total cases,584481,2022-03-04
