Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Aurukun Shire,0,0,0,0,2,2,2022-01-13
Balonne Shire,0,0,1,0,21,22,2022-01-13
Banana Shire,0,6,0,0,70,76,2022-01-13
Barcaldine Regional,0,0,0,0,10,10,2022-01-13
Barcoo Shire,0,0,0,0,1,1,2022-01-13
Blackall Tambo Regional,0,0,0,0,11,11,2022-01-13
Brisbane City,594,396,85,36,37462,38573,2022-01-13
Bulloo Shire,0,0,0,0,3,3,2022-01-13
Bundaberg Regional,19,8,4,0,700,731,2022-01-13
Burdekin Shire,0,0,1,0,76,77,2022-01-13
Burke Shire,0,0,0,0,3,3,2022-01-13
Cairns Regional,43,355,313,29,4851,5591,2022-01-13
Carpentaria Shire,0,0,0,0,3,3,2022-01-13
Cassowary Coast Regional,3,25,16,2,303,349,2022-01-13
Central Highlands Regional,0,4,6,1,174,185,2022-01-13
Charters Towers Regional,2,1,0,0,12,15,2022-01-13
Cherbourg Aboriginal Shire,0,36,13,0,51,100,2022-01-13
Cloncurry Shire,0,0,0,0,18,18,2022-01-13
Cook Shire,0,11,27,2,113,153,2022-01-13
Croydon Shire,0,0,0,0,1,1,2022-01-13
Diamantina Shire,0,0,0,0,1,1,2022-01-13
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-13
Douglas Shire,2,26,28,3,448,507,2022-01-13
Etheridge Shire,0,0,0,0,3,3,2022-01-13
Flinders Shire,0,0,0,0,6,6,2022-01-13
Fraser Coast Regional,12,6,5,2,935,960,2022-01-13
Gladstone Regional,7,24,13,1,407,452,2022-01-13
Gold Coast City,193,276,367,48,20337,21221,2022-01-13
Goondiwindi Regional,2,9,2,2,123,138,2022-01-13
Gympie Regional,4,14,3,0,372,393,2022-01-13
Hinchinbrook Shire,1,0,0,0,85,86,2022-01-13
Hope Vale Aboriginal Shire,0,0,0,0,2,2,2022-01-13
Interstate/Other,168,53,66,113,6395,6795,2022-01-13
Ipswich City,32,76,33,2,5717,5860,2022-01-13
Isaac Regional,0,3,1,0,204,208,2022-01-13
Kowanyama Aboriginal Shire,0,0,0,0,4,4,2022-01-13
Livingstone Shire,4,25,6,1,255,291,2022-01-13
Lockhart River Aboriginal Shire,0,6,2,0,11,19,2022-01-13
Lockyer Valley Regional,2,10,1,0,397,410,2022-01-13
Logan City,47,37,16,12,9456,9568,2022-01-13
Longreach Regional,0,0,0,0,17,17,2022-01-13
Mackay Regional,22,15,14,2,1640,1693,2022-01-13
Mapoon Aboriginal Shire,0,0,0,0,2,2,2022-01-13
Maranoa Regional,0,6,1,1,113,121,2022-01-13
Mareeba Shire,3,33,11,2,270,319,2022-01-13
McKinlay Shire,0,0,0,0,1,1,2022-01-13
Moreton Bay Regional,119,36,18,4,6960,7137,2022-01-13
Mornington Shire,0,0,0,0,2,2,2022-01-13
Mount Isa City,0,0,0,0,41,41,2022-01-13
Murweh Shire,0,0,2,1,48,51,2022-01-13
Napranum Aboriginal Shire,0,0,1,0,3,4,2022-01-13
Noosa Shire,19,30,20,2,1332,1403,2022-01-13
North Burnett Regional,1,1,1,1,40,44,2022-01-13
Northern Peninsula Area Regional,0,0,2,1,5,8,2022-01-13
Not Supplied,65,83,102,8,13418,13676,2022-01-13
Palm Island Aboriginal Shire,0,0,0,0,23,23,2022-01-13
Paroo Shire,0,1,0,0,9,10,2022-01-13
Quilpie Shire,0,0,1,0,2,3,2022-01-13
Redland City,28,14,5,2,2922,2971,2022-01-13
Richmond Shire,0,0,0,0,2,2,2022-01-13
Rockhampton Regional,21,67,21,3,501,613,2022-01-13
Scenic Rim Regional,4,4,3,0,355,366,2022-01-13
Somerset Regional,3,2,1,1,275,282,2022-01-13
South Burnett Regional,2,27,10,1,249,289,2022-01-13
Southern Downs Regional,2,10,11,3,394,420,2022-01-13
Sunshine Coast Regional,82,74,65,19,6496,6736,2022-01-13
Tablelands Regional,5,16,15,0,264,300,2022-01-13
Toowoomba Regional,42,104,50,18,1757,1971,2022-01-13
Torres Shire,1,6,2,0,28,37,2022-01-13
Torres Strait Island Regional,0,0,0,0,2,2,2022-01-13
Townsville City,31,18,18,6,1910,1983,2022-01-13
Weipa Town,0,4,14,1,18,37,2022-01-13
Western Downs Regional,3,11,6,1,336,357,2022-01-13
Whitsunday Regional,7,13,28,1,975,1024,2022-01-13
Winton Shire,0,0,0,0,6,6,2022-01-13
Woorabinda Aboriginal Shire,0,0,0,0,2,2,2022-01-13
Wujal Wujal Aboriginal Shire,0,2,0,0,2,4,2022-01-13
Yarrabah Aboriginal Shire,0,0,1,0,12,13,2022-01-13
Total,1595,1985,1432,332,129476,134820,2022-01-13
