Local Government Area,Total cases,Date
Aurukun Shire,94,2022-05-25
Balonne Shire,242,2022-05-25
Banana Shire,572,2022-05-25
Barcaldine Regional,58,2022-05-25
Barcoo Shire,3,2022-05-25
Blackall Tambo Regional,37,2022-05-25
Boulia Shire,11,2022-05-25
Brisbane City,125558,2022-05-25
Bulloo Shire,8,2022-05-25
Bundaberg Regional,6140,2022-05-25
Burdekin Shire,1067,2022-05-25
Burke Shire,7,2022-05-25
Cairns Regional,38154,2022-05-25
Carpentaria Shire,148,2022-05-25
Cassowary Coast Regional,4102,2022-05-25
Central Highlands Regional,1616,2022-05-25
Charters Towers Regional,264,2022-05-25
Cherbourg Aboriginal Shire,292,2022-05-25
Cloncurry Shire,126,2022-05-25
Cook Shire,870,2022-05-25
Croydon Shire,11,2022-05-25
Diamantina Shire,19,2022-05-25
Doomadgee Aboriginal Shire,155,2022-05-25
Douglas Shire,2399,2022-05-25
Etheridge Shire,45,2022-05-25
Flinders Shire,96,2022-05-25
Fraser Coast Regional,8294,2022-05-25
Gladstone Regional,3078,2022-05-25
Gold Coast City,71479,2022-05-25
Goondiwindi Regional,501,2022-05-25
Gympie Regional,2976,2022-05-25
Hinchinbrook Shire,419,2022-05-25
Hope Vale Aboriginal Shire,251,2022-05-25
Interstate/Other,14716,2022-05-25
Ipswich City,26627,2022-05-25
Isaac Regional,867,2022-05-25
Kowanyama Aboriginal Shire,152,2022-05-25
Livingstone Shire,2277,2022-05-25
Lockhart River Aboriginal Shire,111,2022-05-25
Lockyer Valley Regional,2474,2022-05-25
Logan City,34381,2022-05-25
Longreach Regional,70,2022-05-25
Mackay Regional,9946,2022-05-25
Mapoon Aboriginal Shire,62,2022-05-25
Maranoa Regional,735,2022-05-25
Mareeba Shire,3799,2022-05-25
McKinlay Shire,8,2022-05-25
Moreton Bay Regional,44173,2022-05-25
Mornington Shire,126,2022-05-25
Mount Isa City,692,2022-05-25
Murweh Shire,164,2022-05-25
Napranum Aboriginal Shire,248,2022-05-25
Noosa Shire,4806,2022-05-25
North Burnett Regional,418,2022-05-25
Northern Peninsula Area Regional,639,2022-05-25
Not Supplied,637405,2022-05-25
Palm Island Aboriginal Shire,654,2022-05-25
Paroo Shire,63,2022-05-25
Pormpuraaw Aboriginal Shire,192,2022-05-25
Quilpie Shire,23,2022-05-25
Redland City,14003,2022-05-25
Richmond Shire,29,2022-05-25
Rockhampton Regional,5571,2022-05-25
Scenic Rim Regional,2195,2022-05-25
Somerset Regional,1475,2022-05-25
South Burnett Regional,1149,2022-05-25
Southern Downs Regional,1927,2022-05-25
Sunshine Coast Regional,32403,2022-05-25
Tablelands Regional,3252,2022-05-25
Toowoomba Regional,9124,2022-05-25
Torres Shire,1184,2022-05-25
Torres Strait Island Regional,908,2022-05-25
Townsville City,20890,2022-05-25
Weipa Town,1149,2022-05-25
Western Downs Regional,1180,2022-05-25
Whitsunday Regional,2414,2022-05-25
Winton Shire,22,2022-05-25
Woorabinda Aboriginal Shire,26,2022-05-25
Wujal Wujal Aboriginal Shire,87,2022-05-25
Yarrabah Aboriginal Shire,770,2022-05-25
Total cases,1154678,2022-05-25
