Local Government Area,Total cases,Date
Aurukun Shire,136,2022-08-29
Balonne Shire,450,2022-08-29
Banana Shire,805,2022-08-29
Barcaldine Regional,161,2022-08-29
Barcoo Shire,4,2022-08-29
Blackall Tambo Regional,83,2022-08-29
Boulia Shire,13,2022-08-29
Brisbane City,167493,2022-08-29
Bulloo Shire,12,2022-08-29
Bundaberg Regional,10296,2022-08-29
Burdekin Shire,1463,2022-08-29
Burke Shire,27,2022-08-29
Cairns Regional,48411,2022-08-29
Carpentaria Shire,169,2022-08-29
Cassowary Coast Regional,5632,2022-08-29
Central Highlands Regional,2165,2022-08-29
Charters Towers Regional,1183,2022-08-29
Cherbourg Aboriginal Shire,352,2022-08-29
Cloncurry Shire,183,2022-08-29
Cook Shire,1143,2022-08-29
Croydon Shire,23,2022-08-29
Diamantina Shire,32,2022-08-29
Doomadgee Aboriginal Shire,174,2022-08-29
Douglas Shire,2997,2022-08-29
Etheridge Shire,66,2022-08-29
Flinders Shire,179,2022-08-29
Fraser Coast Regional,12255,2022-08-29
Gladstone Regional,4801,2022-08-29
Gold Coast City,91992,2022-08-29
Goondiwindi Regional,787,2022-08-29
Gympie Regional,4123,2022-08-29
Hinchinbrook Shire,612,2022-08-29
Hope Vale Aboriginal Shire,338,2022-08-29
Interstate/Other,20844,2022-08-29
Ipswich City,33130,2022-08-29
Isaac Regional,1085,2022-08-29
Kowanyama Aboriginal Shire,194,2022-08-29
Livingstone Shire,2982,2022-08-29
Lockhart River Aboriginal Shire,153,2022-08-29
Lockyer Valley Regional,3250,2022-08-29
Logan City,43318,2022-08-29
Longreach Regional,152,2022-08-29
Mackay Regional,13259,2022-08-29
Mapoon Aboriginal Shire,81,2022-08-29
Maranoa Regional,1184,2022-08-29
Mareeba Shire,5367,2022-08-29
McKinlay Shire,21,2022-08-29
Moreton Bay Regional,60825,2022-08-29
Mornington Shire,134,2022-08-29
Mount Isa City,2034,2022-08-29
Murweh Shire,347,2022-08-29
Napranum Aboriginal Shire,274,2022-08-29
Noosa Shire,6554,2022-08-29
North Burnett Regional,697,2022-08-29
Northern Peninsula Area Regional,772,2022-08-29
Not Supplied,904603,2022-08-29
Palm Island Aboriginal Shire,762,2022-08-29
Paroo Shire,92,2022-08-29
Pormpuraaw Aboriginal Shire,227,2022-08-29
Quilpie Shire,45,2022-08-29
Redland City,18491,2022-08-29
Richmond Shire,52,2022-08-29
Rockhampton Regional,6956,2022-08-29
Scenic Rim Regional,3153,2022-08-29
Somerset Regional,1969,2022-08-29
South Burnett Regional,1714,2022-08-29
Southern Downs Regional,3170,2022-08-29
Sunshine Coast Regional,42987,2022-08-29
Tablelands Regional,4691,2022-08-29
Toowoomba Regional,18387,2022-08-29
Torres Shire,1354,2022-08-29
Torres Strait Island Regional,1037,2022-08-29
Townsville City,28805,2022-08-29
Weipa Town,1490,2022-08-29
Western Downs Regional,1721,2022-08-29
Whitsunday Regional,3202,2022-08-29
Winton Shire,46,2022-08-29
Woorabinda Aboriginal Shire,330,2022-08-29
Wujal Wujal Aboriginal Shire,109,2022-08-29
Yarrabah Aboriginal Shire,1066,2022-08-29
Total cases,1601676,2022-08-29
