Local Government Area,Total cases,Date
Aurukun Shire,89,2022-03-12
Balonne Shire,135,2022-03-12
Banana Shire,418,2022-03-12
Barcaldine Regional,21,2022-03-12
Barcoo Shire,2,2022-03-12
Blackall Tambo Regional,20,2022-03-12
Boulia Shire,9,2022-03-12
Brisbane City,90407,2022-03-12
Bulloo Shire,5,2022-03-12
Bundaberg Regional,3604,2022-03-12
Burdekin Shire,904,2022-03-12
Burke Shire,4,2022-03-12
Cairns Regional,19911,2022-03-12
Carpentaria Shire,122,2022-03-12
Cassowary Coast Regional,1996,2022-03-12
Central Highlands Regional,1106,2022-03-12
Charters Towers Regional,222,2022-03-12
Cherbourg Aboriginal Shire,206,2022-03-12
Cloncurry Shire,95,2022-03-12
Cook Shire,509,2022-03-12
Croydon Shire,4,2022-03-12
Diamantina Shire,2,2022-03-12
Doomadgee Aboriginal Shire,142,2022-03-12
Douglas Shire,1383,2022-03-12
Etheridge Shire,9,2022-03-12
Flinders Shire,71,2022-03-12
Fraser Coast Regional,3736,2022-03-12
Gladstone Regional,1906,2022-03-12
Gold Coast City,56879,2022-03-12
Goondiwindi Regional,414,2022-03-12
Gympie Regional,1852,2022-03-12
Hinchinbrook Shire,313,2022-03-12
Hope Vale Aboriginal Shire,119,2022-03-12
Interstate/Other,12536,2022-03-12
Ipswich City,18709,2022-03-12
Isaac Regional,701,2022-03-12
Kowanyama Aboriginal Shire,136,2022-03-12
Livingstone Shire,1611,2022-03-12
Lockhart River Aboriginal Shire,102,2022-03-12
Lockyer Valley Regional,1713,2022-03-12
Logan City,27217,2022-03-12
Longreach Regional,34,2022-03-12
Mackay Regional,6839,2022-03-12
Mapoon Aboriginal Shire,50,2022-03-12
Maranoa Regional,477,2022-03-12
Mareeba Shire,2030,2022-03-12
McKinlay Shire,7,2022-03-12
Moreton Bay Regional,29851,2022-03-12
Mornington Shire,118,2022-03-12
Mount Isa City,631,2022-03-12
Murweh Shire,90,2022-03-12
Napranum Aboriginal Shire,221,2022-03-12
Noosa Shire,3613,2022-03-12
North Burnett Regional,248,2022-03-12
Northern Peninsula Area Regional,550,2022-03-12
Not Supplied,258614,2022-03-12
Palm Island Aboriginal Shire,594,2022-03-12
Paroo Shire,37,2022-03-12
Pormpuraaw Aboriginal Shire,179,2022-03-12
Quilpie Shire,13,2022-03-12
Redland City,10048,2022-03-12
Richmond Shire,14,2022-03-12
Rockhampton Regional,3784,2022-03-12
Scenic Rim Regional,1509,2022-03-12
Somerset Regional,1050,2022-03-12
South Burnett Regional,895,2022-03-12
Southern Downs Regional,1351,2022-03-12
Sunshine Coast Regional,22819,2022-03-12
Tablelands Regional,1204,2022-03-12
Toowoomba Regional,5469,2022-03-12
Torres Shire,796,2022-03-12
Torres Strait Island Regional,538,2022-03-12
Townsville City,13435,2022-03-12
Weipa Town,615,2022-03-12
Western Downs Regional,946,2022-03-12
Whitsunday Regional,2170,2022-03-12
Winton Shire,15,2022-03-12
Woorabinda Aboriginal Shire,15,2022-03-12
Wujal Wujal Aboriginal Shire,54,2022-03-12
Yarrabah Aboriginal Shire,688,2022-03-12
Total cases,620951,2022-03-12
