Local Government Area,Total cases,Date
Aurukun Shire,94,2022-06-02
Balonne Shire,259,2022-06-02
Banana Shire,580,2022-06-02
Barcaldine Regional,59,2022-06-02
Barcoo Shire,3,2022-06-02
Blackall Tambo Regional,43,2022-06-02
Boulia Shire,11,2022-06-02
Brisbane City,127456,2022-06-02
Bulloo Shire,8,2022-06-02
Bundaberg Regional,6268,2022-06-02
Burdekin Shire,1096,2022-06-02
Burke Shire,7,2022-06-02
Cairns Regional,38847,2022-06-02
Carpentaria Shire,149,2022-06-02
Cassowary Coast Regional,4204,2022-06-02
Central Highlands Regional,1637,2022-06-02
Charters Towers Regional,263,2022-06-02
Cherbourg Aboriginal Shire,295,2022-06-02
Cloncurry Shire,126,2022-06-02
Cook Shire,884,2022-06-02
Croydon Shire,11,2022-06-02
Diamantina Shire,19,2022-06-02
Doomadgee Aboriginal Shire,155,2022-06-02
Douglas Shire,2464,2022-06-02
Etheridge Shire,46,2022-06-02
Flinders Shire,96,2022-06-02
Fraser Coast Regional,8602,2022-06-02
Gladstone Regional,3112,2022-06-02
Gold Coast City,72141,2022-06-02
Goondiwindi Regional,516,2022-06-02
Gympie Regional,3053,2022-06-02
Hinchinbrook Shire,422,2022-06-02
Hope Vale Aboriginal Shire,254,2022-06-02
Interstate/Other,14906,2022-06-02
Ipswich City,27050,2022-06-02
Isaac Regional,875,2022-06-02
Kowanyama Aboriginal Shire,154,2022-06-02
Livingstone Shire,2306,2022-06-02
Lockhart River Aboriginal Shire,113,2022-06-02
Lockyer Valley Regional,2512,2022-06-02
Logan City,34933,2022-06-02
Longreach Regional,72,2022-06-02
Mackay Regional,10219,2022-06-02
Mapoon Aboriginal Shire,62,2022-06-02
Maranoa Regional,761,2022-06-02
Mareeba Shire,3915,2022-06-02
McKinlay Shire,8,2022-06-02
Moreton Bay Regional,44878,2022-06-02
Mornington Shire,126,2022-06-02
Mount Isa City,694,2022-06-02
Murweh Shire,171,2022-06-02
Napranum Aboriginal Shire,249,2022-06-02
Noosa Shire,4873,2022-06-02
North Burnett Regional,426,2022-06-02
Northern Peninsula Area Regional,642,2022-06-02
Not Supplied,661436,2022-06-02
Palm Island Aboriginal Shire,659,2022-06-02
Paroo Shire,63,2022-06-02
Pormpuraaw Aboriginal Shire,193,2022-06-02
Quilpie Shire,23,2022-06-02
Redland City,14301,2022-06-02
Richmond Shire,29,2022-06-02
Rockhampton Regional,5635,2022-06-02
Scenic Rim Regional,2255,2022-06-02
Somerset Regional,1502,2022-06-02
South Burnett Regional,1164,2022-06-02
Southern Downs Regional,1977,2022-06-02
Sunshine Coast Regional,32891,2022-06-02
Tablelands Regional,3373,2022-06-02
Toowoomba Regional,9369,2022-06-02
Torres Shire,1185,2022-06-02
Torres Strait Island Regional,911,2022-06-02
Townsville City,21575,2022-06-02
Weipa Town,1172,2022-06-02
Western Downs Regional,1201,2022-06-02
Whitsunday Regional,2430,2022-06-02
Winton Shire,22,2022-06-02
Woorabinda Aboriginal Shire,29,2022-06-02
Wujal Wujal Aboriginal Shire,89,2022-06-02
Yarrabah Aboriginal Shire,775,2022-06-02
Total cases,1187384,2022-06-02
