Local Government Area,Total cases,Date
Aurukun Shire,91,2022-03-24
Balonne Shire,141,2022-03-24
Banana Shire,464,2022-03-24
Barcaldine Regional,21,2022-03-24
Barcoo Shire,2,2022-03-24
Blackall Tambo Regional,21,2022-03-24
Boulia Shire,9,2022-03-24
Brisbane City,95606,2022-03-24
Bulloo Shire,7,2022-03-24
Bundaberg Regional,4219,2022-03-24
Burdekin Shire,927,2022-03-24
Burke Shire,4,2022-03-24
Cairns Regional,22802,2022-03-24
Carpentaria Shire,131,2022-03-24
Cassowary Coast Regional,2577,2022-03-24
Central Highlands Regional,1177,2022-03-24
Charters Towers Regional,233,2022-03-24
Cherbourg Aboriginal Shire,213,2022-03-24
Cloncurry Shire,104,2022-03-24
Cook Shire,610,2022-03-24
Croydon Shire,4,2022-03-24
Diamantina Shire,3,2022-03-24
Doomadgee Aboriginal Shire,147,2022-03-24
Douglas Shire,1495,2022-03-24
Etheridge Shire,10,2022-03-24
Flinders Shire,72,2022-03-24
Fraser Coast Regional,4315,2022-03-24
Gladstone Regional,2386,2022-03-24
Gold Coast City,58974,2022-03-24
Goondiwindi Regional,428,2022-03-24
Gympie Regional,1999,2022-03-24
Hinchinbrook Shire,328,2022-03-24
Hope Vale Aboriginal Shire,194,2022-03-24
Interstate/Other,12772,2022-03-24
Ipswich City,19726,2022-03-24
Isaac Regional,732,2022-03-24
Kowanyama Aboriginal Shire,136,2022-03-24
Livingstone Shire,1756,2022-03-24
Lockhart River Aboriginal Shire,102,2022-03-24
Lockyer Valley Regional,1789,2022-03-24
Logan City,28239,2022-03-24
Longreach Regional,35,2022-03-24
Mackay Regional,7388,2022-03-24
Mapoon Aboriginal Shire,51,2022-03-24
Maranoa Regional,512,2022-03-24
Mareeba Shire,2294,2022-03-24
McKinlay Shire,8,2022-03-24
Moreton Bay Regional,32117,2022-03-24
Mornington Shire,118,2022-03-24
Mount Isa City,652,2022-03-24
Murweh Shire,92,2022-03-24
Napranum Aboriginal Shire,227,2022-03-24
Noosa Shire,3758,2022-03-24
North Burnett Regional,290,2022-03-24
Northern Peninsula Area Regional,579,2022-03-24
Not Supplied,315923,2022-03-24
Palm Island Aboriginal Shire,628,2022-03-24
Paroo Shire,42,2022-03-24
Pormpuraaw Aboriginal Shire,180,2022-03-24
Quilpie Shire,13,2022-03-24
Redland City,10605,2022-03-24
Richmond Shire,17,2022-03-24
Rockhampton Regional,4179,2022-03-24
Scenic Rim Regional,1587,2022-03-24
Somerset Regional,1105,2022-03-24
South Burnett Regional,915,2022-03-24
Southern Downs Regional,1421,2022-03-24
Sunshine Coast Regional,24064,2022-03-24
Tablelands Regional,1736,2022-03-24
Toowoomba Regional,5864,2022-03-24
Torres Shire,886,2022-03-24
Torres Strait Island Regional,641,2022-03-24
Townsville City,15002,2022-03-24
Weipa Town,669,2022-03-24
Western Downs Regional,1004,2022-03-24
Whitsunday Regional,2211,2022-03-24
Winton Shire,18,2022-03-24
Woorabinda Aboriginal Shire,16,2022-03-24
Wujal Wujal Aboriginal Shire,54,2022-03-24
Yarrabah Aboriginal Shire,694,2022-03-24
Total cases,702561,2022-03-24
