Local Government Area,Total cases,Date
Aurukun Shire,89,2022-03-13
Balonne Shire,135,2022-03-13
Banana Shire,418,2022-03-13
Barcaldine Regional,21,2022-03-13
Barcoo Shire,2,2022-03-13
Blackall Tambo Regional,20,2022-03-13
Boulia Shire,9,2022-03-13
Brisbane City,90407,2022-03-13
Bulloo Shire,5,2022-03-13
Bundaberg Regional,3604,2022-03-13
Burdekin Shire,904,2022-03-13
Burke Shire,4,2022-03-13
Cairns Regional,19911,2022-03-13
Carpentaria Shire,122,2022-03-13
Cassowary Coast Regional,1996,2022-03-13
Central Highlands Regional,1106,2022-03-13
Charters Towers Regional,222,2022-03-13
Cherbourg Aboriginal Shire,206,2022-03-13
Cloncurry Shire,95,2022-03-13
Cook Shire,509,2022-03-13
Croydon Shire,4,2022-03-13
Diamantina Shire,2,2022-03-13
Doomadgee Aboriginal Shire,142,2022-03-13
Douglas Shire,1383,2022-03-13
Etheridge Shire,9,2022-03-13
Flinders Shire,71,2022-03-13
Fraser Coast Regional,3736,2022-03-13
Gladstone Regional,1906,2022-03-13
Gold Coast City,56879,2022-03-13
Goondiwindi Regional,414,2022-03-13
Gympie Regional,1852,2022-03-13
Hinchinbrook Shire,313,2022-03-13
Hope Vale Aboriginal Shire,119,2022-03-13
Interstate/Other,12536,2022-03-13
Ipswich City,18709,2022-03-13
Isaac Regional,701,2022-03-13
Kowanyama Aboriginal Shire,136,2022-03-13
Livingstone Shire,1611,2022-03-13
Lockhart River Aboriginal Shire,102,2022-03-13
Lockyer Valley Regional,1713,2022-03-13
Logan City,27217,2022-03-13
Longreach Regional,34,2022-03-13
Mackay Regional,6839,2022-03-13
Mapoon Aboriginal Shire,50,2022-03-13
Maranoa Regional,477,2022-03-13
Mareeba Shire,2030,2022-03-13
McKinlay Shire,7,2022-03-13
Moreton Bay Regional,29851,2022-03-13
Mornington Shire,118,2022-03-13
Mount Isa City,631,2022-03-13
Murweh Shire,90,2022-03-13
Napranum Aboriginal Shire,221,2022-03-13
Noosa Shire,3613,2022-03-13
North Burnett Regional,248,2022-03-13
Northern Peninsula Area Regional,550,2022-03-13
Not Supplied,258614,2022-03-13
Palm Island Aboriginal Shire,594,2022-03-13
Paroo Shire,37,2022-03-13
Pormpuraaw Aboriginal Shire,179,2022-03-13
Quilpie Shire,13,2022-03-13
Redland City,10048,2022-03-13
Richmond Shire,14,2022-03-13
Rockhampton Regional,3784,2022-03-13
Scenic Rim Regional,1509,2022-03-13
Somerset Regional,1050,2022-03-13
South Burnett Regional,895,2022-03-13
Southern Downs Regional,1351,2022-03-13
Sunshine Coast Regional,22819,2022-03-13
Tablelands Regional,1204,2022-03-13
Toowoomba Regional,5469,2022-03-13
Torres Shire,796,2022-03-13
Torres Strait Island Regional,538,2022-03-13
Townsville City,13435,2022-03-13
Weipa Town,615,2022-03-13
Western Downs Regional,946,2022-03-13
Whitsunday Regional,2170,2022-03-13
Winton Shire,15,2022-03-13
Woorabinda Aboriginal Shire,15,2022-03-13
Wujal Wujal Aboriginal Shire,54,2022-03-13
Yarrabah Aboriginal Shire,688,2022-03-13
Total cases,620951,2022-03-13
