Local Government Area,Total cases,Date
Aurukun Shire,136,2022-12-27
Balonne Shire,457,2022-12-27
Banana Shire,809,2022-12-27
Barcaldine Regional,164,2022-12-27
Barcoo Shire,4,2022-12-27
Blackall Tambo Regional,83,2022-12-27
Boulia Shire,14,2022-12-27
Brisbane City,168497,2022-12-27
Bulloo Shire,12,2022-12-27
Bundaberg Regional,10497,2022-12-27
Burdekin Shire,1466,2022-12-27
Burke Shire,28,2022-12-27
Cairns Regional,48930,2022-12-27
Carpentaria Shire,170,2022-12-27
Cassowary Coast Regional,5723,2022-12-27
Central Highlands Regional,2172,2022-12-27
Charters Towers Regional,1189,2022-12-27
Cherbourg Aboriginal Shire,391,2022-12-27
Cloncurry Shire,183,2022-12-27
Cook Shire,1164,2022-12-27
Croydon Shire,23,2022-12-27
Diamantina Shire,32,2022-12-27
Doomadgee Aboriginal Shire,175,2022-12-27
Douglas Shire,3033,2022-12-27
Etheridge Shire,68,2022-12-27
Flinders Shire,181,2022-12-27
Fraser Coast Regional,12418,2022-12-27
Gladstone Regional,4822,2022-12-27
Gold Coast City,92424,2022-12-27
Goondiwindi Regional,791,2022-12-27
Gympie Regional,4152,2022-12-27
Hinchinbrook Shire,618,2022-12-27
Hope Vale Aboriginal Shire,339,2022-12-27
Interstate/Other,21028,2022-12-27
Ipswich City,33308,2022-12-27
Isaac Regional,1087,2022-12-27
Kowanyama Aboriginal Shire,196,2022-12-27
Livingstone Shire,2989,2022-12-27
Lockhart River Aboriginal Shire,157,2022-12-27
Lockyer Valley Regional,3285,2022-12-27
Logan City,43554,2022-12-27
Longreach Regional,154,2022-12-27
Mackay Regional,13300,2022-12-27
Mapoon Aboriginal Shire,82,2022-12-27
Maranoa Regional,1208,2022-12-27
Mareeba Shire,5533,2022-12-27
McKinlay Shire,22,2022-12-27
Moreton Bay Regional,61528,2022-12-27
Mornington Shire,136,2022-12-27
Mount Isa City,2051,2022-12-27
Murweh Shire,349,2022-12-27
Napranum Aboriginal Shire,277,2022-12-27
Noosa Shire,6592,2022-12-27
North Burnett Regional,717,2022-12-27
Northern Peninsula Area Regional,774,2022-12-27
Not Supplied,920632,2022-12-27
Palm Island Aboriginal Shire,763,2022-12-27
Paroo Shire,94,2022-12-27
Pormpuraaw Aboriginal Shire,228,2022-12-27
Quilpie Shire,46,2022-12-27
Redland City,18618,2022-12-27
Richmond Shire,51,2022-12-27
Rockhampton Regional,6977,2022-12-27
Scenic Rim Regional,3169,2022-12-27
Somerset Regional,1985,2022-12-27
South Burnett Regional,1736,2022-12-27
Southern Downs Regional,3200,2022-12-27
Sunshine Coast Regional,43147,2022-12-27
Tablelands Regional,4798,2022-12-27
Toowoomba Regional,18505,2022-12-27
Torres Shire,1366,2022-12-27
Torres Strait Island Regional,1050,2022-12-27
Townsville City,28910,2022-12-27
Weipa Town,1507,2022-12-27
Western Downs Regional,1737,2022-12-27
Whitsunday Regional,3215,2022-12-27
Winton Shire,46,2022-12-27
Woorabinda Aboriginal Shire,331,2022-12-27
Wujal Wujal Aboriginal Shire,111,2022-12-27
Yarrabah Aboriginal Shire,1271,2022-12-27
Total cases,1622985,2022-12-27
