Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Balonne Shire,0,0,0,0,4,4,2022-01-05
Banana Shire,0,4,0,0,10,14,2022-01-05
Blackall Tambo Regional,0,0,0,0,2,2,2022-01-05
Brisbane City,594,386,81,36,10558,11655,2022-01-05
Bundaberg Regional,19,8,3,0,292,322,2022-01-05
Burdekin Shire,0,0,0,0,5,5,2022-01-05
Cairns Regional,43,125,107,18,473,766,2022-01-05
Cassowary Coast Regional,3,8,3,2,24,40,2022-01-05
Central Highlands Regional,0,4,2,1,14,21,2022-01-05
Charters Towers Regional,2,1,0,0,2,5,2022-01-05
Cherbourg Aboriginal Shire,0,20,9,0,42,71,2022-01-05
Cloncurry Shire,0,0,0,0,1,1,2022-01-05
Cook Shire,0,2,9,2,18,31,2022-01-05
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-05
Douglas Shire,2,16,20,3,45,86,2022-01-05
Flinders Shire,0,0,0,0,1,1,2022-01-05
Fraser Coast Regional,12,5,3,2,250,272,2022-01-05
Gladstone Regional,7,19,7,1,94,128,2022-01-05
Gold Coast City,193,252,260,47,4755,5507,2022-01-05
Goondiwindi Regional,2,8,0,2,11,23,2022-01-05
Gympie Regional,4,11,3,0,86,104,2022-01-05
Hinchinbrook Shire,1,0,0,0,37,38,2022-01-05
Interstate/Other,168,37,43,105,1948,2301,2022-01-05
Ipswich City,32,75,33,2,1480,1622,2022-01-05
Isaac Regional,0,3,0,0,43,46,2022-01-05
Livingstone Shire,3,16,5,1,34,59,2022-01-05
Lockhart River Aboriginal Shire,0,0,0,0,1,1,2022-01-05
Lockyer Valley Regional,2,9,1,0,114,126,2022-01-05
Logan City,47,37,14,12,2541,2651,2022-01-05
Longreach Regional,0,0,0,0,3,3,2022-01-05
Mackay Regional,22,10,5,2,250,289,2022-01-05
Maranoa Regional,0,1,0,1,14,16,2022-01-05
Mareeba Shire,3,14,1,2,22,42,2022-01-05
McKinlay Shire,0,0,0,0,1,1,2022-01-05
Moreton Bay Regional,119,33,14,4,1569,1739,2022-01-05
Mount Isa City,0,0,0,0,10,10,2022-01-05
Murweh Shire,0,0,0,1,4,5,2022-01-05
Noosa Shire,19,30,20,2,458,529,2022-01-05
North Burnett Regional,1,1,0,1,11,14,2022-01-05
Northern Peninsula Area Regional,0,0,2,0,2,4,2022-01-05
Not Supplied,65,63,55,4,3418,3605,2022-01-05
Palm Island Aboriginal Shire,0,0,0,0,6,6,2022-01-05
Paroo Shire,0,1,0,0,4,5,2022-01-05
Quilpie Shire,0,0,0,0,1,1,2022-01-05
Redland City,28,14,6,2,618,668,2022-01-05
Rockhampton Regional,21,60,12,3,92,188,2022-01-05
Scenic Rim Regional,4,4,1,0,77,86,2022-01-05
Somerset Regional,3,2,1,1,41,48,2022-01-05
South Burnett Regional,2,3,0,1,77,83,2022-01-05
Southern Downs Regional,2,4,2,3,65,76,2022-01-05
Sunshine Coast Regional,82,72,45,19,1265,1483,2022-01-05
Tablelands Regional,5,9,2,0,16,32,2022-01-05
Toowoomba Regional,42,75,17,10,607,751,2022-01-05
Torres Shire,1,0,2,0,13,16,2022-01-05
Townsville City,31,13,7,4,353,408,2022-01-05
Weipa Town,0,0,4,0,7,11,2022-01-05
Western Downs Regional,3,3,1,1,52,60,2022-01-05
Whitsunday Regional,7,11,15,0,283,316,2022-01-05
Woorabinda Aboriginal Shire,0,0,0,0,1,1,2022-01-05
Total,1594,1470,815,295,32226,36400,2022-01-05
