Local Government Area,Total cases,Date
Aurukun Shire,90,2022-03-19
Balonne Shire,139,2022-03-19
Banana Shire,449,2022-03-19
Barcaldine Regional,21,2022-03-19
Barcoo Shire,2,2022-03-19
Blackall Tambo Regional,20,2022-03-19
Boulia Shire,9,2022-03-19
Brisbane City,92828,2022-03-19
Bulloo Shire,6,2022-03-19
Bundaberg Regional,3967,2022-03-19
Burdekin Shire,920,2022-03-19
Burke Shire,4,2022-03-19
Cairns Regional,21370,2022-03-19
Carpentaria Shire,127,2022-03-19
Cassowary Coast Regional,2357,2022-03-19
Central Highlands Regional,1148,2022-03-19
Charters Towers Regional,229,2022-03-19
Cherbourg Aboriginal Shire,209,2022-03-19
Cloncurry Shire,102,2022-03-19
Cook Shire,572,2022-03-19
Croydon Shire,4,2022-03-19
Diamantina Shire,3,2022-03-19
Doomadgee Aboriginal Shire,147,2022-03-19
Douglas Shire,1436,2022-03-19
Etheridge Shire,9,2022-03-19
Flinders Shire,71,2022-03-19
Fraser Coast Regional,4039,2022-03-19
Gladstone Regional,2197,2022-03-19
Gold Coast City,57923,2022-03-19
Goondiwindi Regional,420,2022-03-19
Gympie Regional,1907,2022-03-19
Hinchinbrook Shire,319,2022-03-19
Hope Vale Aboriginal Shire,166,2022-03-19
Interstate/Other,12661,2022-03-19
Ipswich City,19152,2022-03-19
Isaac Regional,716,2022-03-19
Kowanyama Aboriginal Shire,136,2022-03-19
Livingstone Shire,1698,2022-03-19
Lockhart River Aboriginal Shire,102,2022-03-19
Lockyer Valley Regional,1750,2022-03-19
Logan City,27699,2022-03-19
Longreach Regional,35,2022-03-19
Mackay Regional,7183,2022-03-19
Mapoon Aboriginal Shire,52,2022-03-19
Maranoa Regional,497,2022-03-19
Mareeba Shire,2167,2022-03-19
McKinlay Shire,8,2022-03-19
Moreton Bay Regional,30987,2022-03-19
Mornington Shire,118,2022-03-19
Mount Isa City,644,2022-03-19
Murweh Shire,90,2022-03-19
Napranum Aboriginal Shire,226,2022-03-19
Noosa Shire,3684,2022-03-19
North Burnett Regional,270,2022-03-19
Northern Peninsula Area Regional,569,2022-03-19
Not Supplied,285668,2022-03-19
Palm Island Aboriginal Shire,628,2022-03-19
Paroo Shire,39,2022-03-19
Pormpuraaw Aboriginal Shire,180,2022-03-19
Quilpie Shire,13,2022-03-19
Redland City,10327,2022-03-19
Richmond Shire,17,2022-03-19
Rockhampton Regional,3993,2022-03-19
Scenic Rim Regional,1547,2022-03-19
Somerset Regional,1081,2022-03-19
South Burnett Regional,908,2022-03-19
Southern Downs Regional,1387,2022-03-19
Sunshine Coast Regional,23348,2022-03-19
Tablelands Regional,1524,2022-03-19
Toowoomba Regional,5692,2022-03-19
Torres Shire,848,2022-03-19
Torres Strait Island Regional,604,2022-03-19
Townsville City,14406,2022-03-19
Weipa Town,659,2022-03-19
Western Downs Regional,991,2022-03-19
Whitsunday Regional,2189,2022-03-19
Winton Shire,18,2022-03-19
Woorabinda Aboriginal Shire,16,2022-03-19
Wujal Wujal Aboriginal Shire,54,2022-03-19
Yarrabah Aboriginal Shire,693,2022-03-19
Total cases,660484,2022-03-19
