Local Government Area,Total cases,Date
Aurukun Shire,94,2022-04-07
Balonne Shire,150,2022-04-07
Banana Shire,496,2022-04-07
Barcaldine Regional,26,2022-04-07
Barcoo Shire,2,2022-04-07
Blackall Tambo Regional,21,2022-04-07
Boulia Shire,9,2022-04-07
Brisbane City,105325,2022-04-07
Bulloo Shire,7,2022-04-07
Bundaberg Regional,4929,2022-04-07
Burdekin Shire,957,2022-04-07
Burke Shire,8,2022-04-07
Cairns Regional,27434,2022-04-07
Carpentaria Shire,138,2022-04-07
Cassowary Coast Regional,2928,2022-04-07
Central Highlands Regional,1307,2022-04-07
Charters Towers Regional,239,2022-04-07
Cherbourg Aboriginal Shire,225,2022-04-07
Cloncurry Shire,112,2022-04-07
Cook Shire,671,2022-04-07
Croydon Shire,4,2022-04-07
Diamantina Shire,4,2022-04-07
Doomadgee Aboriginal Shire,154,2022-04-07
Douglas Shire,1794,2022-04-07
Etheridge Shire,20,2022-04-07
Flinders Shire,73,2022-04-07
Fraser Coast Regional,5403,2022-04-07
Gladstone Regional,2720,2022-04-07
Gold Coast City,62724,2022-04-07
Goondiwindi Regional,448,2022-04-07
Gympie Regional,2287,2022-04-07
Hinchinbrook Shire,340,2022-04-07
Hope Vale Aboriginal Shire,220,2022-04-07
Interstate/Other,13171,2022-04-07
Ipswich City,22327,2022-04-07
Isaac Regional,779,2022-04-07
Kowanyama Aboriginal Shire,139,2022-04-07
Livingstone Shire,1964,2022-04-07
Lockhart River Aboriginal Shire,105,2022-04-07
Lockyer Valley Regional,2023,2022-04-07
Logan City,29971,2022-04-07
Longreach Regional,40,2022-04-07
Mackay Regional,8063,2022-04-07
Mapoon Aboriginal Shire,54,2022-04-07
Maranoa Regional,562,2022-04-07
Mareeba Shire,2598,2022-04-07
McKinlay Shire,8,2022-04-07
Moreton Bay Regional,36110,2022-04-07
Mornington Shire,120,2022-04-07
Mount Isa City,666,2022-04-07
Murweh Shire,104,2022-04-07
Napranum Aboriginal Shire,234,2022-04-07
Noosa Shire,4049,2022-04-07
North Burnett Regional,324,2022-04-07
Northern Peninsula Area Regional,599,2022-04-07
Not Supplied,404030,2022-04-07
Palm Island Aboriginal Shire,640,2022-04-07
Paroo Shire,47,2022-04-07
Pormpuraaw Aboriginal Shire,183,2022-04-07
Quilpie Shire,15,2022-04-07
Redland City,11629,2022-04-07
Richmond Shire,23,2022-04-07
Rockhampton Regional,4702,2022-04-07
Scenic Rim Regional,1772,2022-04-07
Somerset Regional,1211,2022-04-07
South Burnett Regional,988,2022-04-07
Southern Downs Regional,1531,2022-04-07
Sunshine Coast Regional,26657,2022-04-07
Tablelands Regional,2267,2022-04-07
Toowoomba Regional,6804,2022-04-07
Torres Shire,1020,2022-04-07
Torres Strait Island Regional,759,2022-04-07
Townsville City,16516,2022-04-07
Weipa Town,789,2022-04-07
Western Downs Regional,1075,2022-04-07
Whitsunday Regional,2259,2022-04-07
Winton Shire,18,2022-04-07
Woorabinda Aboriginal Shire,17,2022-04-07
Wujal Wujal Aboriginal Shire,62,2022-04-07
Yarrabah Aboriginal Shire,719,2022-04-07
Total cases,831012,2022-04-07
