Local Government Area,Total,Date
Aurukun Shire,44,2022-01-31
Balonne Shire,89,2022-01-31
Banana Shire,228,2022-01-31
Barcaldine Regional,17,2022-01-31
Barcoo Shire,2,2022-01-31
Blackall Tambo Regional,17,2022-01-31
Brisbane City,73014,2022-01-31
Bulloo Shire,3,2022-01-31
Bundaberg Regional,1946,2022-01-31
Burdekin Shire,496,2022-01-31
Burke Shire,4,2022-01-31
Cairns Regional,13645,2022-01-31
Carpentaria Shire,28,2022-01-31
Cassowary Coast Regional,1371,2022-01-31
Central Highlands Regional,651,2022-01-31
Charters Towers Regional,64,2022-01-31
Cherbourg Aboriginal Shire,133,2022-01-31
Cloncurry Shire,58,2022-01-31
Cook Shire,240,2022-01-31
Croydon Shire,2,2022-01-31
Diamantina Shire,2,2022-01-31
Doomadgee Aboriginal Shire,33,2022-01-31
Douglas Shire,1009,2022-01-31
Etheridge Shire,5,2022-01-31
Flinders Shire,21,2022-01-31
Fraser Coast Regional,2275,2022-01-31
Gladstone Regional,1084,2022-01-31
Gold Coast City,46596,2022-01-31
Goondiwindi Regional,289,2022-01-31
Gympie Regional,1123,2022-01-31
Hinchinbrook Shire,193,2022-01-31
Hope Vale Aboriginal Shire,9,2022-01-31
Interstate/Other,11478,2022-01-31
Ipswich City,14520,2022-01-31
Isaac Regional,499,2022-01-31
Kowanyama Aboriginal Shire,46,2022-01-31
Livingstone Shire,1025,2022-01-31
Lockhart River Aboriginal Shire,72,2022-01-31
Lockyer Valley Regional,1348,2022-01-31
Logan City,21687,2022-01-31
Longreach Regional,28,2022-01-31
Mackay Regional,4405,2022-01-31
Mapoon Aboriginal Shire,8,2022-01-31
Maranoa Regional,304,2022-01-31
Mareeba Shire,1210,2022-01-31
McKinlay Shire,4,2022-01-31
Moreton Bay Regional,20919,2022-01-31
Mornington Shire,10,2022-01-31
Mount Isa City,175,2022-01-31
Murweh Shire,83,2022-01-31
Napranum Aboriginal Shire,25,2022-01-31
Noosa Shire,2996,2022-01-31
North Burnett Regional,177,2022-01-31
Northern Peninsula Area Regional,228,2022-01-31
Not Supplied,135189,2022-01-31
Palm Island Aboriginal Shire,275,2022-01-31
Paroo Shire,26,2022-01-31
Pormpuraaw Aboriginal Shire,3,2022-01-31
Quilpie Shire,12,2022-01-31
Redland City,7144,2022-01-31
Richmond Shire,3,2022-01-31
Rockhampton Regional,2029,2022-01-31
Scenic Rim Regional,1104,2022-01-31
Somerset Regional,811,2022-01-31
South Burnett Regional,640,2022-01-31
Southern Downs Regional,950,2022-01-31
Sunshine Coast Regional,17035,2022-01-31
Tablelands Regional,846,2022-01-31
Toowoomba Regional,4054,2022-01-31
Torres Shire,271,2022-01-31
Torres Strait Island Regional,227,2022-01-31
Townsville City,6486,2022-01-31
Weipa Town,137,2022-01-31
Western Downs Regional,750,2022-01-31
Whitsunday Regional,1760,2022-01-31
Winton Shire,10,2022-01-31
Woorabinda Aboriginal Shire,10,2022-01-31
Wujal Wujal Aboriginal Shire,8,2022-01-31
Yarrabah Aboriginal Shire,411,2022-01-31
Total,406129,2022-01-31
