Local Government Area,Total cases,Date
Aurukun Shire,104,2022-07-14
Balonne Shire,333,2022-07-14
Banana Shire,628,2022-07-14
Barcaldine Regional,104,2022-07-14
Barcoo Shire,3,2022-07-14
Blackall Tambo Regional,54,2022-07-14
Boulia Shire,11,2022-07-14
Brisbane City,136553,2022-07-14
Bulloo Shire,8,2022-07-14
Bundaberg Regional,7177,2022-07-14
Burdekin Shire,1193,2022-07-14
Burke Shire,7,2022-07-14
Cairns Regional,42322,2022-07-14
Carpentaria Shire,157,2022-07-14
Cassowary Coast Regional,4690,2022-07-14
Central Highlands Regional,1783,2022-07-14
Charters Towers Regional,292,2022-07-14
Cherbourg Aboriginal Shire,325,2022-07-14
Cloncurry Shire,138,2022-07-14
Cook Shire,950,2022-07-14
Croydon Shire,15,2022-07-14
Diamantina Shire,23,2022-07-14
Doomadgee Aboriginal Shire,159,2022-07-14
Douglas Shire,2661,2022-07-14
Etheridge Shire,56,2022-07-14
Flinders Shire,154,2022-07-14
Fraser Coast Regional,10254,2022-07-14
Gladstone Regional,3332,2022-07-14
Gold Coast City,76086,2022-07-14
Goondiwindi Regional,594,2022-07-14
Gympie Regional,3311,2022-07-14
Hinchinbrook Shire,444,2022-07-14
Hope Vale Aboriginal Shire,286,2022-07-14
Interstate/Other,72533,2022-07-14
Ipswich City,28793,2022-07-14
Isaac Regional,909,2022-07-14
Kowanyama Aboriginal Shire,177,2022-07-14
Livingstone Shire,2438,2022-07-14
Lockhart River Aboriginal Shire,128,2022-07-14
Lockyer Valley Regional,2773,2022-07-14
Logan City,36952,2022-07-14
Longreach Regional,92,2022-07-14
Mackay Regional,10844,2022-07-14
Mapoon Aboriginal Shire,78,2022-07-14
Maranoa Regional,905,2022-07-14
Mareeba Shire,4471,2022-07-14
McKinlay Shire,11,2022-07-14
Moreton Bay Regional,48473,2022-07-14
Mornington Shire,129,2022-07-14
Mount Isa City,751,2022-07-14
Murweh Shire,241,2022-07-14
Napranum Aboriginal Shire,255,2022-07-14
Noosa Shire,5237,2022-07-14
North Burnett Regional,467,2022-07-14
Northern Peninsula Area Regional,666,2022-07-14
Not Supplied,744674,2022-07-14
Palm Island Aboriginal Shire,679,2022-07-14
Paroo Shire,74,2022-07-14
Pormpuraaw Aboriginal Shire,195,2022-07-14
Quilpie Shire,28,2022-07-14
Redland City,15375,2022-07-14
Richmond Shire,35,2022-07-14
Rockhampton Regional,5941,2022-07-14
Scenic Rim Regional,2492,2022-07-14
Somerset Regional,1644,2022-07-14
South Burnett Regional,1300,2022-07-14
Southern Downs Regional,2329,2022-07-14
Sunshine Coast Regional,34889,2022-07-14
Tablelands Regional,3916,2022-07-14
Toowoomba Regional,11486,2022-07-14
Torres Shire,1215,2022-07-14
Torres Strait Island Regional,921,2022-07-14
Townsville City,24734,2022-07-14
Weipa Town,1265,2022-07-14
Western Downs Regional,1331,2022-07-14
Whitsunday Regional,2562,2022-07-14
Winton Shire,25,2022-07-14
Woorabinda Aboriginal Shire,305,2022-07-14
Wujal Wujal Aboriginal Shire,98,2022-07-14
Yarrabah Aboriginal Shire,850,2022-07-14
Total cases,1369893,2022-07-14
