Local Government Area,Total cases,Date
Aurukun Shire,94,2022-05-27
Balonne Shire,248,2022-05-27
Banana Shire,572,2022-05-27
Barcaldine Regional,58,2022-05-27
Barcoo Shire,3,2022-05-27
Blackall Tambo Regional,38,2022-05-27
Boulia Shire,11,2022-05-27
Brisbane City,126308,2022-05-27
Bulloo Shire,8,2022-05-27
Bundaberg Regional,6167,2022-05-27
Burdekin Shire,1072,2022-05-27
Burke Shire,7,2022-05-27
Cairns Regional,38320,2022-05-27
Carpentaria Shire,148,2022-05-27
Cassowary Coast Regional,4130,2022-05-27
Central Highlands Regional,1622,2022-05-27
Charters Towers Regional,265,2022-05-27
Cherbourg Aboriginal Shire,292,2022-05-27
Cloncurry Shire,126,2022-05-27
Cook Shire,878,2022-05-27
Croydon Shire,11,2022-05-27
Diamantina Shire,19,2022-05-27
Doomadgee Aboriginal Shire,155,2022-05-27
Douglas Shire,2420,2022-05-27
Etheridge Shire,45,2022-05-27
Flinders Shire,96,2022-05-27
Fraser Coast Regional,8366,2022-05-27
Gladstone Regional,3090,2022-05-27
Gold Coast City,71677,2022-05-27
Goondiwindi Regional,503,2022-05-27
Gympie Regional,2995,2022-05-27
Hinchinbrook Shire,420,2022-05-27
Hope Vale Aboriginal Shire,253,2022-05-27
Interstate/Other,14756,2022-05-27
Ipswich City,26804,2022-05-27
Isaac Regional,872,2022-05-27
Kowanyama Aboriginal Shire,153,2022-05-27
Livingstone Shire,2286,2022-05-27
Lockhart River Aboriginal Shire,111,2022-05-27
Lockyer Valley Regional,2479,2022-05-27
Logan City,34642,2022-05-27
Longreach Regional,70,2022-05-27
Mackay Regional,10068,2022-05-27
Mapoon Aboriginal Shire,62,2022-05-27
Maranoa Regional,745,2022-05-27
Mareeba Shire,3836,2022-05-27
McKinlay Shire,8,2022-05-27
Moreton Bay Regional,44384,2022-05-27
Mornington Shire,126,2022-05-27
Mount Isa City,692,2022-05-27
Murweh Shire,166,2022-05-27
Napranum Aboriginal Shire,248,2022-05-27
Noosa Shire,4826,2022-05-27
North Burnett Regional,419,2022-05-27
Northern Peninsula Area Regional,642,2022-05-27
Not Supplied,644379,2022-05-27
Palm Island Aboriginal Shire,659,2022-05-27
Paroo Shire,63,2022-05-27
Pormpuraaw Aboriginal Shire,193,2022-05-27
Quilpie Shire,23,2022-05-27
Redland City,14148,2022-05-27
Richmond Shire,29,2022-05-27
Rockhampton Regional,5599,2022-05-27
Scenic Rim Regional,2212,2022-05-27
Somerset Regional,1483,2022-05-27
South Burnett Regional,1150,2022-05-27
Southern Downs Regional,1944,2022-05-27
Sunshine Coast Regional,32586,2022-05-27
Tablelands Regional,3284,2022-05-27
Toowoomba Regional,9191,2022-05-27
Torres Shire,1184,2022-05-27
Torres Strait Island Regional,909,2022-05-27
Townsville City,21152,2022-05-27
Weipa Town,1155,2022-05-27
Western Downs Regional,1188,2022-05-27
Whitsunday Regional,2420,2022-05-27
Winton Shire,22,2022-05-27
Woorabinda Aboriginal Shire,26,2022-05-27
Wujal Wujal Aboriginal Shire,88,2022-05-27
Yarrabah Aboriginal Shire,770,2022-05-27
Total cases,1164669,2022-05-27
