Local Government Area,Total cases,Date
Aurukun Shire,92,2022-05-16
Balonne Shire,227,2022-05-16
Banana Shire,563,2022-05-16
Barcaldine Regional,55,2022-05-16
Barcoo Shire,3,2022-05-16
Blackall Tambo Regional,29,2022-05-16
Boulia Shire,11,2022-05-16
Brisbane City,123017,2022-05-16
Bulloo Shire,8,2022-05-16
Bundaberg Regional,5957,2022-05-16
Burdekin Shire,1044,2022-05-16
Burke Shire,7,2022-05-16
Cairns Regional,37183,2022-05-16
Carpentaria Shire,145,2022-05-16
Cassowary Coast Regional,3983,2022-05-16
Central Highlands Regional,1565,2022-05-16
Charters Towers Regional,264,2022-05-16
Cherbourg Aboriginal Shire,287,2022-05-16
Cloncurry Shire,126,2022-05-16
Cook Shire,840,2022-05-16
Croydon Shire,10,2022-05-16
Diamantina Shire,18,2022-05-16
Doomadgee Aboriginal Shire,154,2022-05-16
Douglas Shire,2320,2022-05-16
Etheridge Shire,42,2022-05-16
Flinders Shire,93,2022-05-16
Fraser Coast Regional,7713,2022-05-16
Gladstone Regional,3035,2022-05-16
Gold Coast City,70532,2022-05-16
Goondiwindi Regional,481,2022-05-16
Gympie Regional,2909,2022-05-16
Hinchinbrook Shire,415,2022-05-16
Hope Vale Aboriginal Shire,246,2022-05-16
Interstate/Other,14446,2022-05-16
Ipswich City,26169,2022-05-16
Isaac Regional,859,2022-05-16
Kowanyama Aboriginal Shire,141,2022-05-16
Livingstone Shire,2237,2022-05-16
Lockhart River Aboriginal Shire,111,2022-05-16
Lockyer Valley Regional,2429,2022-05-16
Logan City,33852,2022-05-16
Longreach Regional,67,2022-05-16
Mackay Regional,9607,2022-05-16
Mapoon Aboriginal Shire,58,2022-05-16
Maranoa Regional,722,2022-05-16
Mareeba Shire,3661,2022-05-16
McKinlay Shire,8,2022-05-16
Moreton Bay Regional,43018,2022-05-16
Mornington Shire,125,2022-05-16
Mount Isa City,688,2022-05-16
Murweh Shire,157,2022-05-16
Napranum Aboriginal Shire,246,2022-05-16
Noosa Shire,4715,2022-05-16
North Burnett Regional,403,2022-05-16
Northern Peninsula Area Regional,633,2022-05-16
Not Supplied,584060,2022-05-16
Palm Island Aboriginal Shire,655,2022-05-16
Paroo Shire,60,2022-05-16
Pormpuraaw Aboriginal Shire,189,2022-05-16
Quilpie Shire,23,2022-05-16
Redland City,13686,2022-05-16
Richmond Shire,29,2022-05-16
Rockhampton Regional,5432,2022-05-16
Scenic Rim Regional,2134,2022-05-16
Somerset Regional,1442,2022-05-16
South Burnett Regional,1119,2022-05-16
Southern Downs Regional,1841,2022-05-16
Sunshine Coast Regional,31660,2022-05-16
Tablelands Regional,3124,2022-05-16
Toowoomba Regional,8783,2022-05-16
Torres Shire,1172,2022-05-16
Torres Strait Island Regional,897,2022-05-16
Townsville City,19909,2022-05-16
Weipa Town,1104,2022-05-16
Western Downs Regional,1164,2022-05-16
Whitsunday Regional,2392,2022-05-16
Winton Shire,22,2022-05-16
Woorabinda Aboriginal Shire,25,2022-05-16
Wujal Wujal Aboriginal Shire,86,2022-05-16
Yarrabah Aboriginal Shire,761,2022-05-16
Total cases,1089495,2022-05-16
