Local Government Area,Total cases,Date
Aurukun Shire,134,2022-08-12
Balonne Shire,442,2022-08-12
Banana Shire,792,2022-08-12
Barcaldine Regional,156,2022-08-12
Barcoo Shire,4,2022-08-12
Blackall Tambo Regional,82,2022-08-12
Boulia Shire,13,2022-08-12
Brisbane City,165085,2022-08-12
Bulloo Shire,12,2022-08-12
Bundaberg Regional,10080,2022-08-12
Burdekin Shire,1454,2022-08-12
Burke Shire,27,2022-08-12
Cairns Regional,46514,2022-08-12
Carpentaria Shire,169,2022-08-12
Cassowary Coast Regional,5373,2022-08-12
Central Highlands Regional,2137,2022-08-12
Charters Towers Regional,1168,2022-08-12
Cherbourg Aboriginal Shire,349,2022-08-12
Cloncurry Shire,180,2022-08-12
Cook Shire,1128,2022-08-12
Croydon Shire,21,2022-08-12
Diamantina Shire,31,2022-08-12
Doomadgee Aboriginal Shire,174,2022-08-12
Douglas Shire,2906,2022-08-12
Etheridge Shire,63,2022-08-12
Flinders Shire,179,2022-08-12
Fraser Coast Regional,11945,2022-08-12
Gladstone Regional,4767,2022-08-12
Gold Coast City,90826,2022-08-12
Goondiwindi Regional,763,2022-08-12
Gympie Regional,4074,2022-08-12
Hinchinbrook Shire,607,2022-08-12
Hope Vale Aboriginal Shire,327,2022-08-12
Interstate/Other,20531,2022-08-12
Ipswich City,32692,2022-08-12
Isaac Regional,1074,2022-08-12
Kowanyama Aboriginal Shire,192,2022-08-12
Livingstone Shire,2956,2022-08-12
Lockhart River Aboriginal Shire,142,2022-08-12
Lockyer Valley Regional,3162,2022-08-12
Logan City,42814,2022-08-12
Longreach Regional,149,2022-08-12
Mackay Regional,13118,2022-08-12
Mapoon Aboriginal Shire,81,2022-08-12
Maranoa Regional,1158,2022-08-12
Mareeba Shire,5079,2022-08-12
McKinlay Shire,20,2022-08-12
Moreton Bay Regional,59681,2022-08-12
Mornington Shire,132,2022-08-12
Mount Isa City,1969,2022-08-12
Murweh Shire,338,2022-08-12
Napranum Aboriginal Shire,272,2022-08-12
Noosa Shire,6462,2022-08-12
North Burnett Regional,662,2022-08-12
Northern Peninsula Area Regional,769,2022-08-12
Not Supplied,883802,2022-08-12
Palm Island Aboriginal Shire,755,2022-08-12
Paroo Shire,92,2022-08-12
Pormpuraaw Aboriginal Shire,223,2022-08-12
Quilpie Shire,43,2022-08-12
Redland City,18268,2022-08-12
Richmond Shire,53,2022-08-12
Rockhampton Regional,6896,2022-08-12
Scenic Rim Regional,3099,2022-08-12
Somerset Regional,1937,2022-08-12
South Burnett Regional,1666,2022-08-12
Southern Downs Regional,3085,2022-08-12
Sunshine Coast Regional,42497,2022-08-12
Tablelands Regional,4464,2022-08-12
Toowoomba Regional,18064,2022-08-12
Torres Shire,1318,2022-08-12
Torres Strait Island Regional,1002,2022-08-12
Townsville City,28627,2022-08-12
Weipa Town,1458,2022-08-12
Western Downs Regional,1676,2022-08-12
Whitsunday Regional,3180,2022-08-12
Winton Shire,44,2022-08-12
Woorabinda Aboriginal Shire,331,2022-08-12
Wujal Wujal Aboriginal Shire,107,2022-08-12
Yarrabah Aboriginal Shire,974,2022-08-12
Total cases,1569096,2022-08-12
