Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Balonne Shire,0,0,1,0,7,8,2022-01-08
Banana Shire,0,4,0,0,27,31,2022-01-08
Barcaldine Regional,0,0,0,0,6,6,2022-01-08
Blackall Tambo Regional,0,0,0,0,3,3,2022-01-08
Brisbane City,594,394,82,36,20859,21965,2022-01-08
Bulloo Shire,0,0,0,0,1,1,2022-01-08
Bundaberg Regional,19,8,4,0,423,454,2022-01-08
Burdekin Shire,0,0,0,0,28,28,2022-01-08
Cairns Regional,43,266,193,27,1640,2169,2022-01-08
Carpentaria Shire,0,0,0,0,2,2,2022-01-08
Cassowary Coast Regional,3,19,10,2,44,78,2022-01-08
Central Highlands Regional,0,4,3,1,67,75,2022-01-08
Charters Towers Regional,2,1,0,0,6,9,2022-01-08
Cherbourg Aboriginal Shire,0,34,11,0,51,96,2022-01-08
Cloncurry Shire,0,0,0,0,4,4,2022-01-08
Cook Shire,0,6,21,2,46,75,2022-01-08
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-08
Douglas Shire,2,23,25,3,118,171,2022-01-08
Etheridge Shire,0,0,0,0,1,1,2022-01-08
Flinders Shire,0,0,0,0,2,2,2022-01-08
Fraser Coast Regional,12,6,4,2,443,467,2022-01-08
Gladstone Regional,7,21,9,1,211,249,2022-01-08
Gold Coast City,193,258,267,48,9843,10609,2022-01-08
Goondiwindi Regional,2,8,1,2,42,55,2022-01-08
Gympie Regional,4,13,3,0,202,222,2022-01-08
Hinchinbrook Shire,1,0,0,0,46,47,2022-01-08
Hope Vale Aboriginal Shire,0,0,0,0,1,1,2022-01-08
Interstate/Other,168,48,61,112,3248,3637,2022-01-08
Ipswich City,32,75,33,2,2764,2906,2022-01-08
Isaac Regional,0,3,1,0,134,138,2022-01-08
Kowanyama Aboriginal Shire,0,0,0,0,1,1,2022-01-08
Livingstone Shire,3,17,5,1,104,130,2022-01-08
Lockhart River Aboriginal Shire,0,0,0,0,1,1,2022-01-08
Lockyer Valley Regional,2,9,1,0,188,200,2022-01-08
Logan City,47,37,15,12,4720,4831,2022-01-08
Longreach Regional,0,0,0,0,11,11,2022-01-08
Mackay Regional,22,13,13,2,666,716,2022-01-08
Mapoon Aboriginal Shire,0,0,0,0,1,1,2022-01-08
Maranoa Regional,0,3,0,1,39,43,2022-01-08
Mareeba Shire,3,21,2,2,61,89,2022-01-08
Moreton Bay Regional,119,35,17,4,3024,3199,2022-01-08
Mornington Shire,0,0,0,0,2,2,2022-01-08
Mount Isa City,0,0,0,0,17,17,2022-01-08
Murweh Shire,0,0,1,1,13,15,2022-01-08
Napranum Aboriginal Shire,0,0,1,0,0,1,2022-01-08
Noosa Shire,19,30,20,2,749,820,2022-01-08
North Burnett Regional,1,1,0,1,20,23,2022-01-08
Northern Peninsula Area Regional,0,0,2,1,4,7,2022-01-08
Not Supplied,65,64,75,6,6777,6987,2022-01-08
Palm Island Aboriginal Shire,0,0,0,0,17,17,2022-01-08
Paroo Shire,0,1,0,0,5,6,2022-01-08
Quilpie Shire,0,0,0,0,2,2,2022-01-08
Redland City,28,14,5,2,1428,1477,2022-01-08
Rockhampton Regional,21,61,14,3,210,309,2022-01-08
Scenic Rim Regional,4,4,1,0,178,187,2022-01-08
Somerset Regional,3,2,1,1,120,127,2022-01-08
South Burnett Regional,2,23,8,1,179,213,2022-01-08
Southern Downs Regional,2,7,4,3,135,151,2022-01-08
Sunshine Coast Regional,82,73,57,19,2663,2894,2022-01-08
Tablelands Regional,5,13,5,0,75,98,2022-01-08
Toowoomba Regional,42,86,32,18,963,1141,2022-01-08
Torres Shire,1,2,2,0,19,24,2022-01-08
Townsville City,31,18,18,6,689,762,2022-01-08
Weipa Town,0,1,9,1,16,27,2022-01-08
Western Downs Regional,3,5,1,1,130,140,2022-01-08
Whitsunday Regional,7,12,21,1,558,599,2022-01-08
Winton Shire,0,0,0,0,1,1,2022-01-08
Woorabinda Aboriginal Shire,0,0,0,0,2,2,2022-01-08
Wujal Wujal Aboriginal Shire,0,0,0,0,1,1,2022-01-08
Total,1594,1744,1059,327,64059,68783,2022-01-08
