Local Government Area,Total cases,Date
Aurukun Shire,88,2022-03-07
Balonne Shire,117,2022-03-07
Banana Shire,403,2022-03-07
Barcaldine Regional,20,2022-03-07
Barcoo Shire,2,2022-03-07
Blackall Tambo Regional,20,2022-03-07
Boulia Shire,8,2022-03-07
Brisbane City,89131,2022-03-07
Bulloo Shire,5,2022-03-07
Bundaberg Regional,3426,2022-03-07
Burdekin Shire,884,2022-03-07
Burke Shire,4,2022-03-07
Cairns Regional,19425,2022-03-07
Carpentaria Shire,121,2022-03-07
Cassowary Coast Regional,1931,2022-03-07
Central Highlands Regional,1078,2022-03-07
Charters Towers Regional,215,2022-03-07
Cherbourg Aboriginal Shire,206,2022-03-07
Cloncurry Shire,88,2022-03-07
Cook Shire,462,2022-03-07
Croydon Shire,2,2022-03-07
Diamantina Shire,2,2022-03-07
Doomadgee Aboriginal Shire,137,2022-03-07
Douglas Shire,1351,2022-03-07
Etheridge Shire,9,2022-03-07
Flinders Shire,70,2022-03-07
Fraser Coast Regional,3583,2022-03-07
Gladstone Regional,1778,2022-03-07
Gold Coast City,56119,2022-03-07
Goondiwindi Regional,413,2022-03-07
Gympie Regional,1826,2022-03-07
Hinchinbrook Shire,308,2022-03-07
Hope Vale Aboriginal Shire,85,2022-03-07
Interstate/Other,12439,2022-03-07
Ipswich City,18447,2022-03-07
Isaac Regional,687,2022-03-07
Kowanyama Aboriginal Shire,136,2022-03-07
Livingstone Shire,1553,2022-03-07
Lockhart River Aboriginal Shire,102,2022-03-07
Lockyer Valley Regional,1702,2022-03-07
Logan City,26895,2022-03-07
Longreach Regional,34,2022-03-07
Mackay Regional,6645,2022-03-07
Mapoon Aboriginal Shire,45,2022-03-07
Maranoa Regional,468,2022-03-07
Mareeba Shire,1947,2022-03-07
McKinlay Shire,7,2022-03-07
Moreton Bay Regional,29262,2022-03-07
Mornington Shire,103,2022-03-07
Mount Isa City,627,2022-03-07
Murweh Shire,89,2022-03-07
Napranum Aboriginal Shire,216,2022-03-07
Noosa Shire,3564,2022-03-07
North Burnett Regional,238,2022-03-07
Northern Peninsula Area Regional,532,2022-03-07
Not Supplied,231985,2022-03-07
Palm Island Aboriginal Shire,594,2022-03-07
Paroo Shire,36,2022-03-07
Pormpuraaw Aboriginal Shire,179,2022-03-07
Quilpie Shire,13,2022-03-07
Redland City,9833,2022-03-07
Richmond Shire,14,2022-03-07
Rockhampton Regional,3599,2022-03-07
Scenic Rim Regional,1492,2022-03-07
Somerset Regional,1046,2022-03-07
South Burnett Regional,882,2022-03-07
Southern Downs Regional,1315,2022-03-07
Sunshine Coast Regional,22436,2022-03-07
Tablelands Regional,1142,2022-03-07
Toowoomba Regional,5341,2022-03-07
Torres Shire,745,2022-03-07
Torres Strait Island Regional,502,2022-03-07
Townsville City,12754,2022-03-07
Weipa Town,583,2022-03-07
Western Downs Regional,907,2022-03-07
Whitsunday Regional,2144,2022-03-07
Winton Shire,15,2022-03-07
Woorabinda Aboriginal Shire,15,2022-03-07
Wujal Wujal Aboriginal Shire,48,2022-03-07
Yarrabah Aboriginal Shire,681,2022-03-07
Total cases,587356,2022-03-07
