Local Government Area,Total cases,Date
Aurukun Shire,85,2022-02-19
Balonne Shire,99,2022-02-19
Banana Shire,343,2022-02-19
Barcaldine Regional,18,2022-02-19
Barcoo Shire,2,2022-02-19
Blackall Tambo Regional,20,2022-02-19
Boulia Shire,3,2022-02-19
Brisbane City,84452,2022-02-19
Bulloo Shire,5,2022-02-19
Bundaberg Regional,2881,2022-02-19
Burdekin Shire,785,2022-02-19
Burke Shire,4,2022-02-19
Cairns Regional,16988,2022-02-19
Carpentaria Shire,110,2022-02-19
Cassowary Coast Regional,1767,2022-02-19
Central Highlands Regional,960,2022-02-19
Charters Towers Regional,196,2022-02-19
Cherbourg Aboriginal Shire,192,2022-02-19
Cloncurry Shire,80,2022-02-19
Cook Shire,377,2022-02-19
Croydon Shire,2,2022-02-19
Diamantina Shire,2,2022-02-19
Doomadgee Aboriginal Shire,126,2022-02-19
Douglas Shire,1262,2022-02-19
Etheridge Shire,9,2022-02-19
Flinders Shire,66,2022-02-19
Fraser Coast Regional,3113,2022-02-19
Gladstone Regional,1507,2022-02-19
Gold Coast City,53501,2022-02-19
Goondiwindi Regional,392,2022-02-19
Gympie Regional,1642,2022-02-19
Hinchinbrook Shire,270,2022-02-19
Hope Vale Aboriginal Shire,42,2022-02-19
Interstate/Other,12278,2022-02-19
Ipswich City,17448,2022-02-19
Isaac Regional,626,2022-02-19
Kowanyama Aboriginal Shire,120,2022-02-19
Livingstone Shire,1426,2022-02-19
Lockhart River Aboriginal Shire,98,2022-02-19
Lockyer Valley Regional,1648,2022-02-19
Logan City,25575,2022-02-19
Longreach Regional,29,2022-02-19
Mackay Regional,5965,2022-02-19
Mapoon Aboriginal Shire,30,2022-02-19
Maranoa Regional,430,2022-02-19
Mareeba Shire,1719,2022-02-19
McKinlay Shire,6,2022-02-19
Moreton Bay Regional,26900,2022-02-19
Mornington Shire,82,2022-02-19
Mount Isa City,598,2022-02-19
Murweh Shire,88,2022-02-19
Napranum Aboriginal Shire,143,2022-02-19
Noosa Shire,3429,2022-02-19
North Burnett Regional,221,2022-02-19
Northern Peninsula Area Regional,462,2022-02-19
Not Supplied,193662,2022-02-19
Palm Island Aboriginal Shire,508,2022-02-19
Paroo Shire,34,2022-02-19
Pormpuraaw Aboriginal Shire,115,2022-02-19
Quilpie Shire,13,2022-02-19
Redland City,8994,2022-02-19
Richmond Shire,12,2022-02-19
Rockhampton Regional,2984,2022-02-19
Scenic Rim Regional,1401,2022-02-19
Somerset Regional,1004,2022-02-19
South Burnett Regional,823,2022-02-19
Southern Downs Regional,1200,2022-02-19
Sunshine Coast Regional,21119,2022-02-19
Tablelands Regional,1045,2022-02-19
Toowoomba Regional,4958,2022-02-19
Torres Shire,534,2022-02-19
Torres Strait Island Regional,399,2022-02-19
Townsville City,10604,2022-02-19
Weipa Town,316,2022-02-19
Western Downs Regional,855,2022-02-19
Whitsunday Regional,2028,2022-02-19
Winton Shire,14,2022-02-19
Woorabinda Aboriginal Shire,13,2022-02-19
Wujal Wujal Aboriginal Shire,38,2022-02-19
Yarrabah Aboriginal Shire,652,2022-02-19
Total cases,523947,2022-02-19
