Local Government Area,Total cases,Date
Aurukun Shire,90,2022-03-18
Balonne Shire,139,2022-03-18
Banana Shire,445,2022-03-18
Barcaldine Regional,21,2022-03-18
Barcoo Shire,2,2022-03-18
Blackall Tambo Regional,20,2022-03-18
Boulia Shire,9,2022-03-18
Brisbane City,92209,2022-03-18
Bulloo Shire,6,2022-03-18
Bundaberg Regional,3921,2022-03-18
Burdekin Shire,919,2022-03-18
Burke Shire,4,2022-03-18
Cairns Regional,20980,2022-03-18
Carpentaria Shire,125,2022-03-18
Cassowary Coast Regional,2317,2022-03-18
Central Highlands Regional,1140,2022-03-18
Charters Towers Regional,228,2022-03-18
Cherbourg Aboriginal Shire,209,2022-03-18
Cloncurry Shire,102,2022-03-18
Cook Shire,566,2022-03-18
Croydon Shire,4,2022-03-18
Diamantina Shire,3,2022-03-18
Doomadgee Aboriginal Shire,147,2022-03-18
Douglas Shire,1425,2022-03-18
Etheridge Shire,9,2022-03-18
Flinders Shire,71,2022-03-18
Fraser Coast Regional,3989,2022-03-18
Gladstone Regional,2126,2022-03-18
Gold Coast City,57700,2022-03-18
Goondiwindi Regional,420,2022-03-18
Gympie Regional,1895,2022-03-18
Hinchinbrook Shire,318,2022-03-18
Hope Vale Aboriginal Shire,161,2022-03-18
Interstate/Other,12642,2022-03-18
Ipswich City,19014,2022-03-18
Isaac Regional,709,2022-03-18
Kowanyama Aboriginal Shire,136,2022-03-18
Livingstone Shire,1692,2022-03-18
Lockhart River Aboriginal Shire,102,2022-03-18
Lockyer Valley Regional,1744,2022-03-18
Logan City,27618,2022-03-18
Longreach Regional,35,2022-03-18
Mackay Regional,7131,2022-03-18
Mapoon Aboriginal Shire,52,2022-03-18
Maranoa Regional,494,2022-03-18
Mareeba Shire,2131,2022-03-18
McKinlay Shire,8,2022-03-18
Moreton Bay Regional,30692,2022-03-18
Mornington Shire,118,2022-03-18
Mount Isa City,643,2022-03-18
Murweh Shire,90,2022-03-18
Napranum Aboriginal Shire,225,2022-03-18
Noosa Shire,3672,2022-03-18
North Burnett Regional,265,2022-03-18
Northern Peninsula Area Regional,569,2022-03-18
Not Supplied,281218,2022-03-18
Palm Island Aboriginal Shire,628,2022-03-18
Paroo Shire,39,2022-03-18
Pormpuraaw Aboriginal Shire,181,2022-03-18
Quilpie Shire,13,2022-03-18
Redland City,10260,2022-03-18
Richmond Shire,16,2022-03-18
Rockhampton Regional,3961,2022-03-18
Scenic Rim Regional,1537,2022-03-18
Somerset Regional,1072,2022-03-18
South Burnett Regional,905,2022-03-18
Southern Downs Regional,1382,2022-03-18
Sunshine Coast Regional,23212,2022-03-18
Tablelands Regional,1455,2022-03-18
Toowoomba Regional,5657,2022-03-18
Torres Shire,841,2022-03-18
Torres Strait Island Regional,595,2022-03-18
Townsville City,14304,2022-03-18
Weipa Town,655,2022-03-18
Western Downs Regional,983,2022-03-18
Whitsunday Regional,2187,2022-03-18
Winton Shire,18,2022-03-18
Woorabinda Aboriginal Shire,16,2022-03-18
Wujal Wujal Aboriginal Shire,54,2022-03-18
Yarrabah Aboriginal Shire,692,2022-03-18
Total cases,653383,2022-03-18
