Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Balonne Shire,0,0,0,0,3,3,2022-01-03
Banana Shire,0,4,0,0,7,11,2022-01-03
Brisbane City,594,380,73,36,6479,7562,2022-01-03
Bundaberg Regional,18,8,3,0,228,257,2022-01-03
Burdekin Shire,0,0,0,0,2,2,2022-01-03
Cairns Regional,43,63,30,11,289,436,2022-01-03
Cassowary Coast Regional,3,3,1,2,6,15,2022-01-03
Central Highlands Regional,0,4,2,1,11,18,2022-01-03
Charters Towers Regional,2,1,0,0,1,4,2022-01-03
Cherbourg Aboriginal Shire,0,9,3,0,39,51,2022-01-03
Cloncurry Shire,0,0,0,0,1,1,2022-01-03
Cook Shire,0,2,3,1,1,7,2022-01-03
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-03
Douglas Shire,2,3,10,0,41,56,2022-01-03
Flinders Shire,0,0,0,0,1,1,2022-01-03
Fraser Coast Regional,12,4,3,2,134,155,2022-01-03
Gladstone Regional,7,16,6,1,38,68,2022-01-03
Gold Coast City,193,247,245,47,2820,3552,2022-01-03
Goondiwindi Regional,2,8,0,2,8,20,2022-01-03
Gympie Regional,4,11,3,0,50,68,2022-01-03
Hinchinbrook Shire,1,0,0,0,22,23,2022-01-03
Interstate/Other,167,31,23,94,1340,1655,2022-01-03
Ipswich City,32,74,33,2,861,1002,2022-01-03
Isaac Regional,0,3,0,0,21,24,2022-01-03
Livingstone Shire,3,14,3,1,17,38,2022-01-03
Lockyer Valley Regional,2,9,1,0,68,80,2022-01-03
Logan City,47,37,13,12,1803,1912,2022-01-03
Longreach Regional,0,0,0,0,1,1,2022-01-03
Mackay Regional,22,10,4,2,130,168,2022-01-03
Maranoa Regional,0,1,0,1,10,12,2022-01-03
Mareeba Shire,3,11,0,2,15,31,2022-01-03
McKinlay Shire,0,0,0,0,1,1,2022-01-03
Moreton Bay Regional,119,33,13,4,999,1168,2022-01-03
Mount Isa City,0,0,0,0,7,7,2022-01-03
Murweh Shire,0,0,0,1,3,4,2022-01-03
Noosa Shire,19,30,17,2,348,416,2022-01-03
North Burnett Regional,1,1,0,1,10,13,2022-01-03
Not Supplied,65,57,48,6,2013,2189,2022-01-03
Palm Island Aboriginal Shire,0,0,0,0,6,6,2022-01-03
Paroo Shire,0,1,0,0,4,5,2022-01-03
Redland City,28,14,5,2,464,513,2022-01-03
Rockhampton Regional,21,37,5,2,54,119,2022-01-03
Scenic Rim Regional,4,4,1,0,52,61,2022-01-03
Somerset Regional,3,2,1,1,27,34,2022-01-03
South Burnett Regional,2,2,0,1,34,39,2022-01-03
Southern Downs Regional,2,4,2,3,38,49,2022-01-03
Sunshine Coast Regional,82,71,37,19,727,936,2022-01-03
Tablelands Regional,5,5,0,0,13,23,2022-01-03
Toowoomba Regional,42,63,12,10,452,579,2022-01-03
Torres Shire,1,0,0,0,11,12,2022-01-03
Townsville City,31,12,5,4,202,254,2022-01-03
Weipa Town,0,0,0,0,3,3,2022-01-03
Western Downs Regional,3,3,1,1,40,48,2022-01-03
Whitsunday Regional,7,8,13,0,199,227,2022-01-03
Total,1592,1301,619,274,20155,23941,2022-01-03
