Local Government Area,Total cases,Date
Aurukun Shire,92,2022-04-28
Balonne Shire,189,2022-04-28
Banana Shire,534,2022-04-28
Barcaldine Regional,38,2022-04-28
Barcoo Shire,3,2022-04-28
Blackall Tambo Regional,24,2022-04-28
Boulia Shire,9,2022-04-28
Brisbane City,115922,2022-04-28
Bulloo Shire,7,2022-04-28
Bundaberg Regional,5600,2022-04-28
Burdekin Shire,1008,2022-04-28
Burke Shire,8,2022-04-28
Cairns Regional,33271,2022-04-28
Carpentaria Shire,139,2022-04-28
Cassowary Coast Regional,3501,2022-04-28
Central Highlands Regional,1463,2022-04-28
Charters Towers Regional,246,2022-04-28
Cherbourg Aboriginal Shire,269,2022-04-28
Cloncurry Shire,118,2022-04-28
Cook Shire,775,2022-04-28
Croydon Shire,6,2022-04-28
Diamantina Shire,13,2022-04-28
Doomadgee Aboriginal Shire,154,2022-04-28
Douglas Shire,2132,2022-04-28
Etheridge Shire,26,2022-04-28
Flinders Shire,76,2022-04-28
Fraser Coast Regional,6744,2022-04-28
Gladstone Regional,2912,2022-04-28
Gold Coast City,67456,2022-04-28
Goondiwindi Regional,469,2022-04-28
Gympie Regional,2683,2022-04-28
Hinchinbrook Shire,373,2022-04-28
Hope Vale Aboriginal Shire,240,2022-04-28
Interstate/Other,13979,2022-04-28
Ipswich City,24802,2022-04-28
Isaac Regional,834,2022-04-28
Kowanyama Aboriginal Shire,138,2022-04-28
Livingstone Shire,2126,2022-04-28
Lockhart River Aboriginal Shire,108,2022-04-28
Lockyer Valley Regional,2293,2022-04-28
Logan City,32157,2022-04-28
Longreach Regional,49,2022-04-28
Mackay Regional,9007,2022-04-28
Mapoon Aboriginal Shire,57,2022-04-28
Maranoa Regional,656,2022-04-28
Mareeba Shire,3151,2022-04-28
McKinlay Shire,8,2022-04-28
Moreton Bay Regional,40415,2022-04-28
Mornington Shire,123,2022-04-28
Mount Isa City,672,2022-04-28
Murweh Shire,128,2022-04-28
Napranum Aboriginal Shire,242,2022-04-28
Noosa Shire,4440,2022-04-28
North Burnett Regional,385,2022-04-28
Northern Peninsula Area Regional,614,2022-04-28
Not Supplied,508000,2022-04-28
Palm Island Aboriginal Shire,647,2022-04-28
Paroo Shire,57,2022-04-28
Pormpuraaw Aboriginal Shire,189,2022-04-28
Quilpie Shire,16,2022-04-28
Redland City,12830,2022-04-28
Richmond Shire,27,2022-04-28
Rockhampton Regional,5124,2022-04-28
Scenic Rim Regional,1982,2022-04-28
Somerset Regional,1337,2022-04-28
South Burnett Regional,1081,2022-04-28
Southern Downs Regional,1685,2022-04-28
Sunshine Coast Regional,29776,2022-04-28
Tablelands Regional,2749,2022-04-28
Toowoomba Regional,8078,2022-04-28
Torres Shire,1126,2022-04-28
Torres Strait Island Regional,866,2022-04-28
Townsville City,18241,2022-04-28
Weipa Town,941,2022-04-28
Western Downs Regional,1124,2022-04-28
Whitsunday Regional,2346,2022-04-28
Winton Shire,20,2022-04-28
Woorabinda Aboriginal Shire,23,2022-04-28
Wujal Wujal Aboriginal Shire,77,2022-04-28
Yarrabah Aboriginal Shire,748,2022-04-28
Total cases,981974,2022-04-28
