Local Government Area,Total cases,Date
Aurukun Shire,90,2022-03-03
Balonne Shire,107,2022-03-03
Banana Shire,385,2022-03-03
Barcaldine Regional,18,2022-03-03
Barcoo Shire,2,2022-03-03
Blackall Tambo Regional,20,2022-03-03
Boulia Shire,5,2022-03-03
Brisbane City,88033,2022-03-03
Bulloo Shire,5,2022-03-03
Bundaberg Regional,3302,2022-03-03
Burdekin Shire,861,2022-03-03
Burke Shire,4,2022-03-03
Cairns Regional,19089,2022-03-03
Carpentaria Shire,121,2022-03-03
Cassowary Coast Regional,1910,2022-03-03
Central Highlands Regional,1050,2022-03-03
Charters Towers Regional,210,2022-03-03
Cherbourg Aboriginal Shire,205,2022-03-03
Cloncurry Shire,86,2022-03-03
Cook Shire,432,2022-03-03
Croydon Shire,2,2022-03-03
Diamantina Shire,2,2022-03-03
Doomadgee Aboriginal Shire,132,2022-03-03
Douglas Shire,1343,2022-03-03
Etheridge Shire,9,2022-03-03
Flinders Shire,70,2022-03-03
Fraser Coast Regional,3479,2022-03-03
Gladstone Regional,1669,2022-03-03
Gold Coast City,55500,2022-03-03
Goondiwindi Regional,409,2022-03-03
Gympie Regional,1780,2022-03-03
Hinchinbrook Shire,303,2022-03-03
Hope Vale Aboriginal Shire,72,2022-03-03
Interstate/Other,12399,2022-03-03
Ipswich City,18268,2022-03-03
Isaac Regional,670,2022-03-03
Kowanyama Aboriginal Shire,135,2022-03-03
Livingstone Shire,1523,2022-03-03
Lockhart River Aboriginal Shire,102,2022-03-03
Lockyer Valley Regional,1693,2022-03-03
Logan City,26581,2022-03-03
Longreach Regional,34,2022-03-03
Mackay Regional,6487,2022-03-03
Mapoon Aboriginal Shire,45,2022-03-03
Maranoa Regional,457,2022-03-03
Mareeba Shire,1874,2022-03-03
McKinlay Shire,7,2022-03-03
Moreton Bay Regional,28755,2022-03-03
Mornington Shire,100,2022-03-03
Mount Isa City,620,2022-03-03
Murweh Shire,89,2022-03-03
Napranum Aboriginal Shire,207,2022-03-03
Noosa Shire,3546,2022-03-03
North Burnett Regional,233,2022-03-03
Northern Peninsula Area Regional,527,2022-03-03
Not Supplied,232747,2022-03-03
Palm Island Aboriginal Shire,572,2022-03-03
Paroo Shire,36,2022-03-03
Pormpuraaw Aboriginal Shire,178,2022-03-03
Quilpie Shire,13,2022-03-03
Redland City,9643,2022-03-03
Richmond Shire,14,2022-03-03
Rockhampton Regional,3420,2022-03-03
Scenic Rim Regional,1476,2022-03-03
Somerset Regional,1043,2022-03-03
South Burnett Regional,873,2022-03-03
Southern Downs Regional,1285,2022-03-03
Sunshine Coast Regional,22179,2022-03-03
Tablelands Regional,1122,2022-03-03
Toowoomba Regional,5258,2022-03-03
Torres Shire,713,2022-03-03
Torres Strait Island Regional,487,2022-03-03
Townsville City,12261,2022-03-03
Weipa Town,554,2022-03-03
Western Downs Regional,895,2022-03-03
Whitsunday Regional,2115,2022-03-03
Winton Shire,15,2022-03-03
Woorabinda Aboriginal Shire,15,2022-03-03
Wujal Wujal Aboriginal Shire,46,2022-03-03
Yarrabah Aboriginal Shire,679,2022-03-03
Total cases,582696,2022-03-03
