Local Government Area,Total cases,Date
Aurukun Shire,136,2022-12-02
Balonne Shire,457,2022-12-02
Banana Shire,809,2022-12-02
Barcaldine Regional,164,2022-12-02
Barcoo Shire,4,2022-12-02
Blackall Tambo Regional,83,2022-12-02
Boulia Shire,14,2022-12-02
Brisbane City,168497,2022-12-02
Bulloo Shire,12,2022-12-02
Bundaberg Regional,10497,2022-12-02
Burdekin Shire,1466,2022-12-02
Burke Shire,28,2022-12-02
Cairns Regional,48930,2022-12-02
Carpentaria Shire,170,2022-12-02
Cassowary Coast Regional,5723,2022-12-02
Central Highlands Regional,2172,2022-12-02
Charters Towers Regional,1189,2022-12-02
Cherbourg Aboriginal Shire,391,2022-12-02
Cloncurry Shire,183,2022-12-02
Cook Shire,1164,2022-12-02
Croydon Shire,23,2022-12-02
Diamantina Shire,32,2022-12-02
Doomadgee Aboriginal Shire,175,2022-12-02
Douglas Shire,3033,2022-12-02
Etheridge Shire,68,2022-12-02
Flinders Shire,181,2022-12-02
Fraser Coast Regional,12418,2022-12-02
Gladstone Regional,4822,2022-12-02
Gold Coast City,92424,2022-12-02
Goondiwindi Regional,791,2022-12-02
Gympie Regional,4152,2022-12-02
Hinchinbrook Shire,618,2022-12-02
Hope Vale Aboriginal Shire,339,2022-12-02
Interstate/Other,21028,2022-12-02
Ipswich City,33308,2022-12-02
Isaac Regional,1087,2022-12-02
Kowanyama Aboriginal Shire,196,2022-12-02
Livingstone Shire,2989,2022-12-02
Lockhart River Aboriginal Shire,157,2022-12-02
Lockyer Valley Regional,3285,2022-12-02
Logan City,43554,2022-12-02
Longreach Regional,154,2022-12-02
Mackay Regional,13300,2022-12-02
Mapoon Aboriginal Shire,82,2022-12-02
Maranoa Regional,1208,2022-12-02
Mareeba Shire,5533,2022-12-02
McKinlay Shire,22,2022-12-02
Moreton Bay Regional,61528,2022-12-02
Mornington Shire,136,2022-12-02
Mount Isa City,2051,2022-12-02
Murweh Shire,349,2022-12-02
Napranum Aboriginal Shire,277,2022-12-02
Noosa Shire,6592,2022-12-02
North Burnett Regional,717,2022-12-02
Northern Peninsula Area Regional,774,2022-12-02
Not Supplied,920632,2022-12-02
Palm Island Aboriginal Shire,763,2022-12-02
Paroo Shire,94,2022-12-02
Pormpuraaw Aboriginal Shire,228,2022-12-02
Quilpie Shire,46,2022-12-02
Redland City,18618,2022-12-02
Richmond Shire,51,2022-12-02
Rockhampton Regional,6977,2022-12-02
Scenic Rim Regional,3169,2022-12-02
Somerset Regional,1985,2022-12-02
South Burnett Regional,1736,2022-12-02
Southern Downs Regional,3200,2022-12-02
Sunshine Coast Regional,43147,2022-12-02
Tablelands Regional,4798,2022-12-02
Toowoomba Regional,18505,2022-12-02
Torres Shire,1366,2022-12-02
Torres Strait Island Regional,1050,2022-12-02
Townsville City,28910,2022-12-02
Weipa Town,1507,2022-12-02
Western Downs Regional,1737,2022-12-02
Whitsunday Regional,3215,2022-12-02
Winton Shire,46,2022-12-02
Woorabinda Aboriginal Shire,331,2022-12-02
Wujal Wujal Aboriginal Shire,111,2022-12-02
Yarrabah Aboriginal Shire,1271,2022-12-02
Total cases,1622985,2022-12-02
