Local Government Area,Total cases,Date
Aurukun Shire,136,2022-10-06
Balonne Shire,457,2022-10-06
Banana Shire,809,2022-10-06
Barcaldine Regional,164,2022-10-06
Barcoo Shire,4,2022-10-06
Blackall Tambo Regional,83,2022-10-06
Boulia Shire,14,2022-10-06
Brisbane City,168497,2022-10-06
Bulloo Shire,12,2022-10-06
Bundaberg Regional,10497,2022-10-06
Burdekin Shire,1466,2022-10-06
Burke Shire,28,2022-10-06
Cairns Regional,48930,2022-10-06
Carpentaria Shire,170,2022-10-06
Cassowary Coast Regional,5723,2022-10-06
Central Highlands Regional,2172,2022-10-06
Charters Towers Regional,1189,2022-10-06
Cherbourg Aboriginal Shire,391,2022-10-06
Cloncurry Shire,183,2022-10-06
Cook Shire,1164,2022-10-06
Croydon Shire,23,2022-10-06
Diamantina Shire,32,2022-10-06
Doomadgee Aboriginal Shire,175,2022-10-06
Douglas Shire,3033,2022-10-06
Etheridge Shire,68,2022-10-06
Flinders Shire,181,2022-10-06
Fraser Coast Regional,12418,2022-10-06
Gladstone Regional,4822,2022-10-06
Gold Coast City,92424,2022-10-06
Goondiwindi Regional,791,2022-10-06
Gympie Regional,4152,2022-10-06
Hinchinbrook Shire,618,2022-10-06
Hope Vale Aboriginal Shire,339,2022-10-06
Interstate/Other,21028,2022-10-06
Ipswich City,33308,2022-10-06
Isaac Regional,1087,2022-10-06
Kowanyama Aboriginal Shire,196,2022-10-06
Livingstone Shire,2989,2022-10-06
Lockhart River Aboriginal Shire,157,2022-10-06
Lockyer Valley Regional,3285,2022-10-06
Logan City,43554,2022-10-06
Longreach Regional,154,2022-10-06
Mackay Regional,13300,2022-10-06
Mapoon Aboriginal Shire,82,2022-10-06
Maranoa Regional,1208,2022-10-06
Mareeba Shire,5533,2022-10-06
McKinlay Shire,22,2022-10-06
Moreton Bay Regional,61528,2022-10-06
Mornington Shire,136,2022-10-06
Mount Isa City,2051,2022-10-06
Murweh Shire,349,2022-10-06
Napranum Aboriginal Shire,277,2022-10-06
Noosa Shire,6592,2022-10-06
North Burnett Regional,717,2022-10-06
Northern Peninsula Area Regional,774,2022-10-06
Not Supplied,920632,2022-10-06
Palm Island Aboriginal Shire,763,2022-10-06
Paroo Shire,94,2022-10-06
Pormpuraaw Aboriginal Shire,228,2022-10-06
Quilpie Shire,46,2022-10-06
Redland City,18618,2022-10-06
Richmond Shire,51,2022-10-06
Rockhampton Regional,6977,2022-10-06
Scenic Rim Regional,3169,2022-10-06
Somerset Regional,1985,2022-10-06
South Burnett Regional,1736,2022-10-06
Southern Downs Regional,3200,2022-10-06
Sunshine Coast Regional,43147,2022-10-06
Tablelands Regional,4798,2022-10-06
Toowoomba Regional,18505,2022-10-06
Torres Shire,1366,2022-10-06
Torres Strait Island Regional,1050,2022-10-06
Townsville City,28910,2022-10-06
Weipa Town,1507,2022-10-06
Western Downs Regional,1737,2022-10-06
Whitsunday Regional,3215,2022-10-06
Winton Shire,46,2022-10-06
Woorabinda Aboriginal Shire,331,2022-10-06
Wujal Wujal Aboriginal Shire,111,2022-10-06
Yarrabah Aboriginal Shire,1271,2022-10-06
Total cases,1622985,2022-10-06
