Jurisdiction,Active,Recovered,Deaths,Date,Active and Recovered,Total staff cases as at 13 Sep 2022,Total staff cases as at 20 Sep 2022,Total staff cases as at 21 Sep 2022,Total staff cases as at 28 Sep 2022,Total staff cases as at 05 Oct 2022,Total staff cases as at 12 Oct 2022,Total staff cases as at 19 Oct 2022,Total staff cases as at 26 Oct 2022,Total staff cases as at 02 Nov 2022,Total staff cases as at 09 Nov 2022,Total staff cases as at 16 Nov 2022,Total staff cases as at 23 Nov 2022,Total staff cases as at 30 Nov 2022
Australia,391.0,1430.0,753.0,2021-10-13,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-13,,,,,,,,,,,,,,
VIC,103.0,1349.0,671.0,2021-10-13,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-13,,,,,,,,,,,,,,
VIC,151.0,1349.0,673.0,2021-10-14,,,,,,,,,,,,,,
Australia,439.0,1430.0,758.0,2021-10-14,,,,,,,,,,,,,,
ACT,9.0,0.0,6.0,2021-10-14,,,,,,,,,,,,,,
NSW,279.0,81.0,77.0,2021-10-14,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-14,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-14,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-14,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-14,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-14,,,,,,,,,,,,,,
ACT,9.0,0.0,6.0,2021-10-15,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-15,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-15,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-15,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-15,,,,,,,,,,,,,,
VIC,173.0,1350.0,675.0,2021-10-15,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-15,,,,,,,,,,,,,,
Australia,460.0,1431.0,761.0,2021-10-15,,,,,,,,,,,,,,
NSW,278.0,81.0,78.0,2021-10-15,,,,,,,,,,,,,,
ACT,9.0,0.0,6.0,2021-10-16,,,,,,,,,,,,,,
VIC,173.0,1350.0,675.0,2021-10-16,,,,,,,,,,,,,,
NSW,278.0,81.0,78.0,2021-10-16,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-16,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-16,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-16,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-16,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-16,,,,,,,,,,,,,,
Australia,460.0,1431.0,761.0,2021-10-16,,,,,,,,,,,,,,
ACT,9.0,0.0,6.0,2021-10-17,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-17,,,,,,,,,,,,,,
VIC,173.0,1350.0,675.0,2021-10-17,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-17,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-17,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-17,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-17,,,,,,,,,,,,,,
NSW,278.0,81.0,78.0,2021-10-17,,,,,,,,,,,,,,
Australia,460.0,1431.0,761.0,2021-10-17,,,,,,,,,,,,,,
VIC,225.0,1350.0,677.0,2021-10-18,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-18,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-18,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-18,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-18,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-18,,,,,,,,,,,,,,
NSW,280.0,84.0,79.0,2021-10-18,,,,,,,,,,,,,,
ACT,8.0,0.0,7.0,2021-10-18,,,,,,,,,,,,,,
Australia,513.0,1434.0,765.0,2021-10-18,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-19,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-19,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-19,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-19,,,,,,,,,,,,,,
Australia,524.0,1442.0,766.0,2021-10-19,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-19,,,,,,,,,,,,,,
VIC,240.0,1350.0,678.0,2021-10-19,,,,,,,,,,,,,,
NSW,284.0,84.0,79.0,2021-10-19,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-19,,,,,,,,,,,,,,
Australia,560.0,1449.0,770.0,2021-10-20,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-20,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-20,,,,,,,,,,,,,,
NSW,291.0,84.0,82.0,2021-10-20,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-20,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-20,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-20,,,,,,,,,,,,,,
VIC,269.0,1357.0,679.0,2021-10-20,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-20,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-21,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-21,,,,,,,,,,,,,,
