Age Group,Male,Female,Date,Unnamed: 0,Hospitalisations,ICU
0-9,7018.0,6641.0,2021-10-06,,,
90+,309.0,713.0,2021-10-06,,,
70-79,1892.0,1750.0,2021-10-06,,,
60-69,3501.0,3258.0,2021-10-06,,,
50-59,5920.0,5392.0,2021-10-06,,,
80-89,979.0,1278.0,2021-10-06,,,
30-39,10782.0,9562.0,2021-10-06,,,
20-29,12962.0,11919.0,2021-10-06,,,
10-19,8548.0,7909.0,2021-10-06,,,
40-49,7472.0,6823.0,2021-10-06,,,
60-69,3630.0,3402.0,2021-10-07,,,
0-9,7385.0,6999.0,2021-10-07,,,
10-19,9049.0,8335.0,2021-10-07,,,
20-29,13619.0,12513.0,2021-10-07,,,
30-39,11323.0,9983.0,2021-10-07,,,
40-49,7828.0,7163.0,2021-10-07,,,
50-59,6195.0,5634.0,2021-10-07,,,
70-79,1956.0,1815.0,2021-10-07,,,
80-89,1012.0,1308.0,2021-10-07,,,
90+,311.0,719.0,2021-10-07,,,
80-89,1026.0,1329.0,2021-10-08,,,
70-79,1991.0,1847.0,2021-10-08,,,
60-69,3705.0,3466.0,2021-10-08,,,
50-59,6313.0,5756.0,2021-10-08,,,
40-49,7993.0,7314.0,2021-10-08,,,
30-39,11554.0,10204.0,2021-10-08,,,
20-29,13926.0,12792.0,2021-10-08,,,
10-19,9260.0,8554.0,2021-10-08,,,
0-9,7569.0,7178.0,2021-10-08,,,
90+,316.0,721.0,2021-10-08,,,
70-79,1991.0,1847.0,2021-10-09,,,
60-69,3705.0,3466.0,2021-10-09,,,
50-59,6313.0,5756.0,2021-10-09,,,
40-49,7993.0,7314.0,2021-10-09,,,
90+,316.0,721.0,2021-10-09,,,
20-29,13926.0,12792.0,2021-10-09,,,
10-19,9260.0,8554.0,2021-10-09,,,
0-9,7569.0,7178.0,2021-10-09,,,
30-39,11554.0,10204.0,2021-10-09,,,
80-89,1026.0,1329.0,2021-10-09,,,
90+,316.0,721.0,2021-10-10,,,
10-19,9260.0,8554.0,2021-10-10,,,
20-29,13926.0,12792.0,2021-10-10,,,
30-39,11554.0,10204.0,2021-10-10,,,
40-49,7993.0,7314.0,2021-10-10,,,
50-59,6313.0,5756.0,2021-10-10,,,
60-69,3705.0,3466.0,2021-10-10,,,
70-79,1991.0,1847.0,2021-10-10,,,
80-89,1026.0,1329.0,2021-10-10,,,
0-9,7569.0,7178.0,2021-10-10,,,
20-29,14635.0,13471.0,2021-10-11,,,
30-39,12161.0,10763.0,2021-10-11,,,
40-49,8415.0,7695.0,2021-10-11,,,
10-19,9803.0,9107.0,2021-10-11,,,
60-69,3889.0,3634.0,2021-10-11,,,
70-79,2073.0,1932.0,2021-10-11,,,
50-59,6627.0,6062.0,2021-10-11,,,
0-9,8030.0,7653.0,2021-10-11,,,
80-89,1079.0,1385.0,2021-10-11,,,
90+,339.0,747.0,2021-10-11,,,
90+,340.0,752.0,2021-10-12,,,
80-89,1092.0,1407.0,2021-10-12,,,
0-9,8201.0,7810.0,2021-10-12,,,
10-19,9966.0,9245.0,2021-10-12,,,
20-29,14849.0,13667.0,2021-10-12,,,
40-49,8547.0,7822.0,2021-10-12,,,
50-59,6718.0,6155.0,2021-10-12,,,
60-69,3934.0,3688.0,2021-10-12,,,
70-79,2110.0,1961.0,2021-10-12,,,
30-39,12336.0,10937.0,2021-10-12,,,
80-89,1092.0,1407.0,2021-10-13,,,
70-79,2110.0,1961.0,2021-10-13,,,
60-69,3934.0,3688.0,2021-10-13,,,
50-59,6718.0,6155.0,2021-10-13,,,
30-39,12336.0,10937.0,2021-10-13,,,
20-29,14849.0,13667.0,2021-10-13,,,
10-19,9966.0,9245.0,2021-10-13,,,
0-9,8201.0,7810.0,2021-10-13,,,
90+,340.0,752.0,2021-10-13,,,
40-49,8547.0,7822.0,2021-10-13,,,
50-59,6889.0,6343.0,2021-10-14,,,
10-19,10219.0,9502.0,2021-10-14,,,
20-29,15255.0,13966.0,2021-10-14,,,
30-39,12676.0,11299.0,2021-10-14,,,
40-49,8777.0,8048.0,2021-10-14,,,
0-9,8429.0,8009.0,2021-10-14,,,
60-69,4038.0,3802.0,2021-10-14,,,
70-79,2159.0,2013.0,2021-10-14,,,
80-89,1112.0,1431.0,2021-10-14,,,
90+,347.0,766.0,2021-10-14,,,
90+,460.0,972.0,2021-10-15,,,
10-19,17150.0,15857.0,2021-10-15,,,
20-29,26286.0,23565.0,2021-10-15,,,
30-39,22235.0,19328.0,2021-10-15,,,
40-49,15410.0,13567.0,2021-10-15,,,
50-59,11922.0,10762.0,2021-10-15,,,
60-69,7079.0,6628.0,2021-10-15,,,
70-79,3787.0,3497.0,2021-10-15,,,
80-89,1786.0,2092.0,2021-10-15,,,
0-9,14178.0,13426.0,2021-10-15,,,
70-79,3787.0,3497.0,2021-10-16,,,
60-69,7079.0,6628.0,2021-10-16,,,
50-59,11922.0,10762.0,2021-10-16,,,
40-49,15410.0,13567.0,2021-10-16,,,
0-9,14178.0,13426.0,2021-10-16,,,
20-29,26286.0,23565.0,2021-10-16,,,
10-19,17150.0,15857.0,2021-10-16,,,
80-89,1786.0,2092.0,2021-10-16,,,
30-39,22235.0,19328.0,2021-10-16,,,
90+,460.0,972.0,2021-10-16,,,
0-9,14178.0,13426.0,2021-10-17,,,
90+,460.0,972.0,2021-10-17,,,
80-89,1786.0,2092.0,2021-10-17,,,
60-69,7079.0,6628.0,2021-10-17,,,
50-59,11922.0,10762.0,2021-10-17,,,
70-79,3787.0,3497.0,2021-10-17,,,
30-39,22235.0,19328.0,2021-10-17,,,
20-29,26286.0,23565.0,2021-10-17,,,
10-19,17150.0,15857.0,2021-10-17,,,
40-49,15410.0,13567.0,2021-10-17,,,
10-19,17821.0,16476.0,2021-10-18,,,
80-89,1883.0,2184.0,2021-10-18,,,
70-79,3978.0,3629.0,2021-10-18,,,
60-69,7353.0,6915.0,2021-10-18,,,
50-59,12371.0,11185.0,2021-10-18,,,
40-49,16153.0,14133.0,2021-10-18,,,
30-39,23212.0,20269.0,2021-10-18,,,
20-29,27291.0,24485.0,2021-10-18,,,
90+,488.0,1003.0,2021-10-18,,,
0-9,14791.0,14062.0,2021-10-18,,,
0-9,14978.0,14227.0,2021-10-19,,,
20-29,27596.0,24744.0,2021-10-19,,,
30-39,23536.0,20492.0,2021-10-19,,,
40-49,16386.0,14323.0,2021-10-19,,,
50-59,12540.0,11309.0,2021-10-19,,,
60-69,7465.0,6997.0,2021-10-19,,,
70-79,4017.0,3673.0,2021-10-19,,,
80-89,1910.0,2210.0,2021-10-19,,,
90+,492.0,1006.0,2021-10-19,,,
10-19,18033.0,16703.0,2021-10-19,,,
40-49,9643.0,8839.0,2021-10-20,,,
50-59,7488.0,6940.0,2021-10-20,,,
90+,377.0,804.0,2021-10-20,,,
10-19,11206.0,10458.0,2021-10-20,,,
0-9,9417.0,8947.0,2021-10-20,,,
80-89,1221.0,1566.0,2021-10-20,,,
20-29,16512.0,15131.0,2021-10-20,,,
60-69,4385.0,4179.0,2021-10-20,,,
30-39,13914.0,12443.0,2021-10-20,,,
70-79,2359.0,2207.0,2021-10-20,,,
30-39,14123.0,12649.0,2021-10-21,,,
20-29,16771.0,15331.0,2021-10-21,,,
40-49,9812.0,8999.0,2021-10-21,,,
50-59,7613.0,7064.0,2021-10-21,,,
60-69,4473.0,4260.0,2021-10-21,,,
70-79,2400.0,2246.0,2021-10-21,,,
80-89,1236.0,1590.0,2021-10-21,,,
10-19,11417.0,10673.0,2021-10-21,,,
90+,381.0,818.0,2021-10-21,,,
0-9,9642.0,9170.0,2021-10-21,,,
20-29,16771.0,15331.0,2021-10-22,,,
30-39,14123.0,12649.0,2021-10-22,,,
40-49,9812.0,8999.0,2021-10-22,,,
50-59,7613.0,7064.0,2021-10-22,,,
60-69,4473.0,4260.0,2021-10-22,,,
0-9,9642.0,9170.0,2021-10-22,,,
90+,381.0,818.0,2021-10-22,,,
10-19,11417.0,10673.0,2021-10-22,,,
70-79,2400.0,2246.0,2021-10-22,,,
80-89,1236.0,1590.0,2021-10-22,,,
20-29,16797.0,15370.0,2021-10-23,,,
30-39,14163.0,12675.0,2021-10-23,,,
40-49,9834.0,9021.0,2021-10-23,,,
50-59,7627.0,7072.0,2021-10-23,,,
60-69,4485.0,4274.0,2021-10-23,,,
70-79,2405.0,2252.0,2021-10-23,,,
0-9,9687.0,9199.0,2021-10-23,,,
80-89,1237.0,1593.0,2021-10-23,,,
10-19,11452.0,10703.0,2021-10-23,,,
90+,382.0,818.0,2021-10-23,,,
30-39,14163.0,12675.0,2021-10-24,,,
10-19,11452.0,10703.0,2021-10-24,,,
20-29,16797.0,15370.0,2021-10-24,,,
40-49,9834.0,9021.0,2021-10-24,,,
50-59,7627.0,7072.0,2021-10-24,,,
60-69,4485.0,4274.0,2021-10-24,,,
70-79,2405.0,2252.0,2021-10-24,,,
80-89,1237.0,1593.0,2021-10-24,,,
0-9,9687.0,9199.0,2021-10-24,,,
90+,382.0,818.0,2021-10-24,,,
70-79,2529.0,2380.0,2021-10-25,,,
60-69,4703.0,4474.0,2021-10-25,,,
50-59,7987.0,7446.0,2021-10-25,,,
10-19,12112.0,11320.0,2021-10-25,,,
30-39,14836.0,13346.0,2021-10-25,,,
20-29,17528.0,16071.0,2021-10-25,,,
0-9,10317.0,9852.0,2021-10-25,,,
40-49,10321.0,9497.0,2021-10-25,,,
90+,394.0,843.0,2021-10-25,,,
80-89,1298.0,1656.0,2021-10-25,,,
20-29,17673.0,16233.0,2021-10-26,,,
0-9,10498.0,10010.0,2021-10-26,,,
10-19,12256.0,11469.0,2021-10-26,,,
30-39,14982.0,13492.0,2021-10-26,,,
90+,394.0,846.0,2021-10-26,,,
80-89,1318.0,1666.0,2021-10-26,,,
70-79,2544.0,2410.0,2021-10-26,,,
60-69,4757.0,4525.0,2021-10-26,,,
50-59,8065.0,7517.0,2021-10-26,,,
40-49,10407.0,9602.0,2021-10-26,,,
10-19,12390.0,11609.0,2021-10-27,,,
20-29,17783.0,16361.0,2021-10-27,,,
30-39,15093.0,13638.0,2021-10-27,,,
40-49,10498.0,9689.0,2021-10-27,,,
50-59,8129.0,7579.0,2021-10-27,,,
60-69,4797.0,4566.0,2021-10-27,,,
0-9,10682.0,10177.0,2021-10-27,,,
90+,398.0,850.0,2021-10-27,,,
80-89,1327.0,1683.0,2021-10-27,,,
70-79,2578.0,2440.0,2021-10-27,,,
40-49,10641.0,9810.0,2021-10-28,,,
30-39,15268.0,13808.0,2021-10-28,,,
20-29,17959.0,16555.0,2021-10-28,,,
10-19,12572.0,11761.0,2021-10-28,,,
0-9,10872.0,10371.0,2021-10-28,,,
50-59,8206.0,7687.0,2021-10-28,,,
60-69,4868.0,4612.0,2021-10-28,,,
80-89,1345.0,1708.0,2021-10-28,,,
90+,402.0,857.0,2021-10-28,,,
70-79,2608.0,2480.0,2021-10-28,,,
60-69,4900.0,4670.0,2021-10-29,,,
50-59,8297.0,7773.0,2021-10-29,,,
80-89,1363.0,1723.0,2021-10-29,,,
70-79,2648.0,2510.0,2021-10-29,,,
90+,406.0,866.0,2021-10-29,,,
40-49,10747.0,9919.0,2021-10-29,,,
20-29,18090.0,16698.0,2021-10-29,,,
10-19,12759.0,11922.0,2021-10-29,,,
0-9,11052.0,10564.0,2021-10-29,,,
30-39,15409.0,13960.0,2021-10-29,,,
60-69,4900.0,4670.0,2021-10-30,,,
50-59,8297.0,7773.0,2021-10-30,,,
40-49,10747.0,9919.0,2021-10-30,,,
30-39,15409.0,13960.0,2021-10-30,,,
20-29,18090.0,16698.0,2021-10-30,,,
0-9,11052.0,10564.0,2021-10-30,,,
80-89,1363.0,1723.0,2021-10-30,,,
10-19,12759.0,11922.0,2021-10-30,,,
70-79,2648.0,2510.0,2021-10-30,,,
90+,406.0,866.0,2021-10-30,,,
90+,406.0,866.0,2021-10-31,,,
80-89,1363.0,1723.0,2021-10-31,,,
70-79,2648.0,2510.0,2021-10-31,,,
60-69,4900.0,4670.0,2021-10-31,,,
50-59,8297.0,7773.0,2021-10-31,,,
40-49,10747.0,9919.0,2021-10-31,,,
30-39,15409.0,13960.0,2021-10-31,,,
20-29,18090.0,16698.0,2021-10-31,,,
10-19,12759.0,11922.0,2021-10-31,,,
0-9,11052.0,10564.0,2021-10-31,,,
0-9,11479.0,11006.0,2021-11-01,,,
10-19,13082.0,12270.0,2021-11-01,,,
20-29,18391.0,16969.0,2021-11-01,,,
30-39,15710.0,14291.0,2021-11-01,,,
40-49,10983.0,10172.0,2021-11-01,,,
50-59,8462.0,7964.0,2021-11-01,,,
60-69,5031.0,4782.0,2021-11-01,,,
90+,408.0,883.0,2021-11-01,,,
70-79,2707.0,2564.0,2021-11-01,,,
80-89,1404.0,1768.0,2021-11-01,,,
60-69,5065.0,4828.0,2021-11-02,,,
90+,409.0,884.0,2021-11-02,,,
80-89,1409.0,1776.0,2021-11-02,,,
0-9,11643.0,11136.0,2021-11-02,,,
10-19,13178.0,12351.0,2021-11-02,,,
70-79,2731.0,2587.0,2021-11-02,,,
30-39,15787.0,14380.0,2021-11-02,,,
40-49,11042.0,10244.0,2021-11-02,,,
50-59,8509.0,8005.0,2021-11-02,,,
20-29,18455.0,17038.0,2021-11-02,,,
80-89,1423.0,1787.0,2021-11-03,,,
60-69,5099.0,4872.0,2021-11-03,,,
50-59,8549.0,8074.0,2021-11-03,,,
40-49,11119.0,10322.0,2021-11-03,,,
30-39,15884.0,14479.0,2021-11-03,,,
20-29,18554.0,17105.0,2021-11-03,,,
10-19,13276.0,12465.0,2021-11-03,,,
70-79,2746.0,2604.0,2021-11-03,,,
0-9,11798.0,11315.0,2021-11-03,,,
90+,415.0,889.0,2021-11-03,,,
10-19,13371.0,12561.0,2021-11-04,,,
30-39,15990.0,14583.0,2021-11-04,,,
40-49,11183.0,10388.0,2021-11-04,,,
50-59,8575.0,8128.0,2021-11-04,,,
60-69,5147.0,4903.0,2021-11-04,,,
70-79,2783.0,2625.0,2021-11-04,,,
80-89,1432.0,1796.0,2021-11-04,,,
90+,415.0,891.0,2021-11-04,,,
0-9,11969.0,11436.0,2021-11-04,,,
20-29,18635.0,17195.0,2021-11-04,,,
10-19,13519.0,12695.0,2021-11-05,,,
70-79,2811.0,2649.0,2021-11-05,,,
60-69,5181.0,4956.0,2021-11-05,,,
50-59,8629.0,8202.0,2021-11-05,,,
40-49,11275.0,10504.0,2021-11-05,,,
30-39,16095.0,14699.0,2021-11-05,,,
20-29,18749.0,17334.0,2021-11-05,,,
0-9,12191.0,11640.0,2021-11-05,,,
80-89,1441.0,1806.0,2021-11-05,,,
90+,418.0,898.0,2021-11-05,,,
40-49,11275.0,10504.0,2021-11-06,,,
0-9,12191.0,11640.0,2021-11-06,,,
10-19,13519.0,12695.0,2021-11-06,,,
20-29,18749.0,17334.0,2021-11-06,,,
30-39,16095.0,14699.0,2021-11-06,,,
50-59,8629.0,8202.0,2021-11-06,,,
60-69,5181.0,4956.0,2021-11-06,,,
70-79,2811.0,2649.0,2021-11-06,,,
80-89,1441.0,1806.0,2021-11-06,,,
90+,418.0,898.0,2021-11-06,,,
0-9,12191.0,11640.0,2021-11-07,,,
40-49,11275.0,10504.0,2021-11-07,,,
90+,418.0,898.0,2021-11-07,,,
80-89,1441.0,1806.0,2021-11-07,,,
70-79,2811.0,2649.0,2021-11-07,,,
10-19,13519.0,12695.0,2021-11-07,,,
20-29,18749.0,17334.0,2021-11-07,,,
30-39,16095.0,14699.0,2021-11-07,,,
60-69,5181.0,4956.0,2021-11-07,,,
50-59,8629.0,8202.0,2021-11-07,,,
20-29,19038.0,17680.0,2021-11-08,,,
80-89,1468.0,1851.0,2021-11-08,,,
90+,421.0,912.0,2021-11-08,,,
40-49,11525.0,10739.0,2021-11-08,,,
10-19,13857.0,13025.0,2021-11-08,,,
60-69,5289.0,5070.0,2021-11-08,,,
70-79,2868.0,2707.0,2021-11-08,,,
30-39,16421.0,15042.0,2021-11-08,,,
50-59,8768.0,8340.0,2021-11-08,,,
0-9,12658.0,12046.0,2021-11-08,,,
80-89,1473.0,1872.0,2021-11-09,,,
20-29,19134.0,17797.0,2021-11-09,,,
30-39,16530.0,15152.0,2021-11-09,,,
40-49,11610.0,10826.0,2021-11-09,,,
50-59,8808.0,8390.0,2021-11-09,,,
60-69,5325.0,5104.0,2021-11-09,,,
70-79,2884.0,2722.0,2021-11-09,,,
10-19,13963.0,13148.0,2021-11-09,,,
0-9,12812.0,12175.0,2021-11-09,,,
90+,424.0,923.0,2021-11-09,,,
80-89,1480.0,1886.0,2021-11-10,,,
70-79,2892.0,2737.0,2021-11-10,,,
0-9,12913.0,12292.0,2021-11-10,,,
10-19,14038.0,13217.0,2021-11-10,,,
30-39,16593.0,15224.0,2021-11-10,,,
40-49,11675.0,10877.0,2021-11-10,,,
20-29,19231.0,17888.0,2021-11-10,,,
90+,427.0,925.0,2021-11-10,,,
50-59,8847.0,8435.0,2021-11-10,,,
60-69,5335.0,5125.0,2021-11-10,,,
40-49,11755.0,10968.0,2021-11-11,,,
50-59,8920.0,8488.0,2021-11-11,,,
70-79,2913.0,2763.0,2021-11-11,,,
60-69,5379.0,5159.0,2021-11-11,,,
30-39,16690.0,15354.0,2021-11-11,,,
20-29,19367.0,18033.0,2021-11-11,,,
10-19,14159.0,13336.0,2021-11-11,,,
0-9,13102.0,12469.0,2021-11-11,,,
80-89,1488.0,1896.0,2021-11-11,,,
90+,433.0,927.0,2021-11-11,,,
0-9,13252.0,12625.0,2021-11-12,,,
10-19,14261.0,13445.0,2021-11-12,,,
20-29,19477.0,18161.0,2021-11-12,,,
30-39,16793.0,15457.0,2021-11-12,,,
40-49,11848.0,11041.0,2021-11-12,,,
50-59,8970.0,8545.0,2021-11-12,,,
60-69,5403.0,5196.0,2021-11-12,,,
90+,436.0,930.0,2021-11-12,,,
80-89,1492.0,1902.0,2021-11-12,,,
70-79,2930.0,2777.0,2021-11-12,,,
80-89,1492.0,1902.0,2021-11-13,,,
90+,436.0,930.0,2021-11-13,,,
70-79,2930.0,2777.0,2021-11-13,,,
60-69,5403.0,5196.0,2021-11-13,,,
50-59,8970.0,8545.0,2021-11-13,,,
30-39,16793.0,15457.0,2021-11-13,,,
20-29,19477.0,18161.0,2021-11-13,,,
10-19,14261.0,13445.0,2021-11-13,,,
0-9,13252.0,12625.0,2021-11-13,,,
40-49,11848.0,11041.0,2021-11-13,,,
70-79,2930.0,2777.0,2021-11-14,,,
90+,436.0,930.0,2021-11-14,,,
0-9,13252.0,12625.0,2021-11-14,,,
10-19,14261.0,13445.0,2021-11-14,,,
20-29,19477.0,18161.0,2021-11-14,,,
30-39,16793.0,15457.0,2021-11-14,,,
40-49,11848.0,11041.0,2021-11-14,,,
50-59,8970.0,8545.0,2021-11-14,,,
60-69,5403.0,5196.0,2021-11-14,,,
80-89,1492.0,1902.0,2021-11-14,,,
90+,441.0,940.0,2021-11-15,,,
10-19,14569.0,13756.0,2021-11-15,,,
20-29,19770.0,18472.0,2021-11-15,,,
30-39,17042.0,15746.0,2021-11-15,,,
40-49,12064.0,11219.0,2021-11-15,,,
50-59,9108.0,8685.0,2021-11-15,,,
60-69,5499.0,5266.0,2021-11-15,,,
70-79,2981.0,2817.0,2021-11-15,,,
0-9,13681.0,13031.0,2021-11-15,,,
80-89,1519.0,1933.0,2021-11-15,,,
40-49,12124.0,11275.0,2021-11-16,,,
30-39,17106.0,15822.0,2021-11-16,,,
10-19,14652.0,13834.0,2021-11-16,,,
20-29,19831.0,18537.0,2021-11-16,,,
50-59,9145.0,8722.0,2021-11-16,,,
60-69,5520.0,5289.0,2021-11-16,,,
70-79,2996.0,2824.0,2021-11-16,,,
80-89,1530.0,1939.0,2021-11-16,,,
90+,443.0,945.0,2021-11-16,,,
0-9,13799.0,13142.0,2021-11-16,,,
70-79,3032.0,2847.0,2021-11-17,,,
60-69,5564.0,5337.0,2021-11-17,,,
50-59,9211.0,8791.0,2021-11-17,,,
40-49,12222.0,11383.0,2021-11-17,,,
30-39,17225.0,15983.0,2021-11-17,,,
20-29,19957.0,18663.0,2021-11-17,,,
0-9,14018.0,13361.0,2021-11-17,,,
10-19,14820.0,13999.0,2021-11-17,,,
90+,447.0,952.0,2021-11-17,,,
80-89,1542.0,1957.0,2021-11-17,,,
90+,449.0,954.0,2021-11-18,,,
80-89,1550.0,1967.0,2021-11-18,,,
70-79,3060.0,2865.0,2021-11-18,,,
60-69,5598.0,5375.0,2021-11-18,,,
50-59,9252.0,8837.0,2021-11-18,,,
0-9,14195.0,13532.0,2021-11-18,,,
10-19,14918.0,14108.0,2021-11-18,,,
40-49,12277.0,11452.0,2021-11-18,,,
30-39,17324.0,16104.0,2021-11-18,,,
20-29,20066.0,18755.0,2021-11-18,,,
0-9,14378.0,13690.0,2021-11-19,,,
40-49,12354.0,11544.0,2021-11-19,,,
50-59,9312.0,8902.0,2021-11-19,,,
10-19,15047.0,14253.0,2021-11-19,,,
90+,451.0,958.0,2021-11-19,,,
80-89,1563.0,1980.0,2021-11-19,,,
20-29,20170.0,18857.0,2021-11-19,,,
70-79,3078.0,2881.0,2021-11-19,,,
60-69,5633.0,5411.0,2021-11-19,,,
30-39,17430.0,16241.0,2021-11-19,,,
30-39,17430.0,16241.0,2021-11-20,,,
80-89,1563.0,1980.0,2021-11-20,,,
70-79,3078.0,2881.0,2021-11-20,,,
60-69,5633.0,5411.0,2021-11-20,,,
50-59,9312.0,8902.0,2021-11-20,,,
40-49,12354.0,11544.0,2021-11-20,,,
20-29,20170.0,18857.0,2021-11-20,,,
10-19,15047.0,14253.0,2021-11-20,,,
0-9,14378.0,13690.0,2021-11-20,,,
90+,451.0,958.0,2021-11-20,,,
90+,451.0,958.0,2021-11-21,,,
0-9,14378.0,13690.0,2021-11-21,,,
70-79,3078.0,2881.0,2021-11-21,,,
60-69,5633.0,5411.0,2021-11-21,,,
50-59,9312.0,8902.0,2021-11-21,,,
40-49,12354.0,11544.0,2021-11-21,,,
30-39,17430.0,16241.0,2021-11-21,,,
20-29,20170.0,18857.0,2021-11-21,,,
10-19,15047.0,14253.0,2021-11-21,,,
80-89,1563.0,1980.0,2021-11-21,,,
20-29,20404.0,19117.0,2021-11-22,,,
30-39,17723.0,16572.0,2021-11-22,,,
40-49,12595.0,11797.0,2021-11-22,,,
50-59,9454.0,9071.0,2021-11-22,,,
90+,456.0,967.0,2021-11-22,,,
70-79,3155.0,2945.0,2021-11-22,,,
80-89,1584.0,2004.0,2021-11-22,,,
0-9,14911.0,14151.0,2021-11-22,,,
60-69,5730.0,5505.0,2021-11-22,,,
10-19,15371.0,14575.0,2021-11-22,,,
70-79,3174.0,2958.0,2021-11-23,,,
90+,460.0,970.0,2021-11-23,,,
0-9,15049.0,14265.0,2021-11-23,,,
10-19,15471.0,14677.0,2021-11-23,,,
20-29,20484.0,19204.0,2021-11-23,,,
80-89,1587.0,2009.0,2021-11-23,,,
40-49,12674.0,11870.0,2021-11-23,,,
50-59,9498.0,9122.0,2021-11-23,,,
60-69,5759.0,5541.0,2021-11-23,,,
30-39,17803.0,16646.0,2021-11-23,,,
70-79,3188.0,2979.0,2021-11-24,,,
80-89,1601.0,2020.0,2021-11-24,,,
90+,462.0,975.0,2021-11-24,,,
40-49,12764.0,11953.0,2021-11-24,,,
30-39,17902.0,16758.0,2021-11-24,,,
20-29,20541.0,19265.0,2021-11-24,,,
10-19,15599.0,14780.0,2021-11-24,,,
0-9,15236.0,14416.0,2021-11-24,,,
50-59,9549.0,9185.0,2021-11-24,,,
60-69,5794.0,5575.0,2021-11-24,,,
90+,465.0,986.0,2021-11-25,,,
70-79,3212.0,2999.0,2021-11-25,,,
60-69,5846.0,5615.0,2021-11-25,,,
50-59,9622.0,9243.0,2021-11-25,,,
40-49,12852.0,12064.0,2021-11-25,,,
80-89,1620.0,2029.0,2021-11-25,,,
20-29,20650.0,19375.0,2021-11-25,,,
10-19,15744.0,14892.0,2021-11-25,,,
0-9,15373.0,14555.0,2021-11-25,,,
30-39,18025.0,16874.0,2021-11-25,,,
90+,466.0,988.0,2021-11-26,,,
10-19,15865.0,15020.0,2021-11-26,,,
80-89,1631.0,2044.0,2021-11-26,,,
70-79,3239.0,3023.0,2021-11-26,,,
60-69,5888.0,5666.0,2021-11-26,,,
40-49,12974.0,12179.0,2021-11-26,,,
30-39,18162.0,17000.0,2021-11-26,,,
20-29,20785.0,19497.0,2021-11-26,,,
0-9,15534.0,14705.0,2021-11-26,,,
50-59,9691.0,9308.0,2021-11-26,,,
10-19,15865.0,15020.0,2021-11-27,,,
90+,466.0,988.0,2021-11-27,,,
80-89,1631.0,2044.0,2021-11-27,,,
70-79,3239.0,3023.0,2021-11-27,,,
60-69,5888.0,5666.0,2021-11-27,,,
50-59,9691.0,9308.0,2021-11-27,,,
40-49,12974.0,12179.0,2021-11-27,,,
30-39,18162.0,17000.0,2021-11-27,,,
20-29,20785.0,19497.0,2021-11-27,,,
0-9,15534.0,14705.0,2021-11-27,,,
90+,466.0,988.0,2021-11-28,,,
80-89,1631.0,2044.0,2021-11-28,,,
70-79,3239.0,3023.0,2021-11-28,,,
60-69,5888.0,5666.0,2021-11-28,,,
50-59,9691.0,9308.0,2021-11-28,,,
40-49,12974.0,12179.0,2021-11-28,,,
30-39,18162.0,17000.0,2021-11-28,,,
20-29,20785.0,19497.0,2021-11-28,,,
10-19,15865.0,15020.0,2021-11-28,,,
0-9,15534.0,14705.0,2021-11-28,,,
50-59,9857.0,9461.0,2021-11-29,,,
20-29,21076.0,19770.0,2021-11-29,,,
90+,470.0,998.0,2021-11-29,,,
10-19,16131.0,15261.0,2021-11-29,,,
80-89,1657.0,2073.0,2021-11-29,,,
30-39,18422.0,17309.0,2021-11-29,,,
40-49,13228.0,12435.0,2021-11-29,,,
60-69,5990.0,5762.0,2021-11-29,,,
0-9,15878.0,15047.0,2021-11-29,,,
70-79,3305.0,3093.0,2021-11-29,,,
10-19,16241.0,15344.0,2021-11-30,,,
20-29,21134.0,19860.0,2021-11-30,,,
30-39,18504.0,17401.0,2021-11-30,,,
50-59,9912.0,9503.0,2021-11-30,,,
60-69,6019.0,5804.0,2021-11-30,,,
70-79,3330.0,3118.0,2021-11-30,,,
80-89,1663.0,2079.0,2021-11-30,,,
90+,473.0,1002.0,2021-11-30,,,
40-49,13294.0,12512.0,2021-11-30,,,
0-9,15973.0,15161.0,2021-11-30,,,
40-49,13382.0,12609.0,2021-12-01,,,
70-79,3359.0,3146.0,2021-12-01,,,
80-89,1676.0,2095.0,2021-12-01,,,
0-9,16147.0,15324.0,2021-12-01,,,
10-19,16352.0,15458.0,2021-12-01,,,
20-29,21244.0,19954.0,2021-12-01,,,
30-39,18582.0,17501.0,2021-12-01,,,
50-59,9965.0,9564.0,2021-12-01,,,
60-69,6057.0,5857.0,2021-12-01,,,
90+,474.0,1009.0,2021-12-01,,,
90+,479.0,1019.0,2021-12-02,,,
80-89,1695.0,2113.0,2021-12-02,,,
70-79,3391.0,3175.0,2021-12-02,,,
60-69,6102.0,5901.0,2021-12-02,,,
50-59,10046.0,9635.0,2021-12-02,,,
40-49,13474.0,12736.0,2021-12-02,,,
30-39,18697.0,17633.0,2021-12-02,,,
20-29,21360.0,20095.0,2021-12-02,,,
0-9,16329.0,15498.0,2021-12-02,,,
10-19,16483.0,15576.0,2021-12-02,,,
90+,480.0,1022.0,2021-12-03,,,
80-89,1707.0,2133.0,2021-12-03,,,
70-79,3428.0,3198.0,2021-12-03,,,
50-59,10127.0,9712.0,2021-12-03,,,
40-49,13568.0,12823.0,2021-12-03,,,
30-39,18781.0,17764.0,2021-12-03,,,
20-29,21511.0,20253.0,2021-12-03,,,
10-19,16585.0,15709.0,2021-12-03,,,
0-9,16459.0,15635.0,2021-12-03,,,
