Age Group,Male,Female,Date,Jurisdiction,7-day rolling average of COVID-19 hospitalisations as at 20 Sep 2022,7-day rolling average COVID-19 ICU cases as at 20 Sep 2022,7-day rolling average of COVID-19 hospitalisations as at 27 Sep 2022,7-day rolling average COVID-19 ICU cases as at 27 Sep 2022,7-day rolling average of COVID-19 hospitalisations as at 04 Oct 2022,7-day rolling average COVID-19 ICU cases as at 04 Oct 2022,7-day rolling average of COVID-19 hospitalisations as at 11 Oct 2022,7-day rolling average COVID-19 ICU cases as at 11 Oct 2022,7-day rolling average of COVID-19 hospitalisations as at 18 Oct 2022,7-day rolling average COVID-19 ICU cases as at 18 Oct 2022,7-day rolling average of COVID-19 hospitalisations as at 25 Oct 2022,7-day rolling average COVID-19 ICU cases as at 25 Oct 2022,7-day rolling average of COVID-19 hospitalisations as at 01 Nov 2022,7-day rolling average COVID-19 ICU cases as at 01 Nov 2022,7-day rolling average of COVID-19 hospitalisations as at 08 Nov 2022,7-day rolling average COVID-19 ICU cases as at 08 Nov 2022
60-69,78.0,33.0,2021-10-06,,,,,,,,,,,,,,,,,
20-29,5.0,2.0,2021-10-06,,,,,,,,,,,,,,,,,
30-39,6.0,4.0,2021-10-06,,,,,,,,,,,,,,,,,
40-49,13.0,9.0,2021-10-06,,,,,,,,,,,,,,,,,
50-59,31.0,28.0,2021-10-06,,,,,,,,,,,,,,,,,
70-79,166.0,96.0,2021-10-06,,,,,,,,,,,,,,,,,
90+,140.0,223.0,2021-10-06,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-06,,,,,,,,,,,,,,,,,
80-89,260.0,255.0,2021-10-06,,,,,,,,,,,,,,,,,
10-19,1.0,0.0,2021-10-06,,,,,,,,,,,,,,,,,
30-39,6.0,4.0,2021-10-07,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-07,,,,,,,,,,,,,,,,,
10-19,1.0,0.0,2021-10-07,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-07,,,,,,,,,,,,,,,,,
60-69,82.0,35.0,2021-10-07,,,,,,,,,,,,,,,,,
70-79,175.0,104.0,2021-10-07,,,,,,,,,,,,,,,,,
80-89,266.0,259.0,2021-10-07,,,,,,,,,,,,,,,,,
40-49,14.0,9.0,2021-10-07,,,,,,,,,,,,,,,,,
90+,140.0,227.0,2021-10-07,,,,,,,,,,,,,,,,,
50-59,34.0,28.0,2021-10-07,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-08,,,,,,,,,,,,,,,,,
60-69,83.0,35.0,2021-10-08,,,,,,,,,,,,,,,,,
50-59,37.0,28.0,2021-10-08,,,,,,,,,,,,,,,,,
40-49,14.0,9.0,2021-10-08,,,,,,,,,,,,,,,,,
30-39,6.0,4.0,2021-10-08,,,,,,,,,,,,,,,,,
70-79,177.0,107.0,2021-10-08,,,,,,,,,,,,,,,,,
10-19,1.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,
90+,140.0,227.0,2021-10-08,,,,,,,,,,,,,,,,,
80-89,270.0,261.0,2021-10-08,,,,,,,,,,,,,,,,,
90+,140.0,227.0,2021-10-09,,,,,,,,,,,,,,,,,
80-89,270.0,261.0,2021-10-09,,,,,,,,,,,,,,,,,
70-79,177.0,107.0,2021-10-09,,,,,,,,,,,,,,,,,
60-69,83.0,35.0,2021-10-09,,,,,,,,,,,,,,,,,
50-59,37.0,28.0,2021-10-09,,,,,,,,,,,,,,,,,
40-49,14.0,9.0,2021-10-09,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-09,,,,,,,,,,,,,,,,,
10-19,1.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,
30-39,6.0,4.0,2021-10-09,,,,,,,,,,,,,,,,,
30-39,6.0,4.0,2021-10-10,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-10,,,,,,,,,,,,,,,,,
40-49,14.0,9.0,2021-10-10,,,,,,,,,,,,,,,,,
50-59,37.0,28.0,2021-10-10,,,,,,,,,,,,,,,,,
60-69,83.0,35.0,2021-10-10,,,,,,,,,,,,,,,,,
70-79,177.0,107.0,2021-10-10,,,,,,,,,,,,,,,,,
80-89,270.0,261.0,2021-10-10,,,,,,,,,,,,,,,,,
90+,140.0,227.0,2021-10-10,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,
10-19,1.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,
80-89,273.0,263.0,2021-10-11,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,
10-19,1.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-11,,,,,,,,,,,,,,,,,
30-39,6.0,4.0,2021-10-11,,,,,,,,,,,,,,,,,
40-49,17.0,9.0,2021-10-11,,,,,,,,,,,,,,,,,
50-59,42.0,28.0,2021-10-11,,,,,,,,,,,,,,,,,
90+,143.0,228.0,2021-10-11,,,,,,,,,,,,,,,,,
70-79,187.0,110.0,2021-10-11,,,,,,,,,,,,,,,,,
60-69,88.0,36.0,2021-10-11,,,,,,,,,,,,,,,,,
90+,144.0,228.0,2021-10-12,,,,,,,,,,,,,,,,,
80-89,277.0,265.0,2021-10-12,,,,,,,,,,,,,,,,,
60-69,89.0,36.0,2021-10-12,,,,,,,,,,,,,,,,,
50-59,43.0,29.0,2021-10-12,,,,,,,,,,,,,,,,,
70-79,189.0,111.0,2021-10-12,,,,,,,,,,,,,,,,,
30-39,6.0,4.0,2021-10-12,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-12,,,,,,,,,,,,,,,,,
10-19,1.0,0.0,2021-10-12,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-12,,,,,,,,,,,,,,,,,
40-49,18.0,9.0,2021-10-12,,,,,,,,,,,,,,,,,
40-49,18.0,9.0,2021-10-13,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-13,,,,,,,,,,,,,,,,,
10-19,1.0,0.0,2021-10-13,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-13,,,,,,,,,,,,,,,,,
30-39,6.0,4.0,2021-10-13,,,,,,,,,,,,,,,,,
90+,144.0,228.0,2021-10-13,,,,,,,,,,,,,,,,,
70-79,189.0,111.0,2021-10-13,,,,,,,,,,,,,,,,,
60-69,89.0,36.0,2021-10-13,,,,,,,,,,,,,,,,,
80-89,277.0,265.0,2021-10-13,,,,,,,,,,,,,,,,,
50-59,43.0,29.0,2021-10-13,,,,,,,,,,,,,,,,,
80-89,281.0,270.0,2021-10-14,,,,,,,,,,,,,,,,,
60-69,97.0,37.0,2021-10-14,,,,,,,,,,,,,,,,,
90+,145.0,231.0,2021-10-14,,,,,,,,,,,,,,,,,
70-79,199.0,114.0,2021-10-14,,,,,,,,,,,,,,,,,
50-59,49.0,29.0,2021-10-14,,,,,,,,,,,,,,,,,
30-39,6.0,4.0,2021-10-14,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-14,,,,,,,,,,,,,,,,,
10-19,1.0,0.0,2021-10-14,,,,,,,,,,,,,,,,,
40-49,18.0,9.0,2021-10-14,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-14,,,,,,,,,,,,,,,,,
90+,176.0,273.0,2021-10-15,,,,,,,,,,,,,,,,,
50-59,96.0,55.0,2021-10-15,,,,,,,,,,,,,,,,,
40-49,33.0,18.0,2021-10-15,,,,,,,,,,,,,,,,,
30-39,10.0,7.0,2021-10-15,,,,,,,,,,,,,,,,,
20-29,11.0,4.0,2021-10-15,,,,,,,,,,,,,,,,,
10-19,4.0,0.0,2021-10-15,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-15,,,,,,,,,,,,,,,,,
70-79,310.0,177.0,2021-10-15,,,,,,,,,,,,,,,,,
60-69,171.0,68.0,2021-10-15,,,,,,,,,,,,,,,,,
80-89,388.0,353.0,2021-10-15,,,,,,,,,,,,,,,,,
50-59,96.0,55.0,2021-10-16,,,,,,,,,,,,,,,,,
40-49,33.0,18.0,2021-10-16,,,,,,,,,,,,,,,,,
30-39,10.0,7.0,2021-10-16,,,,,,,,,,,,,,,,,
20-29,11.0,4.0,2021-10-16,,,,,,,,,,,,,,,,,
10-19,4.0,0.0,2021-10-16,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-16,,,,,,,,,,,,,,,,,
70-79,310.0,177.0,2021-10-16,,,,,,,,,,,,,,,,,
60-69,171.0,68.0,2021-10-16,,,,,,,,,,,,,,,,,
90+,176.0,273.0,2021-10-16,,,,,,,,,,,,,,,,,
80-89,388.0,353.0,2021-10-16,,,,,,,,,,,,,,,,,
80-89,388.0,353.0,2021-10-17,,,,,,,,,,,,,,,,,
70-79,310.0,177.0,2021-10-17,,,,,,,,,,,,,,,,,
60-69,171.0,68.0,2021-10-17,,,,,,,,,,,,,,,,,
50-59,96.0,55.0,2021-10-17,,,,,,,,,,,,,,,,,
40-49,33.0,18.0,2021-10-17,,,,,,,,,,,,,,,,,
90+,176.0,273.0,2021-10-17,,,,,,,,,,,,,,,,,
20-29,11.0,4.0,2021-10-17,,,,,,,,,,,,,,,,,
10-19,4.0,0.0,2021-10-17,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-17,,,,,,,,,,,,,,,,,
30-39,10.0,7.0,2021-10-17,,,,,,,,,,,,,,,,,
60-69,179.0,76.0,2021-10-18,,,,,,,,,,,,,,,,,
40-49,33.0,18.0,2021-10-18,,,,,,,,,,,,,,,,,
30-39,10.0,9.0,2021-10-18,,,,,,,,,,,,,,,,,
20-29,11.0,4.0,2021-10-18,,,,,,,,,,,,,,,,,
10-19,4.0,2.0,2021-10-18,,,,,,,,,,,,,,,,,
50-59,105.0,57.0,2021-10-18,,,,,,,,,,,,,,,,,
80-89,396.0,361.0,2021-10-18,,,,,,,,,,,,,,,,,
90+,180.0,275.0,2021-10-18,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-18,,,,,,,,,,,,,,,,,
70-79,315.0,186.0,2021-10-18,,,,,,,,,,,,,,,,,
90+,185.0,276.0,2021-10-19,,,,,,,,,,,,,,,,,
80-89,405.0,361.0,2021-10-19,,,,,,,,,,,,,,,,,
70-79,319.0,192.0,2021-10-19,,,,,,,,,,,,,,,,,
60-69,183.0,78.0,2021-10-19,,,,,,,,,,,,,,,,,
50-59,105.0,57.0,2021-10-19,,,,,,,,,,,,,,,,,
40-49,33.0,18.0,2021-10-19,,,,,,,,,,,,,,,,,
30-39,10.0,9.0,2021-10-19,,,,,,,,,,,,,,,,,
20-29,11.0,4.0,2021-10-19,,,,,,,,,,,,,,,,,
10-19,4.0,2.0,2021-10-19,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-19,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-20,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-20,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-20,,,,,,,,,,,,,,,,,
30-39,6.0,5.0,2021-10-20,,,,,,,,,,,,,,,,,
40-49,19.0,9.0,2021-10-20,,,,,,,,,,,,,,,,,
50-59,55.0,33.0,2021-10-20,,,,,,,,,,,,,,,,,
60-69,102.0,42.0,2021-10-20,,,,,,,,,,,,,,,,,
90+,156.0,234.0,2021-10-20,,,,,,,,,,,,,,,,,
70-79,205.0,123.0,2021-10-20,,,,,,,,,,,,,,,,,
80-89,297.0,279.0,2021-10-20,,,,,,,,,,,,,,,,,
40-49,20.0,9.0,2021-10-21,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-21,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-21,,,,,,,,,,,,,,,,,
30-39,6.0,5.0,2021-10-21,,,,,,,,,,,,,,,,,
70-79,206.0,125.0,2021-10-21,,,,,,,,,,,,,,,,,
60-69,104.0,44.0,2021-10-21,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-21,,,,,,,,,,,,,,,,,
80-89,298.0,282.0,2021-10-21,,,,,,,,,,,,,,,,,
90+,156.0,235.0,2021-10-21,,,,,,,,,,,,,,,,,
50-59,56.0,34.0,2021-10-21,,,,,,,,,,,,,,,,,
90+,156.0,235.0,2021-10-22,,,,,,,,,,,,,,,,,
60-69,104.0,44.0,2021-10-22,,,,,,,,,,,,,,,,,
50-59,56.0,34.0,2021-10-22,,,,,,,,,,,,,,,,,
40-49,20.0,9.0,2021-10-22,,,,,,,,,,,,,,,,,
70-79,206.0,125.0,2021-10-22,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-22,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-22,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-22,,,,,,,,,,,,,,,,,
80-89,298.0,282.0,2021-10-22,,,,,,,,,,,,,,,,,
30-39,6.0,5.0,2021-10-22,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-23,,,,,,,,,,,,,,,,,
80-89,298.0,283.0,2021-10-23,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-23,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-23,,,,,,,,,,,,,,,,,
30-39,7.0,5.0,2021-10-23,,,,,,,,,,,,,,,,,
40-49,20.0,9.0,2021-10-23,,,,,,,,,,,,,,,,,
50-59,56.0,34.0,2021-10-23,,,,,,,,,,,,,,,,,
60-69,104.0,44.0,2021-10-23,,,,,,,,,,,,,,,,,
70-79,207.0,126.0,2021-10-23,,,,,,,,,,,,,,,,,
90+,156.0,236.0,2021-10-23,,,,,,,,,,,,,,,,,
80-89,298.0,283.0,2021-10-24,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-24,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-24,,,,,,,,,,,,,,,,,
30-39,7.0,5.0,2021-10-24,,,,,,,,,,,,,,,,,
40-49,20.0,9.0,2021-10-24,,,,,,,,,,,,,,,,,
50-59,56.0,34.0,2021-10-24,,,,,,,,,,,,,,,,,
70-79,207.0,126.0,2021-10-24,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-24,,,,,,,,,,,,,,,,,
60-69,104.0,44.0,2021-10-24,,,,,,,,,,,,,,,,,
90+,156.0,236.0,2021-10-24,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-25,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-25,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-10-25,,,,,,,,,,,,,,,,,
30-39,7.0,5.0,2021-10-25,,,,,,,,,,,,,,,,,
40-49,22.0,9.0,2021-10-25,,,,,,,,,,,,,,,,,
50-59,56.0,35.0,2021-10-25,,,,,,,,,,,,,,,,,
60-69,112.0,45.0,2021-10-25,,,,,,,,,,,,,,,,,
70-79,214.0,134.0,2021-10-25,,,,,,,,,,,,,,,,,
80-89,306.0,290.0,2021-10-25,,,,,,,,,,,,,,,,,
90+,158.0,243.0,2021-10-25,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-26,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-26,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-10-26,,,,,,,,,,,,,,,,,
30-39,7.0,5.0,2021-10-26,,,,,,,,,,,,,,,,,
70-79,214.0,134.0,2021-10-26,,,,,,,,,,,,,,,,,
50-59,56.0,35.0,2021-10-26,,,,,,,,,,,,,,,,,
60-69,112.0,45.0,2021-10-26,,,,,,,,,,,,,,,,,
80-89,310.0,291.0,2021-10-26,,,,,,,,,,,,,,,,,
90+,158.0,243.0,2021-10-26,,,,,,,,,,,,,,,,,
40-49,22.0,9.0,2021-10-26,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-10-27,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-27,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-27,,,,,,,,,,,,,,,,,
40-49,22.0,10.0,2021-10-27,,,,,,,,,,,,,,,,,
30-39,9.0,5.0,2021-10-27,,,,,,,,,,,,,,,,,
60-69,116.0,45.0,2021-10-27,,,,,,,,,,,,,,,,,
70-79,216.0,134.0,2021-10-27,,,,,,,,,,,,,,,,,
80-89,312.0,295.0,2021-10-27,,,,,,,,,,,,,,,,,
50-59,56.0,35.0,2021-10-27,,,,,,,,,,,,,,,,,
90+,158.0,245.0,2021-10-27,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-28,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-28,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-10-28,,,,,,,,,,,,,,,,,
30-39,9.0,5.0,2021-10-28,,,,,,,,,,,,,,,,,
40-49,23.0,10.0,2021-10-28,,,,,,,,,,,,,,,,,
50-59,57.0,36.0,2021-10-28,,,,,,,,,,,,,,,,,
60-69,118.0,45.0,2021-10-28,,,,,,,,,,,,,,,,,
80-89,318.0,299.0,2021-10-28,,,,,,,,,,,,,,,,,
90+,158.0,249.0,2021-10-28,,,,,,,,,,,,,,,,,
70-79,220.0,136.0,2021-10-28,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-29,,,,,,,,,,,,,,,,,
90+,158.0,255.0,2021-10-29,,,,,,,,,,,,,,,,,
80-89,318.0,300.0,2021-10-29,,,,,,,,,,,,,,,,,
70-79,221.0,136.0,2021-10-29,,,,,,,,,,,,,,,,,
60-69,119.0,46.0,2021-10-29,,,,,,,,,,,,,,,,,
50-59,58.0,36.0,2021-10-29,,,,,,,,,,,,,,,,,
40-49,25.0,10.0,2021-10-29,,,,,,,,,,,,,,,,,
30-39,9.0,5.0,2021-10-29,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-10-29,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-29,,,,,,,,,,,,,,,,,
90+,158.0,255.0,2021-10-30,,,,,,,,,,,,,,,,,
60-69,119.0,46.0,2021-10-30,,,,,,,,,,,,,,,,,
50-59,58.0,36.0,2021-10-30,,,,,,,,,,,,,,,,,
40-49,25.0,10.0,2021-10-30,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-30,,,,,,,,,,,,,,,,,
70-79,221.0,136.0,2021-10-30,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-10-30,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-30,,,,,,,,,,,,,,,,,
80-89,318.0,300.0,2021-10-30,,,,,,,,,,,,,,,,,
30-39,9.0,5.0,2021-10-30,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-10-31,,,,,,,,,,,,,,,,,
30-39,9.0,5.0,2021-10-31,,,,,,,,,,,,,,,,,
50-59,58.0,36.0,2021-10-31,,,,,,,,,,,,,,,,,
40-49,25.0,10.0,2021-10-31,,,,,,,,,,,,,,,,,
60-69,119.0,46.0,2021-10-31,,,,,,,,,,,,,,,,,
70-79,221.0,136.0,2021-10-31,,,,,,,,,,,,,,,,,
80-89,318.0,300.0,2021-10-31,,,,,,,,,,,,,,,,,
90+,158.0,255.0,2021-10-31,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-10-31,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-31,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-11-01,,,,,,,,,,,,,,,,,
90+,159.0,259.0,2021-11-01,,,,,,,,,,,,,,,,,
30-39,9.0,5.0,2021-11-01,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-11-01,,,,,,,,,,,,,,,,,
40-49,25.0,10.0,2021-11-01,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-11-01,,,,,,,,,,,,,,,,,
60-69,124.0,48.0,2021-11-01,,,,,,,,,,,,,,,,,
70-79,229.0,141.0,2021-11-01,,,,,,,,,,,,,,,,,
80-89,323.0,304.0,2021-11-01,,,,,,,,,,,,,,,,,
50-59,59.0,36.0,2021-11-01,,,,,,,,,,,,,,,,,
30-39,9.0,5.0,2021-11-02,,,,,,,,,,,,,,,,,
40-49,25.0,10.0,2021-11-02,,,,,,,,,,,,,,,,,
50-59,61.0,36.0,2021-11-02,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-11-02,,,,,,,,,,,,,,,,,
60-69,127.0,48.0,2021-11-02,,,,,,,,,,,,,,,,,
70-79,231.0,141.0,2021-11-02,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-11-02,,,,,,,,,,,,,,,,,
80-89,325.0,306.0,2021-11-02,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-11-02,,,,,,,,,,,,,,,,,
90+,160.0,259.0,2021-11-02,,,,,,,,,,,,,,,,,
70-79,234.0,143.0,2021-11-03,,,,,,,,,,,,,,,,,
80-89,328.0,308.0,2021-11-03,,,,,,,,,,,,,,,,,
60-69,129.0,48.0,2021-11-03,,,,,,,,,,,,,,,,,
50-59,62.0,36.0,2021-11-03,,,,,,,,,,,,,,,,,
40-49,25.0,10.0,2021-11-03,,,,,,,,,,,,,,,,,
30-39,9.0,5.0,2021-11-03,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-11-03,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-11-03,,,,,,,,,,,,,,,,,
90+,161.0,259.0,2021-11-03,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-11-03,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-11-04,,,,,,,,,,,,,,,,,
30-39,9.0,6.0,2021-11-04,,,,,,,,,,,,,,,,,
80-89,333.0,308.0,2021-11-04,,,,,,,,,,,,,,,,,
90+,162.0,260.0,2021-11-04,,,,,,,,,,,,,,,,,
50-59,62.0,36.0,2021-11-04,,,,,,,,,,,,,,,,,
70-79,234.0,143.0,2021-11-04,,,,,,,,,,,,,,,,,
40-49,25.0,10.0,2021-11-04,,,,,,,,,,,,,,,,,
60-69,131.0,49.0,2021-11-04,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-11-04,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-11-04,,,,,,,,,,,,,,,,,
80-89,338.0,310.0,2021-11-05,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-11-05,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-11-05,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-11-05,,,,,,,,,,,,,,,,,
30-39,9.0,6.0,2021-11-05,,,,,,,,,,,,,,,,,
40-49,26.0,10.0,2021-11-05,,,,,,,,,,,,,,,,,
50-59,64.0,37.0,2021-11-05,,,,,,,,,,,,,,,,,
60-69,131.0,50.0,2021-11-05,,,,,,,,,,,,,,,,,
70-79,235.0,143.0,2021-11-05,,,,,,,,,,,,,,,,,
90+,163.0,261.0,2021-11-05,,,,,,,,,,,,,,,,,
80-89,338.0,310.0,2021-11-06,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-11-06,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-11-06,,,,,,,,,,,,,,,,,
30-39,9.0,6.0,2021-11-06,,,,,,,,,,,,,,,,,
40-49,26.0,10.0,2021-11-06,,,,,,,,,,,,,,,,,
50-59,64.0,37.0,2021-11-06,,,,,,,,,,,,,,,,,
60-69,131.0,50.0,2021-11-06,,,,,,,,,,,,,,,,,
70-79,235.0,143.0,2021-11-06,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-11-06,,,,,,,,,,,,,,,,,
90+,163.0,261.0,2021-11-06,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-11-07,,,,,,,,,,,,,,,,,
70-79,235.0,143.0,2021-11-07,,,,,,,,,,,,,,,,,
90+,163.0,261.0,2021-11-07,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-11-07,,,,,,,,,,,,,,,,,
80-89,338.0,310.0,2021-11-07,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-11-07,,,,,,,,,,,,,,,,,
60-69,131.0,50.0,2021-11-07,,,,,,,,,,,,,,,,,
30-39,9.0,6.0,2021-11-07,,,,,,,,,,,,,,,,,
40-49,26.0,10.0,2021-11-07,,,,,,,,,,,,,,,,,
50-59,64.0,37.0,2021-11-07,,,,,,,,,,,,,,,,,
90+,165.0,262.0,2021-11-08,,,,,,,,,,,,,,,,,
80-89,344.0,313.0,2021-11-08,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-11-08,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-11-08,,,,,,,,,,,,,,,,,
70-79,240.0,148.0,2021-11-08,,,,,,,,,,,,,,,,,
60-69,134.0,53.0,2021-11-08,,,,,,,,,,,,,,,,,
50-59,65.0,38.0,2021-11-08,,,,,,,,,,,,,,,,,
40-49,26.0,10.0,2021-11-08,,,,,,,,,,,,,,,,,
30-39,11.0,7.0,2021-11-08,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-11-08,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-11-09,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-11-09,,,,,,,,,,,,,,,,,
30-39,11.0,7.0,2021-11-09,,,,,,,,,,,,,,,,,
40-49,26.0,10.0,2021-11-09,,,,,,,,,,,,,,,,,
50-59,67.0,38.0,2021-11-09,,,,,,,,,,,,,,,,,
60-69,134.0,54.0,2021-11-09,,,,,,,,,,,,,,,,,
70-79,241.0,149.0,2021-11-09,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-11-09,,,,,,,,,,,,,,,,,
90+,167.0,264.0,2021-11-09,,,,,,,,,,,,,,,,,
80-89,347.0,315.0,2021-11-09,,,,,,,,,,,,,,,,,
90+,169.0,264.0,2021-11-10,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-11-10,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-11-10,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-11-10,,,,,,,,,,,,,,,,,
30-39,12.0,7.0,2021-11-10,,,,,,,,,,,,,,,,,
40-49,27.0,10.0,2021-11-10,,,,,,,,,,,,,,,,,
80-89,350.0,315.0,2021-11-10,,,,,,,,,,,,,,,,,
50-59,66.0,39.0,2021-11-10,,,,,,,,,,,,,,,,,
60-69,137.0,55.0,2021-11-10,,,,,,,,,,,,,,,,,
70-79,245.0,150.0,2021-11-10,,,,,,,,,,,,,,,,,
10-19,1.0,1.0,2021-11-11,,,,,,,,,,,,,,,,,
20-29,6.0,3.0,2021-11-11,,,,,,,,,,,,,,,,,
30-39,12.0,7.0,2021-11-11,,,,,,,,,,,,,,,,,
40-49,27.0,10.0,2021-11-11,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-11-11,,,,,,,,,,,,,,,,,
60-69,136.0,57.0,2021-11-11,,,,,,,,,,,,,,,,,
70-79,246.0,151.0,2021-11-11,,,,,,,,,,,,,,,,,
80-89,352.0,315.0,2021-11-11,,,,,,,,,,,,,,,,,
90+,169.0,264.0,2021-11-11,,,,,,,,,,,,,,,,,
50-59,66.0,39.0,2021-11-11,,,,,,,,,,,,,,,,,
70-79,249.0,152.0,2021-11-12,,,,,,,,,,,,,,,,,
50-59,66.0,39.0,2021-11-12,,,,,,,,,,,,,,,,,
40-49,27.0,10.0,2021-11-12,,,,,,,,,,,,,,,,,
30-39,12.0,7.0,2021-11-12,,,,,,,,,,,,,,,,,
60-69,138.0,57.0,2021-11-12,,,,,,,,,,,,,,,,,
